domain,error_type,complexity_group,error_voxels,expert_surface_voxels,errors_per_100_surface_voxels,error_distance_mm_mean,error_distance_mm_median,error_distance_mm_p95,error_distance_mm_maximum
CAMRI,FP,flat,405,68434,0.5918110881,0.1508218497,0.1000000015,0.200000003,0.5
CAMRI,FP,medium complexity,1004,68430,1.467192752,0.1560411006,0.1414213628,0.2236067951,0.5
CAMRI,FP,high complexity,3239,68433,4.733096605,0.1643754989,0.1000000015,0.4158008724,1
CAMRI,FN,flat,4633,68434,6.770026595,0.002334170975,0,0,0.3000000119
CAMRI,FN,medium complexity,9842,68430,14.38258074,0.001960612601,0,0,0.3162277639
CAMRI,FN,high complexity,19218,68433,28.08294244,0.002547783544,0,0,0.400000006
CAMRI,All,flat,5038,68434,7.361837683,0.01427095383,0,0.1000000015,0.5
CAMRI,All,medium complexity,10846,68430,15.84977349,0.01622364111,0,0.200000003,0.5
CAMRI,All,high complexity,22457,68433,32.81603905,0.02588838898,0,0.200000003,1
Mouse,FP,flat,35900,568246,6.317686354,0.1566332281,0.1000000015,0.4000000954,0.8944281936
Mouse,FP,medium complexity,55178,568196,9.711085611,0.1428112686,0.1000000015,0.3162277639,1.019803882
Mouse,FP,high complexity,65817,568220,11.58301362,0.1630683392,0.1000000015,0.4000000954,1.044030547
Mouse,FN,flat,126468,568246,22.25585398,0.004944779444,0,0,1.469693899
Mouse,FN,medium complexity,187012,568196,32.91329048,0.003207529662,0,0,1.624807835
Mouse,FN,high complexity,168357,568220,29.62884094,0.003336623311,0,0,0.5385164618
Mouse,All,flat,162368,568246,28.57354033,0.03848350048,0,0.200000003,1.469693899
Mouse,All,medium complexity,242190,568196,42.6243761,0.03501335904,0,0.200000003,1.624807835
Mouse,All,high complexity,234174,568220,41.21185456,0.04823085293,0,0.2236067951,1.044030547
Combined,FP,flat,36305,636680,5.702236602,0.156568408,0.1000000015,0.4000000954,0.8944281936
Combined,FP,medium complexity,56182,636626,8.824961594,0.1430476904,0.1000000015,0.3162277639,1.019803882
Combined,FP,high complexity,69056,636653,10.84672498,0.1631296426,0.1000000015,0.4000000954,1.044030547
Combined,FN,flat,131101,636680,20.59134887,0.00485252263,0,0,1.469693899
Combined,FN,medium complexity,196854,636626,30.92145153,0.003145188326,0,0,1.624807835
Combined,FN,high complexity,187575,636653,29.46267433,0.003255802905,0,0,0.5385164618
Combined,All,flat,167406,636680,26.29358547,0.03775483742,0,0.200000003,1.469693899
Combined,All,medium complexity,253036,636626,39.74641312,0.03420797363,0,0.200000003,1.624807835
Combined,All,high complexity,256631,636653,40.30939931,0.04627574235,0,0.2236067951,1.044030547
