domain,role,subject,figure_path
CAMRI,best boundary,009,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/boundary_error_diagnostics/figures/camri/best_boundary_009.png
CAMRI,median boundary,007,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/boundary_error_diagnostics/figures/camri/median_boundary_007.png
CAMRI,worst boundary,064,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/boundary_error_diagnostics/figures/camri/worst_boundary_064.png
CAMRI,mostly <=1 voxel,078,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/boundary_error_diagnostics/figures/camri/mostly_le1_voxel_078.png
CAMRI,largest >3 voxel,043,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/boundary_error_diagnostics/figures/camri/largest_gt3_voxel_043.png
CAMRI,FP dominated,099,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/boundary_error_diagnostics/figures/camri/FP_dominated_099.png
CAMRI,FN dominated,064,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/boundary_error_diagnostics/figures/camri/FN_dominated_064.png
CAMRI,high curvature failure,064,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/boundary_error_diagnostics/figures/camri/high_curvature_failure_064.png
Mouse,best boundary,POLYIC_20190614_polyic___E3_P1_4,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/boundary_error_diagnostics/figures/mouse/best_boundary_POLYIC_20190614_polyic___E3_P1_4.png
Mouse,median boundary,POLYIC_20190517_mouse35__E2_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/boundary_error_diagnostics/figures/mouse/median_boundary_POLYIC_20190517_mouse35__E2_P1.png
Mouse,worst boundary,POLYIC_20190524_polyic___E4_P1_9,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/boundary_error_diagnostics/figures/mouse/worst_boundary_POLYIC_20190524_polyic___E4_P1_9.png
Mouse,mostly <=1 voxel,POLYIC_20190531_polyic_m__E3_P1_3,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/boundary_error_diagnostics/figures/mouse/mostly_le1_voxel_POLYIC_20190531_polyic_m__E3_P1_3.png
Mouse,largest >3 voxel,POLYIC_20190517_mouse37__E3_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/boundary_error_diagnostics/figures/mouse/largest_gt3_voxel_POLYIC_20190517_mouse37__E3_P1.png
Mouse,FP dominated,POLYIC_20190517_mouse39__E12_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/boundary_error_diagnostics/figures/mouse/FP_dominated_POLYIC_20190517_mouse39__E12_P1.png
Mouse,FN dominated,POLYIC_20190524_polyic___E3_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/boundary_error_diagnostics/figures/mouse/FN_dominated_POLYIC_20190524_polyic___E3_P1.png
Mouse,high curvature failure,POLYIC_20190510_mouse43__E9_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/boundary_error_diagnostics/figures/mouse/high_curvature_failure_POLYIC_20190510_mouse43__E9_P1.png
