domain,voxel_group,voxels,probability_p05,probability_p25,probability_median,probability_p75,probability_p95,probability_mean,uncertain_0.25_to_0.75_percent,confident_incorrect_percent
CAMRI,correct inside,586527,0.8697642088,0.999404788,0.9999796152,1,1,0.9814421535,2.773273865,
CAMRI,correct outside,269470,0,4.577636719e-05,0.0004425048828,0.005920499563,0.1210345626,0.01969494112,2.070360337,
CAMRI,FP boundary,4648,0.5158048391,0.5917143822,0.7045165896,0.8470982909,0.9844869614,0.7241593599,58.11101549,16.67383821
CAMRI,FN boundary,33693,0.01673974879,0.08575570583,0.2027771175,0.3465476632,0.4684275627,0.2197374851,41.18659662,28.25809515
Mouse,correct inside,4120525,0.7264661789,0.9838158488,0.9994527698,0.9999753237,0.9999991655,0.9613230824,5.689881751,
Mouse,correct outside,3390708,3.660090761e-06,0.0001624932447,0.001875859103,0.01885750936,0.2170024067,0.03373514116,4.100972422,
Mouse,FP boundary,156895,0.5208804011,0.6099286675,0.7400032282,0.8791629076,0.9804049134,0.7449069619,51.81745754,21.23968259
Mouse,FN boundary,481837,0.00639639711,0.05981459841,0.179627642,0.3361659944,0.4685002863,0.2036549449,38.31772985,34.69368272
Combined,correct inside,4707052,0.7382376194,0.9874120951,0.9996337891,0.9999842644,0.9999998808,0.9638291597,5.32645486,
Combined,correct outside,3660178,2.939855221e-06,0.0001443259098,0.001701532165,0.0175906308,0.2108870171,0.03270147741,3.951474491,
Combined,FP boundary,161543,0.5206184387,0.6093232632,0.739074111,0.8784498572,0.980489254,0.7443099618,51.99853909,21.10831172
Combined,FN boundary,515530,0.006742065004,0.06148814131,0.1811014637,0.3368976712,0.4685000777,0.2047059834,38.50522763,34.27307819
