domain,error_type,normalized_slice_region,error_voxels,percent_of_error_voxels,expert_surface_voxels,errors_per_100_surface_voxels,orientation_interpretation
CAMRI,FP,first 20%,1236,26.59208262,76247,1.621047385,acquisition-slice position only
CAMRI,FP,middle 60%,2070,44.53528399,71457,2.896847055,acquisition-slice position only
CAMRI,FP,final 20%,1342,28.87263339,57593,2.330144288,acquisition-slice position only
CAMRI,FN,first 20%,8457,25.10016917,76247,11.09158393,acquisition-slice position only
CAMRI,FN,middle 60%,19013,56.43011902,71457,26.60761017,acquisition-slice position only
CAMRI,FN,final 20%,6223,18.46971181,57593,10.80513257,acquisition-slice position only
CAMRI,All,first 20%,9693,25.28103075,76247,12.71263132,acquisition-slice position only
CAMRI,All,middle 60%,21083,54.98813281,71457,29.50445723,acquisition-slice position only
CAMRI,All,final 20%,7565,19.73083644,57593,13.13527686,acquisition-slice position only
Mouse,FP,first 20%,46935,29.91491125,451029,10.40620448,acquisition-slice position only
Mouse,FP,middle 60%,90525,57.69782339,1061919,8.524661485,acquisition-slice position only
Mouse,FP,final 20%,19435,12.38726537,191714,10.13749648,acquisition-slice position only
Mouse,FN,first 20%,107041,22.21518895,451029,23.7326203,acquisition-slice position only
Mouse,FN,middle 60%,326672,67.79720113,1061919,30.76242162,acquisition-slice position only
Mouse,FN,final 20%,48124,9.987609918,191714,25.10197482,acquisition-slice position only
Mouse,All,first 20%,153976,24.10651102,451029,34.13882478,acquisition-slice position only
Mouse,All,middle 60%,417197,65.31643945,1061919,39.2870831,acquisition-slice position only
Mouse,All,final 20%,67559,10.57704953,191714,35.2394713,acquisition-slice position only
Combined,FP,first 20%,48171,29.81930508,527276,9.135822605,acquisition-slice position only
Combined,FP,middle 60%,92595,57.31910389,1133376,8.169839488,acquisition-slice position only
Combined,FP,final 20%,20777,12.86159103,249307,8.333901575,acquisition-slice position only
Combined,FN,first 20%,115498,22.40373984,527276,21.90465714,acquisition-slice position only
Combined,FN,middle 60%,345685,67.05429364,1133376,30.50046939,acquisition-slice position only
Combined,FN,final 20%,54347,10.54196652,249307,21.79922746,acquisition-slice position only
Combined,All,first 20%,163669,24.17302123,527276,31.04047975,acquisition-slice position only
Combined,All,middle 60%,438280,64.73157252,1133376,38.67030888,acquisition-slice position only
Combined,All,final 20%,75124,11.09540626,249307,30.13312903,acquisition-slice position only
