domain,subject,voxel_spacing_x_mm,voxel_spacing_y_mm,voxel_spacing_z_mm,dice,hd95_mm,assd_mm,fp_voxels,fn_voxels,surface_dice_0.1mm,surface_dice_0.2mm,surface_dice_0.5mm,surface_dice_1mm
CAMRI,064,0.200000003,0.200000003,0.200000003,0.978230333,0.200000003,0.06469470976,452,10691,0.6903064451,0.6903064451,0.999568792,1
CAMRI,007,0.1000000015,0.1000000015,1,0.9823766067,0.1000000015,0.01776724622,828,4249,0.8699718827,0.9714379985,0.9987519367,1
CAMRI,043,0.1000000015,0.1000000015,1,0.9838353536,0.1000000015,0.01488446026,636,3610,0.880280271,0.9805763537,0.9998139794,1
CAMRI,078,0.200000003,0.200000003,0.200000003,0.9791858031,0.200000003,0.05891901712,686,9307,0.7143580729,0.7143580729,0.9992551321,1
CAMRI,009,0.1000000015,0.1000000015,1,0.9856807902,0.1000000015,0.01272577223,927,2780,0.8955765501,0.9857974097,0.9995620347,1
CAMRI,099,0.1000000015,0.1000000015,1,0.9864444971,0.1000000015,0.01304754294,1119,3056,0.8993043921,0.9844258889,0.9983246438,1
Mouse,POLYIC_20190510_mouse34__E2_P1,0.1000000015,0.1000000015,0.3999999166,0.9627039175,0.200000003,0.05085958053,2150,5550,0.6533319407,0.9062043033,0.9997911009,1
Mouse,POLYIC_20190510_mouse35__E3_P1,0.1000000015,0.1000000015,0.4000000656,0.962740867,0.200000003,0.04957821234,1940,5951,0.644949271,0.9105135495,0.9975222347,1
Mouse,POLYIC_20190510_mouse37__E2_P1,0.1000000015,0.1000000015,0.3999997675,0.9665118161,0.200000003,0.04775718928,1499,6445,0.6581735864,0.918769868,0.9984587227,1
Mouse,POLYIC_20190510_mouse38__E2_P1,0.1000000015,0.1000000015,0.3999999762,0.9688711662,0.200000003,0.04071269988,1636,5421,0.6874875671,0.9372140442,0.9995026855,1
Mouse,POLYIC_20190510_mouse39__E4_P1,0.1000000015,0.1000000015,0.3999998868,0.9650181881,0.200000003,0.04611104001,1630,6448,0.6560812801,0.9213212918,0.9994355551,1
Mouse,POLYIC_20190510_mouse42__E2_P1,0.1000000015,0.1000000015,0.400000155,0.9654640546,0.200000003,0.04770597509,1527,6265,0.6609213799,0.9153473026,0.9990150937,1
Mouse,POLYIC_20190510_mouse43__E2_P1_1,0.1000000015,0.1000000015,0.400000006,0.9617306396,0.200000003,0.04321773408,2522,3498,0.7058448705,0.9120373052,0.9993338354,1
Mouse,POLYIC_20190510_mouse43__E9_P1,0.1000000015,0.1000000015,0.3999999464,0.9561079156,0.3162277707,0.07099725985,4683,5573,0.6192641,0.8547852441,0.9817682436,0.999881612
Mouse,POLYIC_20190517_mouse33__E2_P1,0.1000000015,0.1000000015,0.400000006,0.963188131,0.200000003,0.04983792204,1846,6074,0.6502221304,0.9081774977,0.9991734683,1
Mouse,POLYIC_20190517_mouse35__E2_P1,0.1000000015,0.1000000015,0.3999999762,0.9660315056,0.200000003,0.0443613875,1702,5787,0.6708534541,0.923536918,0.9998248555,1
Mouse,POLYIC_20190517_mouse36__E2_P1,0.1000000015,0.1000000015,0.3999999464,0.963990143,0.200000003,0.04782112662,1279,6875,0.6559565728,0.9162754304,0.9982883412,1
Mouse,POLYIC_20190517_mouse37__E3_P1,0.0703125,0.0703125,0.3000001907,0.9656582269,0.2535153241,0.05358493129,11714,9083,0.8275509719,0.9198113208,0.9987761988,1
Mouse,POLYIC_20190517_mouse38__E3_P1,0.1000000015,0.1000000015,0.4000001252,0.9680198155,0.200000003,0.04212455516,1447,5822,0.6777108434,0.9335090361,0.9981174699,1
