domain,error_type,complexity_group,error_voxels,expert_surface_voxels,errors_per_100_surface_voxels,error_distance_mm_mean,error_distance_mm_median,error_distance_mm_p95,error_distance_mm_maximum
CAMRI,FP,flat,1658,68434,2.422772306,0.1814424694,0.200000003,0.200000003,1.166190386
CAMRI,FP,medium complexity,3629,68430,5.303229578,0.171710819,0.200000003,0.2236067951,1.166190386
CAMRI,FP,high complexity,9320,68433,13.61916035,0.1677815467,0.1000000015,0.3162277639,1.326649904
CAMRI,FN,flat,1518,68434,2.218195634,0.001635601395,0,0,0.3000000119
CAMRI,FN,medium complexity,3326,68430,4.860441327,0.001489573158,0,0,0.3000000119
CAMRI,FN,high complexity,7947,68433,11.61281838,0.001135556144,0,0,0.200000003
CAMRI,All,flat,3176,68434,4.64096794,0.09550203383,0.1000000015,0.200000003,1.166190386
CAMRI,All,medium complexity,6955,68430,10.1636709,0.09030810744,0.1000000015,0.200000003,1.166190386
CAMRI,All,high complexity,17267,68433,25.23197872,0.0910840407,0.1000000015,0.2236067951,1.326649904
Mouse,FP,flat,83495,568246,14.69346023,0.1463882923,0.1000000015,0.3999998868,0.8944281936
Mouse,FP,medium complexity,125235,568196,22.04080986,0.1430041343,0.1000000015,0.3081297874,1.077032924
Mouse,FP,high complexity,122323,568220,21.52740136,0.1681313068,0.1000000015,0.4000000954,1.303841233
Mouse,FN,flat,55855,568246,9.829369674,0.006912951358,0,0,1.700000167
Mouse,FN,medium complexity,95142,568196,16.74457406,0.002397095319,0,0,1.944222331
Mouse,FN,high complexity,103259,568220,18.17236282,0.002564887283,0,0,1.878829479
Mouse,All,flat,139350,568246,24.5228299,0.09048304707,0.1000000015,0.3000000119,1.700000167
Mouse,All,medium complexity,220377,568196,38.78538392,0.08230073005,0.1000000015,0.2828427255,1.944222331
Mouse,All,high complexity,225582,568220,39.69976418,0.0923441425,0.1000000015,0.3605551422,1.878829479
Combined,FP,flat,85153,636680,13.37453666,0.1470708251,0.1000000015,0.3999998868,1.166190386
Combined,FP,medium complexity,128864,636626,20.24171177,0.143812567,0.1000000015,0.3000001907,1.166190386
Combined,FP,high complexity,131643,636653,20.67735485,0.1681065708,0.1000000015,0.4000000954,1.326649904
Combined,FN,flat,57373,636680,9.011277251,0.006773320492,0,0,1.700000167
Combined,FN,medium complexity,98468,636626,15.46716597,0.002366441535,0,0,1.944222331
Combined,FN,high complexity,111206,636653,17.46728595,0.002462744713,0,0,1.878829479
Combined,All,flat,142526,636680,22.38581391,0.09059489518,0.1000000015,0.3000000119,1.700000167
Combined,All,medium complexity,227332,636626,35.70887774,0.08254569769,0.1000000015,0.2828427255,1.944222331
Combined,All,high complexity,242849,636653,38.1446408,0.09225452691,0.1000000015,0.3162277639,1.878829479
