domain,voxel_group,voxels,probability_p05,probability_p25,probability_median,probability_p75,probability_p95,probability_mean,uncertain_0.25_to_0.75_percent,confident_incorrect_percent
CAMRI,correct inside,607429,0.918904388,0.9997637868,0.9999847412,1,1,0.9860979915,1.914627059,
CAMRI,correct outside,259643,0,0.0001678466797,0.001709014177,0.02143892646,0.256321311,0.03877072781,5.198676644,
CAMRI,FP boundary,14607,0.519909966,0.6029212475,0.7256109118,0.8647364378,0.9789272547,0.735543251,54.34380776,18.66228521
CAMRI,FN boundary,12791,0.03771266341,0.1506370604,0.2821393013,0.3997711241,0.4801950455,0.2729066312,56.39903057,16.12070987
Mouse,correct inside,4348334,0.7980416566,0.9927823544,0.9997851253,0.9999908209,0.9999997616,0.9718319774,3.849796267,
Mouse,correct outside,3218814,1.094880195e-05,0.0004328723226,0.004527427023,0.04056046903,0.2998477429,0.04959724098,6.732231188,
Mouse,FP boundary,331053,0.524891746,0.6328852773,0.7771925926,0.9122180939,0.9892843366,0.7696358562,45.3664519,27.48049406
Mouse,FN boundary,254256,0.01241194922,0.08614901267,0.2204782441,0.3654800579,0.4749304503,0.2290319651,44.92912655,27.91320559
Combined,correct inside,4955763,0.8098120511,0.9944143295,0.9998561144,0.9999936819,1,0.9735807776,3.612602136,
Combined,correct outside,3478457,1.057528443e-05,0.0003988488752,0.004241629504,0.03902326152,0.2970144153,0.04878911749,6.617761841,
Combined,FP boundary,345660,0.5246236324,0.631308794,0.7747468948,0.9105085582,0.9891008735,0.7681950927,45.74581959,27.10785165
Combined,FN boundary,267047,0.01287865825,0.08885554969,0.2236972749,0.367503345,0.4752253652,0.2311334759,45.47851127,27.34836939
