domain,error_type,normalized_slice_region,error_voxels,percent_of_error_voxels,expert_surface_voxels,errors_per_100_surface_voxels,orientation_interpretation
CAMRI,FP,first 20%,3293,22.54398576,76247,4.318858447,acquisition-slice position only
CAMRI,FP,middle 60%,7845,53.70712672,71457,10.97863051,acquisition-slice position only
CAMRI,FP,final 20%,3469,23.74888752,57593,6.023301443,acquisition-slice position only
CAMRI,FN,first 20%,3797,29.68493472,76247,4.97986806,acquisition-slice position only
CAMRI,FN,middle 60%,6075,47.49433195,71457,8.501616357,acquisition-slice position only
CAMRI,FN,final 20%,2919,22.82073333,57593,5.068324276,acquisition-slice position only
CAMRI,All,first 20%,7090,25.8778013,76247,9.298726507,acquisition-slice position only
CAMRI,All,middle 60%,13920,50.80662822,71457,19.48024686,acquisition-slice position only
CAMRI,All,final 20%,6388,23.31557048,57593,11.09162572,acquisition-slice position only
Mouse,FP,first 20%,83816,25.31800044,451029,18.583284,acquisition-slice position only
Mouse,FP,middle 60%,205420,62.05048738,1061919,19.34422494,acquisition-slice position only
Mouse,FP,final 20%,41817,12.63151217,191714,21.81217856,acquisition-slice position only
Mouse,FN,first 20%,65108,25.60726197,451029,14.43543542,acquisition-slice position only
Mouse,FN,middle 60%,164913,64.86100623,1061919,15.52971554,acquisition-slice position only
Mouse,FN,final 20%,24235,9.531731798,191714,12.64122599,acquisition-slice position only
Mouse,All,first 20%,148924,25.44365455,451029,33.01871942,acquisition-slice position only
Mouse,All,middle 60%,370333,63.27136606,1061919,34.87394048,acquisition-slice position only
Mouse,All,final 20%,66052,11.28497939,191714,34.45340455,acquisition-slice position only
Combined,FP,first 20%,87109,25.20077533,527276,16.52056987,acquisition-slice position only
Combined,FP,middle 60%,213265,61.69791124,1133376,18.8167916,acquisition-slice position only
Combined,FP,final 20%,45286,13.10131343,249307,18.16475269,acquisition-slice position only
Combined,FN,first 20%,68905,25.80257408,527276,13.06810854,acquisition-slice position only
Combined,FN,middle 60%,170988,64.02917838,1133376,15.0866085,acquisition-slice position only
Combined,FN,final 20%,27154,10.16824754,249307,10.89179205,acquisition-slice position only
Combined,All,first 20%,156014,25.46306799,527276,29.58867842,acquisition-slice position only
Combined,All,middle 60%,384253,62.7139889,1133376,33.90340011,acquisition-slice position only
Combined,All,final 20%,72440,11.8229431,249307,29.05654474,acquisition-slice position only
