domain,subject,voxel_spacing_x_mm,voxel_spacing_y_mm,voxel_spacing_z_mm,dice,hd95_mm,assd_mm,fp_voxels,fn_voxels,surface_dice_0.1mm,surface_dice_0.2mm,surface_dice_0.5mm,surface_dice_1mm
CAMRI,064,0.200000003,0.200000003,0.200000003,0.9869860028,0.200000003,0.03869130371,2713,4064,0.8134506922,0.8134506922,0.999458782,0.9998860594
CAMRI,007,0.1000000015,0.1000000015,1,0.9861910044,0.1000000015,0.01367396435,1852,2169,0.8985573165,0.9795181579,0.9988913368,1
CAMRI,043,0.1000000015,0.1000000015,1,0.987254629,0.1000000015,0.01119174731,1782,1606,0.9071168975,0.9886522213,0.9995552898,1
CAMRI,078,0.200000003,0.200000003,0.200000003,0.9888709318,0.200000003,0.03164703491,3080,2367,0.8505259436,0.8505259436,0.9978932791,0.9997053537
CAMRI,009,0.1000000015,0.1000000015,1,0.9861990968,0.1000000015,0.01151678725,2299,1313,0.9012156407,0.9890050329,0.9998451413,1
CAMRI,099,0.1000000015,0.1000000015,1,0.9866694058,0.1000000015,0.01310983937,2881,1272,0.9026666136,0.9825588341,0.9978895393,1
Mouse,POLYIC_20190510_mouse34__E2_P1,0.1000000015,0.1000000015,0.3999999166,0.9666573535,0.200000003,0.04715285649,4178,2863,0.6803614179,0.9180631709,0.9995623858,1
Mouse,POLYIC_20190510_mouse35__E3_P1,0.1000000015,0.1000000015,0.4000000656,0.9670163046,0.200000003,0.04436405572,3828,3307,0.6780888775,0.9239147187,0.9983303365,1
Mouse,POLYIC_20190510_mouse37__E2_P1,0.1000000015,0.1000000015,0.3999997675,0.9719678572,0.200000003,0.04121705061,3589,3210,0.7062827225,0.9318657782,0.9987148977,1
Mouse,POLYIC_20190510_mouse38__E2_P1,0.1000000015,0.1000000015,0.3999999762,0.9714357315,0.200000003,0.03869561681,3783,2828,0.7073278399,0.9405777909,0.9995830881,1
Mouse,POLYIC_20190510_mouse39__E4_P1,0.1000000015,0.1000000015,0.3999998868,0.9694154347,0.200000003,0.04202425138,3707,3509,0.690331485,0.9296835274,0.9990798809,1
Mouse,POLYIC_20190510_mouse42__E2_P1,0.1000000015,0.1000000015,0.400000155,0.9680646603,0.200000003,0.04524643368,3750,3611,0.6811407454,0.9186987917,0.9990761226,1
Mouse,POLYIC_20190510_mouse43__E2_P1_1,0.1000000015,0.1000000015,0.400000006,0.9607624506,0.2236068011,0.04627254502,4276,2023,0.7106884315,0.8975727466,0.9979559972,1
Mouse,POLYIC_20190510_mouse43__E9_P1,0.1000000015,0.1000000015,0.3999999464,0.9527066338,0.3999999464,0.0800879541,7829,3470,0.6061915047,0.8342739032,0.9743375369,0.999094266
Mouse,POLYIC_20190517_mouse33__E2_P1,0.1000000015,0.1000000015,0.400000006,0.9666261722,0.200000003,0.0455843558,3871,3464,0.6754720823,0.9197332926,0.9993128722,1
Mouse,POLYIC_20190517_mouse35__E2_P1,0.1000000015,0.1000000015,0.3999999762,0.9693583177,0.200000003,0.04106251914,3832,3072,0.6963610761,0.93248351,0.9999011833,1
Mouse,POLYIC_20190517_mouse36__E2_P1,0.1000000015,0.1000000015,0.3999999464,0.9691356423,0.200000003,0.04058616353,3187,3951,0.6985793402,0.9360703106,0.9985552613,1
Mouse,POLYIC_20190517_mouse37__E3_P1,0.0703125,0.0703125,0.3000001907,0.9612160432,0.2899058643,0.06513592888,19405,4556,0.785064675,0.887743562,0.9962891407,1
Mouse,POLYIC_20190517_mouse38__E3_P1,0.1000000015,0.1000000015,0.4000001252,0.9724356272,0.200000003,0.03664835435,3605,2803,0.7173902331,0.9449563889,0.9988912433,1
Mouse,POLYIC_20190517_mouse39__E12_P1,0.0703125,0.0703125,0.3000001907,0.9668420913,0.222347648,0.05288823239,15695,4265,0.833437412,0.9227246568,0.9975755795,1
Mouse,POLYIC_20190517_mouse42__E4_P1,0.1000000015,0.1000000015,0.3999997973,0.9706056856,0.200000003,0.03950841967,3548,3388,0.7035558,0.9360577728,0.9994978359,1
Mouse,POLYIC_20190517_mouse43__E3_P1,0.1000000015,0.1000000015,0.3999997377,0.9715021373,0.200000003,0.03915659796,3972,2868,0.7096865827,0.9412934381,0.998556008,1
Mouse,POLYIC_20190524_polyic___E3_P1,0.1000000015,0.1000000015,0.3999996185,0.9677601116,0.200000003,0.04508812307,2308,4787,0.6789772727,0.9221286526,0.9997717127,1
Mouse,POLYIC_20190524_polyic___E3_P1_1,0.1000000015,0.1000000015,0.4000000954,0.971792616,0.200000003,0.03688409855,3257,3380,0.7127288474,0.9457742921,0.9996150793,1
Mouse,POLYIC_20190524_polyic___E3_P1_10,0.1000000015,0.1000000015,0.4000000954,0.9700629464,0.200000003,0.04070506812,4297,2485,0.707504576,0.9333984137,0.999414277,1
Mouse,POLYIC_20190524_polyic___E3_P1_12,0.1000000015,0.1000000015,0.4000000954,0.9671717702,0.200000003,0.05293913239,4395,3428,0.6768395909,0.9113656919,0.9935298347,0.9955706037
Mouse,POLYIC_20190524_polyic___E3_P1_13,0.1000000015,0.1000000015,0.4000000954,0.9706247189,0.200000003,0.03807755277,3720,2745,0.7047058226,0.944413422,0.99949236,1
Mouse,POLYIC_20190524_polyic___E3_P1_3,0.1000000015,0.1000000015,0.3999996185,0.9660313791,0.200000003,0.04621926006,4025,3557,0.6758778663,0.9112995589,0.9993664254,1
Mouse,POLYIC_20190524_polyic___E3_P1_4,0.1000000015,0.1000000015,0.4000000954,0.9716106707,0.1414213583,0.03684174209,2988,3444,0.7048043462,0.9502290764,0.9999499286,1
Mouse,POLYIC_20190524_polyic___E3_P1_5,0.1000000015,0.1000000015,0.4000005722,0.9693198134,0.200000003,0.04268772867,4495,2343,0.6961718868,0.9274726383,0.9987895294,1
Mouse,POLYIC_20190524_polyic___E3_P1_6,0.1000000015,0.1000000015,0.3999996185,0.9682788799,0.200000003,0.04602850186,4117,3422,0.6779995666,0.916110857,0.999759216,1
Mouse,POLYIC_20190524_polyic___E3_P1_7,0.1000000015,0.1000000015,0.3999996185,0.9694738514,0.200000003,0.03867102313,3503,3031,0.711626363,0.9405531013,0.9981359005,1
Mouse,POLYIC_20190524_polyic___E3_P1_9,0.1000000015,0.1000000015,0.4000000954,0.9694715482,0.200000003,0.03945465641,3510,3245,0.7016342646,0.938477685,0.9983007647,1
Mouse,POLYIC_20190524_polyic___E4_P1_1,0.1000000015,0.1000000015,0.3999996185,0.9695904673,0.200000003,0.0412604785,3814,3056,0.7010684918,0.9336008666,0.9997784234,1
Mouse,POLYIC_20190524_polyic___E4_P1_7,0.1000000015,0.1000000015,0.4000000954,0.9688340293,0.200000003,0.04370826114,3203,3589,0.7009748356,0.9353132321,0.9957933449,0.9977329404
Mouse,POLYIC_20190524_polyic___E4_P1_9,0.1000000015,0.1000000015,0.4000000954,0.9639848982,0.2236068011,0.06803539699,2668,5469,0.6495902129,0.9020572985,0.9800004779,0.9886263172
Mouse,POLYIC_20190524_polyic___E8_P1_1,0.1000000015,0.1000000015,0.4000000954,0.9660121046,0.200000003,0.04780827125,4904,2812,0.6755370549,0.9084466909,0.9989841175,1
Mouse,POLYIC_20190524_polyic___E9_P1_1,0.1000000015,0.1000000015,0.4000005722,0.9681257236,0.2236068011,0.04877277763,4209,3555,0.6975704346,0.9161172579,0.9929052127,0.9997034333
Mouse,POLYIC_20190531_polyic_m__E3_P1,0.1000000015,0.1000000015,0.4000000954,0.971036448,0.200000003,0.0378497528,3464,3285,0.7131887118,0.9440151661,0.9991121136,1
Mouse,POLYIC_20190531_polyic_m__E3_P1_1,0.1000000015,0.1000000015,0.4000000954,0.9688612423,0.200000003,0.04167969726,2836,4022,0.6941554661,0.9357329081,0.9989115853,1
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,0.1000000015,0.1000000015,0.4000000358,0.9716572484,0.1414213583,0.03563835145,2713,3732,0.7173307706,0.9505187157,0.9995071585,1
Mouse,POLYIC_20190531_polyic_m__E3_P1_11,0.1000000015,0.1000000015,0.4000000954,0.9696519664,0.200000003,0.04146427482,2397,4510,0.6935259656,0.9351107139,0.9995283487,1
Mouse,POLYIC_20190531_polyic_m__E3_P1_12,0.1000000015,0.1000000015,0.3999996185,0.9668886579,0.200000003,0.04594155095,3013,4410,0.6742134593,0.9216582952,0.9988254992,1
Mouse,POLYIC_20190531_polyic_m__E3_P1_13,0.1000000015,0.1000000015,0.4000000954,0.9705067159,0.200000003,0.03975424259,2638,4002,0.6940122344,0.9421529558,0.9995431124,1
Mouse,POLYIC_20190531_polyic_m__E3_P1_2,0.1000000015,0.1000000015,0.3999998569,0.9727301487,0.1414213583,0.0358170987,3380,3085,0.7139957471,0.9540402088,0.9996858689,1
Mouse,POLYIC_20190531_polyic_m__E3_P1_3,0.1000000015,0.1000000015,0.4000000954,0.9708264295,0.200000003,0.03661220276,2404,4498,0.7185647926,0.9465687284,0.9991304547,1
Mouse,POLYIC_20190531_polyic_m__E3_P1_4,0.1000000015,0.1000000015,0.4000005722,0.9682230985,0.200000003,0.04597661812,3316,3808,0.6878204652,0.9179361423,0.9996036759,1
Mouse,POLYIC_20190531_polyic_m__E3_P1_5,0.1000000015,0.1000000015,0.4000000954,0.9693911611,0.200000003,0.04037013637,4109,2952,0.6980655196,0.9354768154,0.9993681345,1
Mouse,POLYIC_20190531_polyic_m__E3_P1_6,0.1000000015,0.1000000015,0.4000000954,0.9687749212,0.200000003,0.04125566793,2701,4386,0.6947017145,0.9360143158,0.9979203444,0.9999516359
Mouse,POLYIC_20190531_polyic_m__E3_P1_7,0.1000000015,0.1000000015,0.4000000954,0.9713126856,0.200000003,0.03918840784,3342,3264,0.7062899527,0.9408578539,0.9988288684,1
Mouse,POLYIC_20190531_polyic_m__E3_P1_8,0.1000000015,0.1000000015,0.400000006,0.9676139459,0.200000003,0.04163525642,2529,4605,0.685518686,0.9363680486,0.9983140471,1
Mouse,POLYIC_20190531_polyic_m__E3_P1_9,0.1000000015,0.1000000015,0.4000000954,0.9699787304,0.200000003,0.04284179177,4642,2500,0.6924587024,0.9287048121,0.9994493656,1
Mouse,POLYIC_20190531_polyic_m__E5_P1_11,0.1000000015,0.1000000015,0.3999999762,0.9696136226,0.200000003,0.04384702264,4621,2781,0.6946263527,0.923366309,0.9989085505,1
Mouse,POLYIC_20190612_polyic___E10_P1_1,0.1000000015,0.1000000015,0.4000000954,0.9731175802,0.1414213583,0.03435339408,3446,2754,0.7278508879,0.9521549826,0.9995841691,1
Mouse,POLYIC_20190612_polyic___E12_P1,0.1000000015,0.1000000015,0.4000000954,0.9711020767,0.200000003,0.04058699239,3242,3333,0.6992458522,0.9382604324,0.999321267,1
Mouse,POLYIC_20190612_polyic___E3_P1,0.1000000015,0.1000000015,0.4000005722,0.972008037,0.200000003,0.03646785973,3775,2745,0.7206193499,0.9478505482,0.9991104058,1
Mouse,POLYIC_20190612_polyic___E3_P1_1,0.1000000015,0.1000000015,0.4000000954,0.9699640787,0.200000003,0.04041372421,3422,3284,0.6987945743,0.9346704583,0.9997735108,1
Mouse,POLYIC_20190612_polyic___E3_P1_2,0.1000000015,0.1000000015,0.4000000954,0.9720411543,0.200000003,0.03682006262,3188,3160,0.7155954185,0.9497130363,0.9989068051,1
Mouse,POLYIC_20190612_polyic___E3_P1_3,0.1000000015,0.1000000015,0.4000000954,0.970147177,0.200000003,0.04195469683,4174,2477,0.7034345445,0.9320059731,0.9993031359,1
Mouse,POLYIC_20190612_polyic___E3_P1_4,0.1000000015,0.1000000015,0.4000000954,0.9710976479,0.200000003,0.0375440565,3585,2903,0.7102544021,0.9459869136,0.9994442058,1
Mouse,POLYIC_20190614_polyic___E3_P1,0.1000000015,0.1000000015,0.4000000954,0.9722777665,0.200000003,0.03638234958,3739,2680,0.7151267455,0.9498126794,0.9992458522,1
Mouse,POLYIC_20190614_polyic___E3_P1_1,0.1000000015,0.1000000015,0.3999996185,0.972915287,0.1414213583,0.03546472194,3255,3166,0.7172221017,0.9517819706,1,1
Mouse,POLYIC_20190614_polyic___E3_P1_3,0.1000000015,0.1000000015,0.4000000954,0.971580319,0.200000003,0.04156515263,4461,2431,0.7134318104,0.9295545632,0.9999541967,1
Mouse,POLYIC_20190614_polyic___E3_P1_4,0.1000000015,0.1000000015,0.4000000954,0.9722020469,0.200000003,0.03689434953,4248,2488,0.7131858675,0.9469215919,0.9999767404,1
Mouse,POLYIC_20190614_polyic___E3_P1_5,0.1000000015,0.1000000015,0.4000005722,0.9687751722,0.200000003,0.04323901808,4270,2630,0.6906748866,0.9258952961,0.9991729945,1
Mouse,POLYIC_20190614_polyic___E3_P1_6,0.1000000015,0.1000000015,0.4000000954,0.9727130406,0.1414213583,0.0352370381,3328,2999,0.7289276204,0.9507625272,0.9988138465,1
Mouse,POLYIC_20190614_polyic___E4_P1_5,0.1000000015,0.1000000015,0.4000000954,0.9712294136,0.200000003,0.03761774613,4182,2521,0.712071304,0.9432280566,0.9996124782,1
Mouse,POLYIC_20190618_mouse33__E3_P1,0.1000000015,0.1000000015,0.4000000954,0.9712719005,0.200000003,0.03811704434,3851,2593,0.7138226499,0.9406739201,0.9997738523,1
Mouse,POLYIC_20190618_mouse34__E3_P1,0.1000000015,0.1000000015,0.400000155,0.9712661028,0.200000003,0.03717671389,3940,2437,0.7181128557,0.9463444139,0.9991683258,1
Mouse,POLYIC_20190618_mouse35__E3_P1,0.1000000015,0.1000000015,0.4000000656,0.9703028573,0.200000003,0.0402405754,4122,2538,0.7000425117,0.9385581035,0.9997249244,1
Mouse,POLYIC_20190618_mouse36__E3_P1,0.1000000015,0.1000000015,0.3999998569,0.9719216321,0.200000003,0.03616379473,3740,2778,0.7214410396,0.9472944143,0.9990544996,1
Mouse,POLYIC_20190619_mouse38__E3_P1,0.1000000015,0.1000000015,0.3999999762,0.9670342288,0.200000003,0.04529823292,5154,2311,0.6890943798,0.9203708754,0.9970746461,1
Mouse,POLYIC_20190619_mouse39__E3_P1,0.1000000015,0.1000000015,0.3999998271,0.9708884364,0.200000003,0.039326138,3724,3067,0.7047186011,0.9402375021,0.9986456091,1
Mouse,POLYIC_20190619_mouse42__E3_P1,0.1000000015,0.1000000015,0.3999997675,0.9692660452,0.200000003,0.04113586341,5073,2098,0.6991426345,0.9306069758,0.9995615744,1
Mouse,POLYIC_20190619_mouse43__E3_P1,0.1000000015,0.1000000015,0.3999999166,0.969696214,0.200000003,0.04365918475,5314,1977,0.7012429952,0.9243825381,0.9983395983,1
Mouse,POLYIC_20190628_mouse33__E3_P1,0.1000000015,0.1000000015,0.400000006,0.9700143794,0.200000003,0.04180694864,3576,3243,0.6985025292,0.9310362097,0.998973306,1
Mouse,POLYIC_20190628_mouse34__E6_P1,0.1000000015,0.1000000015,0.4000002146,0.9708150761,0.200000003,0.03901815737,3964,2590,0.7128624091,0.9423881638,0.9983062668,1
Mouse,POLYIC_20190628_mouse35__E3_P1,0.1000000015,0.1000000015,0.3999998868,0.9712775407,0.200000003,0.03945930132,4189,2440,0.7100816774,0.9376813361,0.9991954163,1
Mouse,POLYIC_20190628_mouse36__E3_P1,0.1000000015,0.1000000015,0.400000006,0.9730284091,0.1414213583,0.03397684538,3600,2817,0.7324131366,0.9545692527,0.9996668253,1
Mouse,POLYIC_20190629_polyic_mo__E3_P1,0.1000000015,0.1000000015,0.4000000954,0.9718214656,0.200000003,0.03703057041,3487,3058,0.7099710385,0.9471147996,0.9996836136,1
Mouse,POLYIC_20190629_polyic_mo__E3_P1_1,0.1000000015,0.1000000015,0.4000000954,0.9650897227,0.3605551329,0.05893968056,6197,2363,0.6658356296,0.8826706906,0.9970913703,1
Mouse,POLYIC_20190629_polyic_mo__E3_P1_2,0.1000000015,0.1000000015,0.4000000954,0.9693318026,0.200000003,0.04301294778,4564,3076,0.7002520035,0.920789157,0.9995686426,1
Mouse,POLYIC_20190629_polyic_mo__E3_P1_3,0.1000000015,0.1000000015,0.4000000358,0.9708551205,0.200000003,0.04187499641,4191,2570,0.7118396376,0.9314124266,0.9989770319,1
Mouse,POLYIC_20190629_polyic_mo__E3_P1_5,0.1000000015,0.1000000015,0.4000000954,0.9706424116,0.200000003,0.04081591486,3824,3109,0.7022398206,0.9323760227,1,1
Mouse,POLYIC_20190629_polyic_mo__E4_P1_2,0.1000000015,0.1000000015,0.4000000954,0.9733213761,0.200000003,0.03655056867,3573,2942,0.7208935178,0.9464407738,0.9998114941,1
Mouse,POLYIC_20190629_polyic_mo__E4_P1_4,0.1000000015,0.1000000015,0.3999996185,0.9728804343,0.1414213583,0.03447928458,3082,3302,0.7285585457,0.9562627557,0.9996440268,1
