domain,role,subject,path
CAMRI,largest_improvement,078,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/figures/camri/largest_improvement_078.png
CAMRI,little_no_improvement,099,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/figures/camri/little_no_improvement_099.png
CAMRI,previous_worst_boundary,064,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/figures/camri/previous_worst_boundary_064.png
CAMRI,representative,007,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/figures/camri/representative_007.png
CAMRI,high_curvature,064,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/figures/camri/high_curvature_064.png
CAMRI,visibly_pixelated,099,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/figures/camri/visibly_pixelated_099.png
Mouse,largest_improvement,POLYIC_20190524_polyic___E3_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/figures/mouse/largest_improvement_POLYIC_20190524_polyic___E3_P1.png
Mouse,little_no_improvement,POLYIC_20190629_polyic_mo__E3_P1_1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/figures/mouse/little_no_improvement_POLYIC_20190629_polyic_mo__E3_P1_1.png
Mouse,previous_worst_boundary,POLYIC_20190524_polyic___E4_P1_9,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/figures/mouse/previous_worst_boundary_POLYIC_20190524_polyic___E4_P1_9.png
Mouse,representative,POLYIC_20190524_polyic___E3_P1_9,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/figures/mouse/representative_POLYIC_20190524_polyic___E3_P1_9.png
Mouse,high_curvature,POLYIC_20190510_mouse43__E9_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/figures/mouse/high_curvature_POLYIC_20190510_mouse43__E9_P1.png
Mouse,visibly_pixelated,POLYIC_20190517_mouse37__E3_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/corrected_label_retraining/figures/mouse/visibly_pixelated_POLYIC_20190517_mouse37__E3_P1.png
