domain,prediction_type,metric,old,new,change
CAMRI,raw,dice,0.9825178382361764,0.9868238167928468,0.0043059785566703646
CAMRI,raw,iou,0.9656555426635025,0.973991828598075,0.008336285934572474
CAMRI,raw,precision,0.9947846548950275,0.9854155053894887,-0.009369149505538799
CAMRI,raw,recall,0.9705971837248472,0.988248852580202,0.017651668855354852
CAMRI,raw,hd95_mm,0.13333333532015482,0.13333333532015482,0.0
CAMRI,raw,assd_mm,0.031403851076475496,0.021720616949610343,-0.009683234126865153
CAMRI,raw,fp_voxels,4948,15087,10139.0
CAMRI,raw,fn_voxels,33693,12791,-20902.0
CAMRI,raw,fp_fn_ratio,0.20383817517564498,1.3571020371794227,1.1532638620037776
CAMRI,raw,total_residual_error,38641,27878,-10763.0
CAMRI,filtered,dice,0.9826255639476896,0.9870285117622407,0.004402947814551084
CAMRI,filtered,iou,0.9658624619875407,0.974390827363257,0.00852836537571633
CAMRI,filtered,precision,0.9950078170959734,0.9858250574798132,-0.009182759616160219
CAMRI,filtered,recall,0.9705971837248472,0.988248852580202,0.017651668855354852
CAMRI,filtered,hd95_mm,0.13333333532015482,0.13333333532015482,0.0
CAMRI,filtered,assd_mm,0.03033979142114698,0.019971779482509593,-0.010368011938637386
CAMRI,filtered,fp_voxels,4648,14607,9959.0
CAMRI,filtered,fn_voxels,33693,12791,-20902.0
CAMRI,filtered,fp_fn_ratio,0.19777522317129678,1.3246869906342633,1.1269117674629665
CAMRI,filtered,total_residual_error,38341,27398,-10943.0
Mouse,raw,dice,0.9647620755778487,0.9684565139695043,0.003694438391655619
Mouse,raw,iou,0.931976891853755,0.9388866220810244,0.006909730227269373
Mouse,raw,precision,0.9816959525159081,0.9642796291415519,-0.01741632337435628
Mouse,raw,recall,0.9484919578265437,0.9727598254750347,0.02426786764849098
Mouse,raw,hd95_mm,0.3270039691919215,0.32860292785710143,0.0015989586651799503
Mouse,raw,assd_mm,0.0643574262700199,0.06314216937320183,-0.001215256896818076
Mouse,raw,fp_voxels,174556,351898,177342.0
Mouse,raw,fn_voxels,481837,254256,-227581.0
Mouse,raw,fp_fn_ratio,0.3643124759198861,1.4287901131532526,1.0644776372333664
Mouse,raw,total_residual_error,656393,606154,-50239.0
Mouse,filtered,dice,0.9656853201009344,0.9695357080913205,0.0038503879903860616
Mouse,filtered,iou,0.9336685609196016,0.9408900640651247,0.007221503145523056
Mouse,filtered,precision,0.9836091985678065,0.9664147283012948,-0.017194470266511663
Mouse,filtered,recall,0.9484919578265437,0.9727598254750347,0.02426786764849098
Mouse,filtered,hd95_mm,0.20498341772342926,0.20093750069093738,-0.00404591703249188
Mouse,filtered,assd_mm,0.04604956499120007,0.04214136757995761,-0.003908197411242459
Mouse,filtered,fp_voxels,156895,331053,174158.0
Mouse,filtered,fn_voxels,481837,254256,-227581.0
Mouse,filtered,fp_fn_ratio,0.33230239178790816,1.3560906655600018,1.0237882737720936
Mouse,filtered,total_residual_error,638732,585309,-53423.0
