domain,variable,pearson_r,p_value,n
CAMRI,spacing_z,0.6716874297285943,3.1508340557414003e-13,91
CAMRI,slice_count,-0.672283958534129,2.9498926462865214e-13,91
CAMRI,brain_volume_mm3,-0.7386593813752416,6.440874090618285e-17,91
CAMRI,brain_occupancy_percent,-0.6985095585716231,1.3889166712797927e-14,91
CAMRI,contrast,0.24330980085262197,0.02012642363220203,91
CAMRI,boundary_sharpness,-0.5512270962510383,1.4948651540806272e-08,91
CAMRI,volume_ratio,0.9279274971891092,6.531721632253122e-40,91
Mouse,spacing_z,-0.19171007261209896,0.05479039729476576,101
Mouse,slice_count,0.11225161971896538,0.26373389728436974,101
Mouse,brain_volume_mm3,-0.13829521652318308,0.16783714195188681,101
Mouse,brain_occupancy_percent,-0.05494189238052678,0.5852730314566873,101
Mouse,contrast,-0.23246680282839202,0.01931851639534873,101
Mouse,boundary_sharpness,-0.03257735336736285,0.7463855224511753,101
Mouse,volume_ratio,-0.9732186426372795,5.051979782066534e-65,101
Combined,spacing_z,0.25701797795675024,0.0003197682547065993,192
Combined,slice_count,0.09828828295618178,0.174998824408427,192
Combined,brain_volume_mm3,0.8276432015397039,1.525804031423958e-49,192
Combined,brain_occupancy_percent,0.8668571093739574,2.4494011852372494e-59,192
Combined,contrast,0.653178733507888,9.87179558576253e-25,192
Combined,boundary_sharpness,-0.8446809420626554,1.8334381704658742e-53,192
Combined,volume_ratio,-0.985510580533263,2.3225587517950205e-148,192
CAMRI,query_attention_spread_level1,-0.8968428151536779,8.593894298354271e-08,20
Mouse,query_attention_spread_level1,0.41427003645218685,0.06937414862292515,20
Combined,query_attention_spread_level1,0.6323949419070294,1.1997300742882675e-05,40
