domain,subject,level,pca1,pca2,tsne1,tsne2
CAMRI,108,level4,6.909407767584146,0.773916111574705,-58.47403,86.28362
CAMRI,075,level4,8.096533153522964,-0.07562675883083769,-160.76398,193.63379
CAMRI,111,level4,7.454429454997457,0.6780228954194832,-72.55289,85.136795
CAMRI,051,level4,6.368483159615376,-1.1163726086418688,-46.0769,65.61153
CAMRI,110,level4,5.621588782193985,0.4953019725649325,-63.54478,72.349525
CAMRI,074,level4,7.185317831291073,-3.829440941547625,-41.974236,128.9553
CAMRI,015,level4,-3.6565129443908093,-3.4941757005260734,73.003006,32.055717
CAMRI,106,level4,5.444965093281777,-1.7360759920748083,-71.8097,58.207474
CAMRI,058,level4,4.494749865230568,-2.1435814060848077,-57.944122,53.007557
CAMRI,062,level4,8.050188836498075,-0.6172308129134179,-20.917604,128.86458
CAMRI,121,level4,-2.6763010535960703,-4.272633896864467,247.35104,-232.5164
CAMRI,041,level4,-2.125936272778265,-4.368273551759765,95.92904,77.06773
CAMRI,013,level4,-3.532914741823536,-4.60612462030262,66.10511,49.23874
CAMRI,130,level4,-2.714772067207065,-4.241652309483292,32.779034,68.258
CAMRI,129,level4,-2.0612372649960387,-4.235944044947728,39.668762,81.3089
CAMRI,124,level4,-2.9013722972945883,-4.291673010170335,-59.87766,268.78406
CAMRI,104,level4,-1.8961431672434317,-5.014751846493609,89.88623,87.46972
CAMRI,011,level4,-3.375667712861484,-4.397548313602779,52.229507,38.53319
CAMRI,101,level4,-2.820477977030411,-4.414326357003354,85.736115,57.881893
CAMRI,122,level4,-2.993645261960664,-4.118690942174503,58.526123,67.573235
Mouse,POLYIC_20190524_polyic___E3_P1,level4,-0.34739822366532624,2.3667540414004202,-74.003716,-24.345644
Mouse,POLYIC_20190517_mouse31__E3_P1,level4,-0.31311328629646185,2.935236558405269,-62.413197,-21.100487
Mouse,POLYIC_20190614_polyic___E3_P1_1,level4,-1.1536086412619508,2.5907096273364756,18.703518,-54.789112
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,level4,-1.1390152490979795,2.548958846097887,-12.661754,-38.872643
Mouse,POLYIC_20190524_polyic___E3_P1_3,level4,-0.6246108006506959,2.679889406278305,-22.73435,-22.224178
Mouse,POLYIC_20190531_polyic_m__E3_P1_9,level4,-0.24969958053278365,2.3719698049730447,-8.771429,-55.45733
Mouse,POLYIC_20190531_polyic_m__E3_P1_6,level4,-0.8586220394066986,2.589218165459708,0.35780188,-40.909172
Mouse,POLYIC_20190524_polyic___E3_P1_13,level4,-1.437311783577064,2.374302277281332,-31.9116,-38.30004
Mouse,POLYIC_20190531_polyic_m__E3_P1_2,level4,-0.45174186360959967,2.8457083933592773,0.5382961,-27.081327
Mouse,POLYIC_20190510_mouse39__E4_P1,level4,-0.2013048300459281,2.1415096287133655,-60.050793,-36.911633
Mouse,POLYIC_20190628_mouse32__E3_P1,level4,-0.009890824196696024,2.9404201764233195,17.102335,-80.95665
Mouse,POLYIC_20190510_mouse43__E2_P1_1,level4,-5.910240814297138,3.3613930428955543,87.381676,-62.917854
Mouse,POLYIC_20190629_polyic_mo__E3_P1_5,level4,-1.0839481656525574,2.8540648806478064,23.702185,-69.946014
Mouse,POLYIC_20190628_mouse33__E3_P1,level4,-1.9464331044960794,2.348980647822108,51.8931,-20.217766
Mouse,POLYIC_20190517_mouse37__E3_P1,level4,-3.226121859741861,3.974634157871356,63.891415,-79.36452
Mouse,POLYIC_20190619_mouse43__E3_P1,level4,-1.899466693945779,1.9975629895112776,39.651108,-36.066624
Mouse,POLYIC_20190517_mouse39__E12_P1,level4,-2.7172046103346625,3.655342907657172,71.609215,-70.32662
Mouse,POLYIC_20190612_polyic___E10_P1_1,level4,-2.0199775678596366,2.4310437926469124,51.530457,-36.53512
Mouse,POLYIC_20190524_polyic___E3_P1_10,level4,-2.5874369288102677,2.664842032293531,55.61819,-55.860233
Mouse,POLYIC_20190517_mouse40__E3_P1,level4,-0.6935363155538855,3.3543407567886465,-51.816032,-53.46473
CAMRI,108,level3,6.7378301041036055,-1.7880887712469276,44.853493,60.6142
CAMRI,075,level3,6.185168595769839,-2.8007680671569215,50.203083,59.478893
CAMRI,111,level3,7.097259604568358,-2.0025228002140345,43.345116,61.76533
CAMRI,051,level3,5.705225913487781,-3.2103229486901927,51.655994,61.3976
CAMRI,110,level3,6.63656456071642,-1.4477533790793,43.046223,59.69521
CAMRI,074,level3,4.907922162793649,-2.72477405614448,52.33105,58.342525
CAMRI,015,level3,-3.4255301708090085,-2.8553018061189026,-56.34981,35.21261
CAMRI,106,level3,3.5848573858141535,-2.5602581190622824,45.27671,57.90322
CAMRI,058,level3,3.332600437001672,-3.590210080428736,49.080826,57.28054
CAMRI,062,level3,7.418246977950526,-2.033177213045917,49.200775,60.867252
CAMRI,121,level3,-5.711229236921612,-3.971699923419169,-58.36237,43.822987
CAMRI,041,level3,-1.8144834669226981,-3.5119660775845825,-64.357056,37.402714
CAMRI,013,level3,-3.3803184745750223,-3.653724801856005,-60.747868,34.376118
CAMRI,130,level3,-5.149329043097071,-4.506820249826781,-60.5894,42.623646
