domain,subject,partition,region,fp_voxels,fn_voxels
CAMRI,001,axis_halves,left,332,1731
CAMRI,001,axis_halves,right,624,1773
CAMRI,001,axis_halves,dorsal,699,1086
CAMRI,001,axis_halves,ventral,257,2418
CAMRI,001,axis_halves,rostral,375,2177
CAMRI,001,axis_halves,caudal,581,1327
CAMRI,001,center,center,433,920
CAMRI,001,brain_position,first 20%,126,1017
CAMRI,001,brain_position,middle 60%,496,1884
CAMRI,001,brain_position,last 20%,334,603
CAMRI,002,axis_halves,left,239,1985
CAMRI,002,axis_halves,right,304,1711
CAMRI,002,axis_halves,dorsal,265,1221
CAMRI,002,axis_halves,ventral,278,2475
CAMRI,002,axis_halves,rostral,337,2210
CAMRI,002,axis_halves,caudal,206,1486
CAMRI,002,center,center,232,1090
CAMRI,002,brain_position,first 20%,90,1012
CAMRI,002,brain_position,middle 60%,357,1981
CAMRI,002,brain_position,last 20%,96,703
CAMRI,004,axis_halves,left,233,2173
CAMRI,004,axis_halves,right,201,2078
CAMRI,004,axis_halves,dorsal,345,1055
CAMRI,004,axis_halves,ventral,89,3196
CAMRI,004,axis_halves,rostral,189,2631
CAMRI,004,axis_halves,caudal,245,1620
CAMRI,004,center,center,248,896
CAMRI,004,brain_position,first 20%,38,972
CAMRI,004,brain_position,middle 60%,303,2450
CAMRI,004,brain_position,last 20%,93,829
CAMRI,008,axis_halves,left,368,1971
CAMRI,008,axis_halves,right,346,1731
CAMRI,008,axis_halves,dorsal,463,1162
CAMRI,008,axis_halves,ventral,251,2540
CAMRI,008,axis_halves,rostral,319,2287
CAMRI,008,axis_halves,caudal,395,1415
CAMRI,008,center,center,349,866
CAMRI,008,brain_position,first 20%,152,977
CAMRI,008,brain_position,middle 60%,426,2102
CAMRI,008,brain_position,last 20%,136,623
CAMRI,010,axis_halves,left,381,2100
CAMRI,010,axis_halves,right,455,2046
CAMRI,010,axis_halves,dorsal,660,1050
CAMRI,010,axis_halves,ventral,176,3096
CAMRI,010,axis_halves,rostral,424,2719
CAMRI,010,axis_halves,caudal,412,1427
CAMRI,010,center,center,526,837
CAMRI,010,brain_position,first 20%,96,1198
CAMRI,010,brain_position,middle 60%,609,2163
CAMRI,010,brain_position,last 20%,131,785
CAMRI,011,axis_halves,left,329,1736
CAMRI,011,axis_halves,right,392,1711
CAMRI,011,axis_halves,dorsal,481,1052
CAMRI,011,axis_halves,ventral,240,2395
CAMRI,011,axis_halves,rostral,395,2130
CAMRI,011,axis_halves,caudal,326,1317
CAMRI,011,center,center,304,1147
CAMRI,011,brain_position,first 20%,173,953
CAMRI,011,brain_position,middle 60%,402,1950
CAMRI,011,brain_position,last 20%,146,544
CAMRI,012,axis_halves,left,433,1716
CAMRI,012,axis_halves,right,558,1326
CAMRI,012,axis_halves,dorsal,747,864
CAMRI,012,axis_halves,ventral,244,2178
CAMRI,012,axis_halves,rostral,394,1889
CAMRI,012,axis_halves,caudal,597,1153
CAMRI,012,center,center,622,893
CAMRI,012,brain_position,first 20%,125,891
CAMRI,012,brain_position,middle 60%,698,1593
CAMRI,012,brain_position,last 20%,168,558
CAMRI,013,axis_halves,left,281,1892
CAMRI,013,axis_halves,right,283,1913
CAMRI,013,axis_halves,dorsal,350,1367
CAMRI,013,axis_halves,ventral,214,2438
CAMRI,013,axis_halves,rostral,366,2168
CAMRI,013,axis_halves,caudal,198,1637
CAMRI,013,center,center,186,1340
CAMRI,013,brain_position,first 20%,200,809
CAMRI,013,brain_position,middle 60%,268,2287
CAMRI,013,brain_position,last 20%,96,709
CAMRI,014,axis_halves,left,241,2056
CAMRI,014,axis_halves,right,228,1902
CAMRI,014,axis_halves,dorsal,391,1076
CAMRI,014,axis_halves,ventral,78,2882
CAMRI,014,axis_halves,rostral,324,2090
CAMRI,014,axis_halves,caudal,145,1868
CAMRI,014,center,center,235,1143
CAMRI,014,brain_position,first 20%,121,667
CAMRI,014,brain_position,middle 60%,305,2345
CAMRI,014,brain_position,last 20%,43,946
CAMRI,015,axis_halves,left,205,4275
CAMRI,015,axis_halves,right,580,3316
CAMRI,015,axis_halves,dorsal,209,5513
CAMRI,015,axis_halves,ventral,576,2078
CAMRI,015,axis_halves,rostral,686,4661
CAMRI,015,axis_halves,caudal,99,2930
CAMRI,015,center,center,190,4263
CAMRI,015,brain_position,first 20%,525,960
CAMRI,015,brain_position,middle 60%,247,5452
CAMRI,015,brain_position,last 20%,13,1179
CAMRI,016,axis_halves,left,131,2715
CAMRI,016,axis_halves,right,174,2372
CAMRI,016,axis_halves,dorsal,155,2622
CAMRI,016,axis_halves,ventral,150,2465
CAMRI,016,axis_halves,rostral,167,2885
CAMRI,016,axis_halves,caudal,138,2202
CAMRI,016,center,center,129,1619
CAMRI,016,brain_position,first 20%,67,1221
CAMRI,016,brain_position,middle 60%,159,2851
CAMRI,016,brain_position,last 20%,79,1015
CAMRI,017,axis_halves,left,295,2026
CAMRI,017,axis_halves,right,418,2390
CAMRI,017,axis_halves,dorsal,574,1545
CAMRI,017,axis_halves,ventral,139,2871
CAMRI,017,axis_halves,rostral,303,2455
CAMRI,017,axis_halves,caudal,410,1961
CAMRI,017,center,center,400,1329
CAMRI,017,brain_position,first 20%,63,998
CAMRI,017,brain_position,middle 60%,504,2465
CAMRI,017,brain_position,last 20%,146,953
CAMRI,019,axis_halves,left,253,2435
CAMRI,019,axis_halves,right,295,2201
CAMRI,019,axis_halves,dorsal,158,2204
CAMRI,019,axis_halves,ventral,390,2432
CAMRI,019,axis_halves,rostral,315,2707
CAMRI,019,axis_halves,caudal,233,1929
CAMRI,019,center,center,199,1327
CAMRI,019,brain_position,first 20%,188,934
CAMRI,019,brain_position,middle 60%,261,2776
CAMRI,019,brain_position,last 20%,99,926
CAMRI,026,axis_halves,left,136,2067
CAMRI,026,axis_halves,right,348,2094
CAMRI,026,axis_halves,dorsal,342,1744
CAMRI,026,axis_halves,ventral,142,2417
CAMRI,026,axis_halves,rostral,305,2384
CAMRI,026,axis_halves,caudal,179,1777
CAMRI,026,center,center,196,1535
CAMRI,026,brain_position,first 20%,64,972
CAMRI,026,brain_position,middle 60%,297,2368
CAMRI,026,brain_position,last 20%,123,821
CAMRI,027,axis_halves,left,135,2417
CAMRI,027,axis_halves,right,222,2155
CAMRI,027,axis_halves,dorsal,209,2085
CAMRI,027,axis_halves,ventral,148,2487
CAMRI,027,axis_halves,rostral,205,2620
CAMRI,027,axis_halves,caudal,152,1952
CAMRI,027,center,center,162,1540
CAMRI,027,brain_position,first 20%,67,1042
CAMRI,027,brain_position,middle 60%,197,2582
CAMRI,027,brain_position,last 20%,93,948
CAMRI,028,axis_halves,left,91,2088
CAMRI,028,axis_halves,right,113,2464
CAMRI,028,axis_halves,dorsal,101,2087
CAMRI,028,axis_halves,ventral,103,2465
CAMRI,028,axis_halves,rostral,103,2586
CAMRI,028,axis_halves,caudal,101,1966
CAMRI,028,center,center,105,1687
CAMRI,028,brain_position,first 20%,42,922
CAMRI,028,brain_position,middle 60%,125,2628
CAMRI,028,brain_position,last 20%,37,1002
CAMRI,029,axis_halves,left,204,1987
CAMRI,029,axis_halves,right,225,1959
CAMRI,029,axis_halves,dorsal,195,1983
CAMRI,029,axis_halves,ventral,234,1963
CAMRI,029,axis_halves,rostral,296,2104
CAMRI,029,axis_halves,caudal,133,1842
CAMRI,029,center,center,140,1329
CAMRI,029,brain_position,first 20%,172,689
CAMRI,029,brain_position,middle 60%,187,2309
CAMRI,029,brain_position,last 20%,70,948
CAMRI,031,axis_halves,left,120,2337
CAMRI,031,axis_halves,right,163,2219
CAMRI,031,axis_halves,dorsal,125,2291
CAMRI,031,axis_halves,ventral,158,2265
CAMRI,031,axis_halves,rostral,214,2360
CAMRI,031,axis_halves,caudal,69,2196
CAMRI,031,center,center,123,1692
CAMRI,031,brain_position,first 20%,94,794
CAMRI,031,brain_position,middle 60%,163,2682
CAMRI,031,brain_position,last 20%,26,1080
CAMRI,032,axis_halves,left,158,2031
CAMRI,032,axis_halves,right,225,1915
CAMRI,032,axis_halves,dorsal,213,1826
CAMRI,032,axis_halves,ventral,170,2120
CAMRI,032,axis_halves,rostral,252,2102
CAMRI,032,axis_halves,caudal,131,1844
CAMRI,032,center,center,142,1303
CAMRI,032,brain_position,first 20%,141,691
CAMRI,032,brain_position,middle 60%,176,2314
CAMRI,032,brain_position,last 20%,66,941
CAMRI,033,axis_halves,left,163,1889
CAMRI,033,axis_halves,right,282,2201
CAMRI,033,axis_halves,dorsal,269,1875
CAMRI,033,axis_halves,ventral,176,2215
CAMRI,033,axis_halves,rostral,280,2258
CAMRI,033,axis_halves,caudal,165,1832
CAMRI,033,center,center,197,1412
CAMRI,033,brain_position,first 20%,108,864
CAMRI,033,brain_position,middle 60%,270,2280
CAMRI,033,brain_position,last 20%,67,946
CAMRI,034,axis_halves,left,153,2066
CAMRI,034,axis_halves,right,193,2324
CAMRI,034,axis_halves,dorsal,167,2125
CAMRI,034,axis_halves,ventral,179,2265
CAMRI,034,axis_halves,rostral,175,2591
CAMRI,034,axis_halves,caudal,171,1799
CAMRI,034,center,center,165,1409
CAMRI,034,brain_position,first 20%,77,1175
CAMRI,034,brain_position,middle 60%,190,2264
CAMRI,034,brain_position,last 20%,79,951
CAMRI,036,axis_halves,left,159,2359
CAMRI,036,axis_halves,right,203,2531
CAMRI,036,axis_halves,dorsal,166,2718
CAMRI,036,axis_halves,ventral,196,2172
CAMRI,036,axis_halves,rostral,247,2797
CAMRI,036,axis_halves,caudal,115,2093
CAMRI,036,center,center,81,1487
CAMRI,036,brain_position,first 20%,86,1152
CAMRI,036,brain_position,middle 60%,240,2695
CAMRI,036,brain_position,last 20%,36,1043
CAMRI,037,axis_halves,left,159,1900
CAMRI,037,axis_halves,right,213,1883
CAMRI,037,axis_halves,dorsal,218,1858
CAMRI,037,axis_halves,ventral,154,1925
CAMRI,037,axis_halves,rostral,185,2074
CAMRI,037,axis_halves,caudal,187,1709
CAMRI,037,center,center,181,1375
CAMRI,037,brain_position,first 20%,70,705
CAMRI,037,brain_position,middle 60%,237,2174
CAMRI,037,brain_position,last 20%,65,904
CAMRI,038,axis_halves,left,135,1995
CAMRI,038,axis_halves,right,202,1960
CAMRI,038,axis_halves,dorsal,114,2120
CAMRI,038,axis_halves,ventral,223,1835
CAMRI,038,axis_halves,rostral,165,2117
CAMRI,038,axis_halves,caudal,172,1838
CAMRI,038,center,center,183,1399
CAMRI,038,brain_position,first 20%,79,744
CAMRI,038,brain_position,middle 60%,204,2275
CAMRI,038,brain_position,last 20%,54,936
CAMRI,039,axis_halves,left,114,2067
CAMRI,039,axis_halves,right,201,1888
CAMRI,039,axis_halves,dorsal,173,2056
CAMRI,039,axis_halves,ventral,142,1899
CAMRI,039,axis_halves,rostral,208,2119
CAMRI,039,axis_halves,caudal,107,1836
CAMRI,039,center,center,171,1279
CAMRI,039,brain_position,first 20%,96,728
CAMRI,039,brain_position,middle 60%,190,2246
CAMRI,039,brain_position,last 20%,29,981
CAMRI,040,axis_halves,left,140,2180
CAMRI,040,axis_halves,right,173,2281
CAMRI,040,axis_halves,dorsal,94,2320
CAMRI,040,axis_halves,ventral,219,2141
CAMRI,040,axis_halves,rostral,137,2657
CAMRI,040,axis_halves,caudal,176,1804
CAMRI,040,center,center,144,1588
CAMRI,040,brain_position,first 20%,68,887
CAMRI,040,brain_position,middle 60%,170,2666
CAMRI,040,brain_position,last 20%,75,908
CAMRI,041,axis_halves,left,153,2099
CAMRI,041,axis_halves,right,206,1917
CAMRI,041,axis_halves,dorsal,152,2244
CAMRI,041,axis_halves,ventral,207,1772
CAMRI,041,axis_halves,rostral,200,2324
CAMRI,041,axis_halves,caudal,159,1692
CAMRI,041,center,center,138,913
CAMRI,041,brain_position,first 20%,92,896
CAMRI,041,brain_position,middle 60%,189,2285
CAMRI,041,brain_position,last 20%,78,835
CAMRI,044,axis_halves,left,192,5073
CAMRI,044,axis_halves,right,196,6850
CAMRI,044,axis_halves,dorsal,124,5915
CAMRI,044,axis_halves,ventral,264,6008
CAMRI,044,axis_halves,rostral,67,7543
CAMRI,044,axis_halves,caudal,321,4380
CAMRI,044,center,center,107,2789
CAMRI,044,brain_position,first 20%,7,1884
CAMRI,044,brain_position,middle 60%,156,8094
CAMRI,044,brain_position,last 20%,225,1945
CAMRI,045,axis_halves,left,70,5180
CAMRI,045,axis_halves,right,192,7404
CAMRI,045,axis_halves,dorsal,25,5145
CAMRI,045,axis_halves,ventral,237,7439
CAMRI,045,axis_halves,rostral,72,6929
CAMRI,045,axis_halves,caudal,190,5655
CAMRI,045,center,center,57,3062
CAMRI,045,brain_position,first 20%,29,2475
CAMRI,045,brain_position,middle 60%,142,7171
CAMRI,045,brain_position,last 20%,46,2938
CAMRI,046,axis_halves,left,472,5414
CAMRI,046,axis_halves,right,250,5822
CAMRI,046,axis_halves,dorsal,51,4948
CAMRI,046,axis_halves,ventral,671,6288
CAMRI,046,axis_halves,rostral,57,6713
CAMRI,046,axis_halves,caudal,665,4523
CAMRI,046,center,center,122,3072
CAMRI,046,brain_position,first 20%,4,1889
CAMRI,046,brain_position,middle 60%,169,7319
CAMRI,046,brain_position,last 20%,271,2028
CAMRI,047,axis_halves,left,158,4972
CAMRI,047,axis_halves,right,146,5228
CAMRI,047,axis_halves,dorsal,78,4126
CAMRI,047,axis_halves,ventral,226,6074
CAMRI,047,axis_halves,rostral,76,4225
CAMRI,047,axis_halves,caudal,228,5975
CAMRI,047,center,center,0,3430
CAMRI,047,brain_position,first 20%,17,1361
CAMRI,047,brain_position,middle 60%,151,7018
CAMRI,047,brain_position,last 20%,136,1821
CAMRI,048,axis_halves,left,133,6870
CAMRI,048,axis_halves,right,209,7514
CAMRI,048,axis_halves,dorsal,74,6289
CAMRI,048,axis_halves,ventral,268,8095
CAMRI,048,axis_halves,rostral,195,7367
CAMRI,048,axis_halves,caudal,147,7017
CAMRI,048,center,center,1,3896
CAMRI,048,brain_position,first 20%,115,2300
CAMRI,048,brain_position,middle 60%,71,9276
CAMRI,048,brain_position,last 20%,93,2808
CAMRI,049,axis_halves,left,290,4588
CAMRI,049,axis_halves,right,411,8103
CAMRI,049,axis_halves,dorsal,218,6499
CAMRI,049,axis_halves,ventral,483,6192
CAMRI,049,axis_halves,rostral,44,8051
CAMRI,049,axis_halves,caudal,657,4640
CAMRI,049,center,center,183,2483
CAMRI,049,brain_position,first 20%,15,2206
CAMRI,049,brain_position,middle 60%,192,8661
CAMRI,049,brain_position,last 20%,494,1824
CAMRI,051,axis_halves,left,233,7827
CAMRI,051,axis_halves,right,347,10697
CAMRI,051,axis_halves,dorsal,58,7727
CAMRI,051,axis_halves,ventral,522,10797
CAMRI,051,axis_halves,rostral,236,9381
CAMRI,051,axis_halves,caudal,344,9143
CAMRI,051,center,center,78,3677
CAMRI,051,brain_position,first 20%,191,3695
CAMRI,051,brain_position,middle 60%,137,9859
CAMRI,051,brain_position,last 20%,155,4970
CAMRI,052,axis_halves,left,459,4665
CAMRI,052,axis_halves,right,448,5849
CAMRI,052,axis_halves,dorsal,157,4301
CAMRI,052,axis_halves,ventral,750,6213
CAMRI,052,axis_halves,rostral,86,5533
CAMRI,052,axis_halves,caudal,821,4981
CAMRI,052,center,center,72,2834
CAMRI,052,brain_position,first 20%,39,2437
CAMRI,052,brain_position,middle 60%,125,6158
CAMRI,052,brain_position,last 20%,666,1919
CAMRI,053,axis_halves,left,601,4646
CAMRI,053,axis_halves,right,385,4556
CAMRI,053,axis_halves,dorsal,404,3498
CAMRI,053,axis_halves,ventral,582,5704
CAMRI,053,axis_halves,rostral,296,4442
CAMRI,053,axis_halves,caudal,690,4760
CAMRI,053,center,center,14,2975
CAMRI,053,brain_position,first 20%,144,1063
CAMRI,053,brain_position,middle 60%,370,7026
CAMRI,053,brain_position,last 20%,472,1113
CAMRI,054,axis_halves,left,666,4856
CAMRI,054,axis_halves,right,553,4522
CAMRI,054,axis_halves,dorsal,710,3160
CAMRI,054,axis_halves,ventral,509,6218
CAMRI,054,axis_halves,rostral,426,4698
CAMRI,054,axis_halves,caudal,793,4680
CAMRI,054,center,center,460,2679
CAMRI,054,brain_position,first 20%,61,1877
CAMRI,054,brain_position,middle 60%,806,6354
CAMRI,054,brain_position,last 20%,352,1147
CAMRI,055,axis_halves,left,177,3789
CAMRI,055,axis_halves,right,398,5524
CAMRI,055,axis_halves,dorsal,127,3765
CAMRI,055,axis_halves,ventral,448,5548
CAMRI,055,axis_halves,rostral,168,4925
CAMRI,055,axis_halves,caudal,407,4388
CAMRI,055,center,center,85,2269
CAMRI,055,brain_position,first 20%,120,2036
CAMRI,055,brain_position,middle 60%,206,6449
CAMRI,055,brain_position,last 20%,249,828
CAMRI,056,axis_halves,left,185,4594
CAMRI,056,axis_halves,right,288,5269
CAMRI,056,axis_halves,dorsal,315,3637
CAMRI,056,axis_halves,ventral,158,6226
CAMRI,056,axis_halves,rostral,324,5104
CAMRI,056,axis_halves,caudal,149,4759
CAMRI,056,center,center,28,2844
CAMRI,056,brain_position,first 20%,111,1370
CAMRI,056,brain_position,middle 60%,253,6709
CAMRI,056,brain_position,last 20%,109,1784
CAMRI,057,axis_halves,left,673,5826
CAMRI,057,axis_halves,right,1244,7004
CAMRI,057,axis_halves,dorsal,1086,4131
CAMRI,057,axis_halves,ventral,831,8699
CAMRI,057,axis_halves,rostral,1292,6889
CAMRI,057,axis_halves,caudal,625,5941
CAMRI,057,center,center,106,3226
CAMRI,057,brain_position,first 20%,169,2911
CAMRI,057,brain_position,middle 60%,1191,7702
CAMRI,057,brain_position,last 20%,552,2217
CAMRI,058,axis_halves,left,263,6847
CAMRI,058,axis_halves,right,221,8189
CAMRI,058,axis_halves,dorsal,24,6001
CAMRI,058,axis_halves,ventral,460,9035
CAMRI,058,axis_halves,rostral,17,8557
CAMRI,058,axis_halves,caudal,467,6479
CAMRI,058,center,center,107,3430
CAMRI,058,brain_position,first 20%,3,3433
CAMRI,058,brain_position,middle 60%,125,8369
CAMRI,058,brain_position,last 20%,93,3234
CAMRI,059,axis_halves,left,132,8003
CAMRI,059,axis_halves,right,33,6523
CAMRI,059,axis_halves,dorsal,92,5792
CAMRI,059,axis_halves,ventral,73,8734
CAMRI,059,axis_halves,rostral,79,6948
CAMRI,059,axis_halves,caudal,86,7578
CAMRI,059,center,center,13,3090
CAMRI,059,brain_position,first 20%,5,2415
CAMRI,059,brain_position,middle 60%,90,9119
CAMRI,059,brain_position,last 20%,70,2992
CAMRI,060,axis_halves,left,248,4727
CAMRI,060,axis_halves,right,221,4316
CAMRI,060,axis_halves,dorsal,162,3504
CAMRI,060,axis_halves,ventral,307,5539
CAMRI,060,axis_halves,rostral,95,4567
CAMRI,060,axis_halves,caudal,374,4476
CAMRI,060,center,center,19,2632
CAMRI,060,brain_position,first 20%,56,1162
CAMRI,060,brain_position,middle 60%,141,6326
CAMRI,060,brain_position,last 20%,272,1555
CAMRI,061,axis_halves,left,133,4032
CAMRI,061,axis_halves,right,313,5664
CAMRI,061,axis_halves,dorsal,76,3613
CAMRI,061,axis_halves,ventral,370,6083
CAMRI,061,axis_halves,rostral,50,5226
CAMRI,061,axis_halves,caudal,396,4470
CAMRI,061,center,center,74,2620
CAMRI,061,brain_position,first 20%,26,1837
CAMRI,061,brain_position,middle 60%,159,7111
CAMRI,061,brain_position,last 20%,261,748
CAMRI,062,axis_halves,left,204,6659
CAMRI,062,axis_halves,right,852,7312
CAMRI,062,axis_halves,dorsal,709,5799
CAMRI,062,axis_halves,ventral,347,8172
CAMRI,062,axis_halves,rostral,222,5543
CAMRI,062,axis_halves,caudal,834,8428
CAMRI,062,center,center,58,3702
CAMRI,062,brain_position,first 20%,158,2064
CAMRI,062,brain_position,middle 60%,698,8329
CAMRI,062,brain_position,last 20%,200,3578
CAMRI,065,axis_halves,left,690,6703
CAMRI,065,axis_halves,right,174,6656
CAMRI,065,axis_halves,dorsal,167,4456
CAMRI,065,axis_halves,ventral,697,8903
CAMRI,065,axis_halves,rostral,121,6563
CAMRI,065,axis_halves,caudal,743,6796
CAMRI,065,center,center,131,3866
CAMRI,065,brain_position,first 20%,1,2219
CAMRI,065,brain_position,middle 60%,244,8314
CAMRI,065,brain_position,last 20%,619,2826
CAMRI,067,axis_halves,left,38,4734
CAMRI,067,axis_halves,right,201,6077
CAMRI,067,axis_halves,dorsal,75,4396
CAMRI,067,axis_halves,ventral,164,6415
CAMRI,067,axis_halves,rostral,63,5258
CAMRI,067,axis_halves,caudal,176,5553
CAMRI,067,center,center,14,2880
CAMRI,067,brain_position,first 20%,33,2091
CAMRI,067,brain_position,middle 60%,92,7481
CAMRI,067,brain_position,last 20%,114,1239
CAMRI,068,axis_halves,left,257,5669
CAMRI,068,axis_halves,right,480,6297
CAMRI,068,axis_halves,dorsal,663,4094
CAMRI,068,axis_halves,ventral,74,7872
CAMRI,068,axis_halves,rostral,639,6120
CAMRI,068,axis_halves,caudal,98,5846
CAMRI,068,center,center,0,3516
CAMRI,068,brain_position,first 20%,75,2691
CAMRI,068,brain_position,middle 60%,590,7855
CAMRI,068,brain_position,last 20%,72,1420
CAMRI,069,axis_halves,left,322,4861
CAMRI,069,axis_halves,right,189,7544
CAMRI,069,axis_halves,dorsal,326,4572
CAMRI,069,axis_halves,ventral,185,7833
CAMRI,069,axis_halves,rostral,399,6956
CAMRI,069,axis_halves,caudal,112,5449
CAMRI,069,center,center,52,3145
CAMRI,069,brain_position,first 20%,348,2437
CAMRI,069,brain_position,middle 60%,62,8584
CAMRI,069,brain_position,last 20%,101,1384
CAMRI,072,axis_halves,left,232,5027
CAMRI,072,axis_halves,right,254,5105
CAMRI,072,axis_halves,dorsal,211,3477
CAMRI,072,axis_halves,ventral,275,6655
CAMRI,072,axis_halves,rostral,196,4549
CAMRI,072,axis_halves,caudal,290,5583
CAMRI,072,center,center,0,2822
CAMRI,072,brain_position,first 20%,44,1468
CAMRI,072,brain_position,middle 60%,180,6700
CAMRI,072,brain_position,last 20%,262,1964
CAMRI,074,axis_halves,left,528,6531
CAMRI,074,axis_halves,right,455,9517
CAMRI,074,axis_halves,dorsal,750,10998
CAMRI,074,axis_halves,ventral,233,5050
CAMRI,074,axis_halves,rostral,599,10092
CAMRI,074,axis_halves,caudal,384,5956
CAMRI,074,center,center,175,2701
CAMRI,074,brain_position,first 20%,104,3151
CAMRI,074,brain_position,middle 60%,657,10227
CAMRI,074,brain_position,last 20%,222,2670
CAMRI,075,axis_halves,left,465,7470
CAMRI,075,axis_halves,right,269,11272
CAMRI,075,axis_halves,dorsal,177,5875
CAMRI,075,axis_halves,ventral,557,12867
CAMRI,075,axis_halves,rostral,606,7280
CAMRI,075,axis_halves,caudal,128,11462
CAMRI,075,center,center,59,3768
CAMRI,075,brain_position,first 20%,221,3401
CAMRI,075,brain_position,middle 60%,487,10431
CAMRI,075,brain_position,last 20%,26,4910
CAMRI,076,axis_halves,left,516,4129
CAMRI,076,axis_halves,right,722,4833
CAMRI,076,axis_halves,dorsal,847,3439
CAMRI,076,axis_halves,ventral,391,5523
CAMRI,076,axis_halves,rostral,243,4256
CAMRI,076,axis_halves,caudal,995,4706
CAMRI,076,center,center,5,2966
CAMRI,076,brain_position,first 20%,115,1316
CAMRI,076,brain_position,middle 60%,743,6236
CAMRI,076,brain_position,last 20%,380,1410
CAMRI,077,axis_halves,left,424,4531
CAMRI,077,axis_halves,right,185,4948
CAMRI,077,axis_halves,dorsal,181,4105
CAMRI,077,axis_halves,ventral,428,5374
CAMRI,077,axis_halves,rostral,209,5004
CAMRI,077,axis_halves,caudal,400,4475
CAMRI,077,center,center,51,3256
CAMRI,077,brain_position,first 20%,99,1393
CAMRI,077,brain_position,middle 60%,283,6730
CAMRI,077,brain_position,last 20%,225,1356
CAMRI,079,axis_halves,left,748,3790
CAMRI,079,axis_halves,right,2721,4462
CAMRI,079,axis_halves,dorsal,2783,2147
CAMRI,079,axis_halves,ventral,686,6105
CAMRI,079,axis_halves,rostral,2889,3658
CAMRI,079,axis_halves,caudal,580,4594
CAMRI,079,center,center,147,2201
CAMRI,079,brain_position,first 20%,1490,1388
CAMRI,079,brain_position,middle 60%,1588,6095
CAMRI,079,brain_position,last 20%,391,769
CAMRI,080,axis_halves,left,166,4394
