domain,subject,shape_x,shape_y,shape_z,spacing_x,spacing_y,spacing_z,fov_x_mm,fov_y_mm,fov_z_mm,slice_count,anisotropy,brain_volume_voxels,brain_volume_mm3,brain_occupancy_percent,crop_x,crop_y,crop_z,scale_x,scale_y,scale_z,padding_x,padding_y,padding_z,model_x,model_y,model_z,whole_mean,whole_median,whole_std,whole_min,whole_max,whole_p01,whole_p05,whole_p25,whole_p75,whole_p95,whole_p99,brain_mean,brain_median,brain_std,brain_min,brain_max,brain_p01,brain_p05,brain_p25,brain_p75,brain_p95,brain_p99,background_mean,background_median,background_std,background_min,background_max,background_p01,background_p05,background_p25,background_p75,background_p95,background_p99,boundary_mean,boundary_median,boundary_std,boundary_min,boundary_max,boundary_p01,boundary_p05,boundary_p25,boundary_p75,boundary_p95,boundary_p99,contrast,cnr,boundary_gradient_mean,boundary_sharpness,dice,precision,recall,false_positives,false_negatives,hd95_mm,assd_mm,surface_dice,boundary_precision,boundary_recall,connected_components,compactness,contour_roughness,volume_ratio
CAMRI,001,256,256,12,0.10000000149011612,0.10000000149011612,1.0,25.600000381469727,25.600000381469727,12.0,12,9.99999985098839,136040,1360.4000405430797,17.298380533854164,256,256,12,1.0000000149011612,1.0000000149011612,10.0,0,0,40,256,256,120,3114.589599609375,1000.0,4616.6455078125,75.0,32766.0,99.0,224.0,561.0,3107.0,14704.0,19523.0,11797.79296875,11260.0,4687.1572265625,75.0,32766.0,3181.78,5041.0,8063.0,15333.0,19828.0,22622.829999999958,1298.357177734375,822.0,1451.47314453125,75.0,28759.0,90.0,203.0,498.0,1426.0,4337.0,6858.0,9356.8388671875,8807.0,5686.5947265625,75.0,32766.0,414.0,1144.0,4510.0,13710.0,19120.449999999983,21914.0,10499.435791015625,3.0261247942798724,0.047865185886621475,0.03494160994887352,0.9834527996675719,0.9928385221586312,0.9742428697441928,956,3504,0.10000000149011612,0.01677526330804621,0.978347705336785,0.9779774972557629,0.9787175708557524,1,0.023717214022862188,16.83176143082583,0.9812702146427521
CAMRI,002,256,256,12,0.10000000149011612,0.10000000149011612,1.0,25.600000381469727,25.600000381469727,12.0,12,9.99999985098839,130719,1307.1900389572982,16.621780395507812,256,256,12,1.0000000149011612,1.0000000149011612,10.0,0,0,40,256,256,120,2625.883544921875,1000.0,3690.4482421875,84.0,32766.0,101.0,231.0,574.0,2508.0,11586.0,15468.0,9879.7392578125,9583.0,3530.6962890625,118.0,32766.0,2756.0,4571.900000000001,7401.0,12151.0,15787.0,18878.819999999992,1179.79833984375,838.0,1126.2890625,84.0,21005.0,92.0,210.0,511.0,1374.0,3574.0,5435.0,7921.54931640625,7981.0,4602.57958984375,84.0,32766.0,324.0,844.0,4037.0,11256.0,15352.0,18193.400000000023,8699.94091796875,3.3199179553419187,0.05271594971418381,0.0392499640583992,0.9835878970904234,0.9957433798974649,0.9717256098960365,543,3696,0.10000000149011612,0.018670101077573747,0.9756500281240361,0.978382502543235,0.972923991445866,1,0.025733181737821055,16.380216166566054,0.9758795584421546
CAMRI,004,256,256,12,0.10000000149011612,0.10000000149011612,1.0,25.600000381469727,25.600000381469727,12.0,12,9.99999985098839,137273,1372.7300409105424,17.455164591471352,256,256,12,1.0000000149011612,1.0000000149011612,10.0,0,0,40,256,256,120,2105.785888671875,756.0,2995.38525390625,46.0,32766.0,75.0,172.0,430.0,2127.0,9539.0,12400.0,7576.21337890625,7236.0,3061.137451171875,59.0,26990.0,1738.72,3084.0,5241.0,9833.0,12537.0,15230.839999999997,948.9940795898438,625.0,1105.35400390625,46.0,32766.0,68.0,156.0,381.0,1043.0,2990.0,5244.420000000042,6100.0166015625,5794.0,3752.38427734375,46.0,26990.0,265.0,693.0,2902.0,8993.0,12236.0,14806.119999999995,6627.219299316406,2.8797167274757576,0.0501675121486187,0.03545344993472099,0.9826948719937649,0.9967479918475003,0.9690325118559368,434,4251,0.10000000149011612,0.018534315135385965,0.9742322626191317,0.9767079646017699,0.971770503343893,1,0.026048283515818445,16.31389844311696,0.9721940949786192
CAMRI,008,256,256,12,0.10000000149011612,0.10000000149011612,1.0,25.600000381469727,25.600000381469727,12.0,12,9.99999985098839,135914,1359.1400405055288,17.28235880533854,256,256,12,1.0000000149011612,1.0000000149011612,10.0,0,0,40,256,256,120,2545.54638671875,899.0,3654.342041015625,61.0,32766.0,89.0,205.0,510.0,2428.0,11258.0,15290.689999999944,9563.765625,9162.0,3489.448974609375,137.0,32766.0,2882.0,4587.0,7092.0,11711.0,15582.0,19048.47999999998,1079.215576171875,743.0,1076.65087890625,61.0,17380.0,81.0,186.0,452.0,1245.0,3356.0,5284.0,7694.8017578125,7626.0,4500.95068359375,61.0,32766.0,325.0,865.0,4045.0,10808.0,15156.0,18473.399999999994,8484.550048828125,3.285793613129604,0.05148075148463249,0.0383298434317112,0.9835738729355751,0.9946285903434994,0.9727621878540842,714,3702,0.10000000149011612,0.017890270202257634,0.9755135920315419,0.9754820363434595,0.9755449779249448,1,0.024298142839696283,16.69653802550935,0.9780155098076725
CAMRI,010,256,256,12,0.10000000149011612,0.10000000149011612,1.0,25.600000381469727,25.600000381469727,12.0,12,9.99999985098839,146865,1468.6500437691811,18.674850463867188,256,256,12,1.0000000149011612,1.0000000149011612,10.0,0,0,40,256,256,120,2140.221435546875,700.0,3441.2216796875,47.0,32766.0,71.0,163.0,402.0,1872.0,9997.449999999953,15201.0,7934.3134765625,6991.0,4372.6474609375,74.0,32766.0,1753.0,2811.0,4796.0,10222.0,15588.0,23535.0,809.7123413085938,575.0,831.50048828125,47.0,21746.0,64.0,146.0,353.0,920.0,2416.0,4150.0,6206.25390625,5384.0,4539.37548828125,47.0,32766.0,248.0,635.0,2626.0,9007.0,13813.0,21082.040000000008,7124.601135253906,2.263693084598296,0.042750194668769836,0.028886673972010612,0.9828455340541286,0.9941764480512696,0.9717699928505771,836,4146,0.10000000149011612,0.01836278874359302,0.9715892372576584,0.973728284785393,0.9694691273638643,1,0.024065241714577412,16.750227698435815,0.9774622953052122
CAMRI,011,256,256,12,0.10000000149011612,0.10000000149011612,1.0,25.600000381469727,25.600000381469727,12.0,12,9.99999985098839,137822,1378.220041074157,17.52497355143229,256,256,12,1.0000000149011612,1.0000000149011612,10.0,0,0,40,256,256,120,2690.84033203125,938.0,3857.95703125,72.0,32766.0,91.0,209.0,525.0,2649.0,12115.0,16168.689999999944,10058.1171875,9642.0,3668.104248046875,74.0,32766.0,3011.42,4749.0,7305.0,12540.0,16380.0,19082.0,1125.3802490234375,769.0,1097.0924072265625,72.0,22877.0,83.0,189.45000000000073,464.0,1315.0,3542.0,5246.0,8041.44921875,7843.0,4644.42431640625,72.0,31484.0,370.0,1014.0,4150.0,11478.0,15920.0,18438.53999999998,8932.736938476562,3.2995391638999068,0.049665968865156174,0.03709235042333603,0.9847280135425293,0.9946630544205602,0.9749894791832944,721,3447,0.10000000149011612,0.016217548391120957,0.9787905675186841,0.9802051282051282,0.9773811145932688,1,0.024047261629893412,16.75440136121126,0.9802208645934611
CAMRI,012,256,256,12,0.10000000149011612,0.10000000149011612,1.0,25.600000381469727,25.600000381469727,12.0,12,9.99999985098839,120728,1207.280035979748,15.351359049479166,256,256,12,1.0000000149011612,1.0000000149011612,10.0,0,0,40,256,256,120,2811.3125,989.0,4063.0693359375,80.0,32766.0,98.0,223.0,556.0,2769.0,12838.0,17367.0,11158.0859375,10797.0,3875.911376953125,92.0,32766.0,3223.0,5355.0,8311.0,13795.0,17852.649999999994,20485.0,1297.5927734375,832.0,1360.8707275390625,80.0,32766.0,90.0,205.0,499.0,1467.0,4357.0,6469.0,8988.423828125,8934.0,5046.216796875,80.0,32766.0,391.04999999999995,1065.0,4810.0,12697.0,17405.0,20015.95000000001,9860.4931640625,3.3946589018238256,0.053202804177999496,0.03999340906739235,0.9831540694638792,0.9916496035457587,0.9748028626333576,991,3042,0.10000000149011612,0.01756399125997574,0.9780457396657186,0.9787416290297462,0.9773489278752436,1,0.027409643943094527,16.03921072191745,0.9830113975217016
CAMRI,013,256,256,12,0.10000000149011612,0.10000000149011612,1.0,25.600000381469727,25.600000381469727,12.0,12,9.99999985098839,139875,1398.7500416859987,17.786026000976562,256,256,12,1.0000000149011612,1.0000000149011612,10.0,0,0,40,256,256,120,2558.402587890625,978.0,3563.21435546875,79.0,32766.0,98.0,225.0,560.0,2535.0,11240.0,14994.689999999944,9129.466796875,8714.0,3582.16650390625,79.0,32766.0,2392.0,3987.0,6456.0,11563.0,15163.299999999988,18059.0,1136.8302001953125,809.0,1142.4056396484375,79.0,22919.0,89.0,203.0,495.0,1320.0,3339.0,5316.0,7344.65283203125,7056.0,4408.6884765625,79.0,32766.0,371.0,934.0,3639.0,10564.0,14753.0,17335.0,7992.6365966796875,3.0062584937581995,0.04798262566328049,0.03425779566168785,0.9841994293133316,0.9958721840830247,0.9727971403038427,564,3805,0.10000000149011612,0.01612389049888292,0.9804930405301804,0.9807443255401813,0.9802418668029297,1,0.02436725936376118,16.680736775262584,0.9768293118856122
CAMRI,014,256,256,12,0.10000000149011612,0.10000000149011612,1.0,25.600000381469727,25.600000381469727,12.0,12,9.99999985098839,127901,1279.0100381174686,16.263453165690102,256,256,12,1.0000000149011612,1.0000000149011612,10.0,0,0,40,256,256,120,2545.12646484375,915.0,3733.323486328125,76.0,32766.0,94.0,213.0,527.0,2331.0,11660.0,16045.689999999944,9929.8388671875,9472.0,3790.559326171875,111.0,32766.0,2536.0,4501.0,7211.0,12354.0,16395.0,19698.0,1110.8551025390625,771.0,1097.8382568359375,76.0,18569.0,86.0,195.0,471.0,1267.0,3506.0,5321.0,7685.85205078125,7635.0,4823.83056640625,76.0,32766.0,246.0,623.0,3471.0,11240.0,15810.399999999994,18066.28,8818.983764648438,3.1603791542583113,0.05458561331033707,0.03928031027317047,0.982454332515566,0.9962302671767996,0.9690541903503491,469,3958,0.10000000149011612,0.016836232582505956,0.9792396198099049,0.9837979594769364,0.9747298834233722,1,0.02366259218377782,16.844702746820225,0.9727210889672481
CAMRI,015,256,256,12,0.10000000149011612,0.10000000149011612,1.0,25.600000381469727,25.600000381469727,12.0,12,9.99999985098839,128865,1288.650038404763,16.386032104492188,256,256,12,1.0000000149011612,1.0000000149011612,10.0,0,0,40,256,256,120,2517.696533203125,1008.0,3484.470703125,91.0,32766.0,104.0,237.0,584.0,2438.0,10992.0,14649.0,9355.494140625,9252.0,3505.348876953125,91.0,32766.0,2102.6400000000003,3678.0,7053.0,11544.0,15051.799999999988,18819.08,1177.67724609375,850.0,1074.4759521484375,91.0,17041.0,95.0,216.0,522.0,1378.0,3569.0,5260.0,7285.580078125,7484.0,4469.814453125,91.0,32766.0,253.0,627.0,3473.0,10594.0,14347.0,17218.179999999993,8177.81689453125,3.1544302596028557,0.05825202539563179,0.044594138860702515,0.9666193747907733,0.9935686839970834,0.9410933923097815,785,7591,0.30000000447034836,0.047344168170146014,0.9257181097498198,0.9396615158204562,0.9123373348128719,1,0.02113399594196166,17.49136025131197,0.9471850386062934
