domain,subject,threshold,dice,precision,recall,volume_ratio
CAMRI,108,0.3,0.9584161770960481,0.9750788898778219,0.9423133803176028,0.966397068072795
CAMRI,108,0.4,0.9571318279998959,0.9772864157815301,0.9377917393358968,0.9595874087597445
CAMRI,108,0.5,0.9558973252278578,0.9792298092351578,0.9336508681210712,0.9534542957289192
CAMRI,108,0.6,0.9543463835434638,0.9811108039307911,0.9290034371270921,0.9468894169802917
CAMRI,108,0.7,0.952473914978778,0.982871175762135,0.923900442304881,0.9400015638758282
CAMRI,075,0.3,0.9763360110059596,0.9846237158431066,0.9681866589967428,0.9833062553929152
CAMRI,075,0.4,0.9757603871419193,0.9870323535025768,0.964742966861265,0.9774177750483904
CAMRI,075,0.5,0.9749472194350755,0.9891323042954797,0.9611632372260788,0.9717236339891636
CAMRI,075,0.6,0.9740150913266375,0.9908123713329903,0.9577778468761903,0.9666591522143018
CAMRI,075,0.7,0.9727185154939962,0.9924808684819363,0.9537278161705832,0.9609533507979571
CAMRI,111,0.3,0.9662928564547378,0.9775130842808157,0.9553272847850319,0.9773038337260657
CAMRI,111,0.4,0.9654232047283405,0.9796665444020352,0.9515880966827052,0.9713387704420708
CAMRI,111,0.5,0.9646101227753473,0.9816796569683777,0.9481240563841346,0.9658181766872205
CAMRI,111,0.6,0.963644379661871,0.9835795181121222,0.9445012769680123,0.9602693626448053
CAMRI,111,0.7,0.9621857765662656,0.9853509378431641,0.940084801964132,0.9540608993805647
CAMRI,051,0.3,0.975765972969051,0.9704397268561171,0.9811510078114382,1.011037554068424
CAMRI,051,0.4,0.9763182382443018,0.9732715708513926,0.979384039720803,1.006280332285945
CAMRI,051,0.5,0.9765333407887721,0.9756351578367723,0.9774331790234503,1.0018429237325401
CAMRI,051,0.6,0.976683854850591,0.9781013703682915,0.9752704420618359,0.9971056902768783
CAMRI,051,0.7,0.9766904210976273,0.9806243879635861,0.9727878918711472,0.9920086669385079
CAMRI,110,0.3,0.9723774348519024,0.9750552103715401,0.9697143268986393,0.9945224809671387
CAMRI,110,0.4,0.9719605845931996,0.9775244687095945,0.9664596791630472,0.9886808055442811
CAMRI,110,0.5,0.9714914252374439,0.979909852893506,0.9632164113146425,0.9829643088804846
CAMRI,110,0.6,0.971014214736519,0.9822367629537349,0.9600452160850912,0.9774071306373117
CAMRI,110,0.7,0.9701008056369573,0.9843687766019759,0.9562405404687755,0.9714251032724762
CAMRI,074,0.3,0.9706470219862229,0.9779038266169997,0.9634971262427461,0.9852677738013433
CAMRI,074,0.4,0.9703468563012428,0.9804988625350262,0.960402921818709,0.9795043712092024
CAMRI,074,0.5,0.969854292055788,0.9828460961205913,0.9572014728254178,0.973907793502568
CAMRI,074,0.6,0.9692465360996119,0.9848189797600062,0.954158904675466,0.9688672987476218
CAMRI,074,0.7,0.9682437886533805,0.9866576508229706,0.9505046452786572,0.963358105504824
CAMRI,015,0.3,0.9708505764950265,0.9851305989719921,0.9569786326147184,0.9714231124414865
CAMRI,015,0.4,0.9703842057729596,0.9866958948837454,0.9546030634015858,0.9674744451167085
CAMRI,015,0.5,0.969646842077949,0.9879964835513487,0.9519663726395567,0.9635321466101965
CAMRI,015,0.6,0.9688199682187899,0.9890720171981369,0.9493806324236538,0.9598700761073783
CAMRI,015,0.7,0.9678051830886831,0.99036141365933,0.9462535426551604,0.9554628538674649
CAMRI,106,0.3,0.9680336033232698,0.9657741075692915,0.9703036963655501,1.0046901120673644
CAMRI,106,0.4,0.9681352518542905,0.9690022252029432,0.9672698284935918,0.9982121850040245
CAMRI,106,0.5,0.9679246382441488,0.9716652238002761,0.9642127422450623,0.9923301962726766
CAMRI,106,0.6,0.9675217404856155,0.9741714787848356,0.9609621695251068,0.9864404680824717
CAMRI,106,0.7,0.9669515658378987,0.9768587077997212,0.9572433595443006,0.9799199739954182
CAMRI,058,0.3,0.9821365291066654,0.9848770579517601,0.9794112095864171,0.9944502226737719
CAMRI,058,0.4,0.9818534876022381,0.9870856720767229,0.9766764785016404,0.9894546199285998
CAMRI,058,0.5,0.9814892738940094,0.9889518078674543,0.9741385195507171,0.9850212232801513
CAMRI,058,0.6,0.9809210606349373,0.9906099633489629,0.9714198514972753,0.9806279842100402
CAMRI,058,0.7,0.9801521505900712,0.9920329048843187,0.9685526004039853,0.9763311233279388
CAMRI,062,0.3,0.9814596054125372,0.9797273238918944,0.983198023568105,1.0035425159547695
CAMRI,062,0.4,0.9816781470787945,0.9829316959677047,0.9804277914603081,0.9974526159674488
CAMRI,062,0.5,0.9817440463217099,0.9856851824597008,0.9778343009294301,0.9920351024140595
CAMRI,062,0.6,0.9815131056009933,0.9881348276103769,0.9749795402413676,0.9866867486081601
CAMRI,062,0.7,0.9809263353892703,0.9904431031714014,0.9715907126143537,0.9809657006074531
CAMRI,121,0.3,0.9898071302591123,0.9895909180126504,0.9900234370051308,1.0004370684740609
CAMRI,121,0.4,0.9898824589113653,0.9912846834027849,0.988484195857351,0.9971748907328815
CAMRI,121,0.5,0.9897241889732765,0.9926344562177041,0.9868309368467727,0.9941534173687211
CAMRI,121,0.6,0.9894609597429658,0.993839665143624,0.9851206689047951,0.9912269588902262
CAMRI,121,0.7,0.9889258452167042,0.994808158242209,0.9831126876543992,0.988243491480332
CAMRI,041,0.3,0.9893510267048092,0.9898995953843849,0.9888030656846896,0.9988922818992875
CAMRI,041,0.4,0.9891945903936578,0.9914585952396706,0.9869409017424107,0.9954433866235555
