domain,failure_category,baseline_voxels,filtered_voxels,absolute_difference_filtered_minus_baseline,percentage_difference,baseline_affected_subjects,filtered_affected_subjects,baseline_percentage_of_total_error,filtered_percentage_of_total_error,percentage_point_change
CAMRI,Boundary Error,38056,38113,57,0.14977927265083035,6,6,98.48606402525814,99.40533632403954,0.9192722987813937
CAMRI,Detached False Positive Island,300,0,-300,-100.0,4,0,0.7763774229445408,0.0,-0.7763774229445408
CAMRI,Detached False Negative Region,0,0,0,0.0,0,0,0.0,0.0,0.0
CAMRI,Terminal Slice Failure,167,110,-57,-34.131736526946106,2,1,0.43218343210579435,0.2868991419107483,-0.14528429019504607
CAMRI,Leakage,118,118,0,0.0,3,3,0.30537511969151937,0.3077645340497118,0.0023894143581924543
CAMRI,Major Localization Failure,0,0,0,0.0,0,0,0.0,0.0,0.0
CAMRI,Unclassified,0,0,0,0.0,0,0,0.0,0.0,0.0
Mouse,Boundary Error,635597,635671,74,0.011642597432020604,80,80,96.8317760853635,99.52076927412436,2.688993188760861
Mouse,Detached False Positive Island,17661,0,-17661,-100.0,28,0,2.6906137024617873,0.0,-2.6906137024617873
Mouse,Detached False Negative Region,0,0,0,0.0,0,0,0.0,0.0,0.0
Mouse,Terminal Slice Failure,1897,1823,-74,-3.900896151818661,14,13,0.2890036913861056,0.2854092170112034,-0.003594474374902179
Mouse,Leakage,1238,1238,0,0.0,54,54,0.18860652078861292,0.19382150886443766,0.005214988075824739
Mouse,Major Localization Failure,0,0,0,0.0,0,0,0.0,0.0,0.0
Mouse,Unclassified,0,0,0,0.0,0,0,0.0,0.0,0.0
Combined,Boundary Error,673653,673784,131,0.01944621340660548,86,86,96.92374761522458,99.51423258644193,2.59048497121735
Combined,Detached False Positive Island,17961,0,-17961,-100.0,32,0,2.584190125950673,0.0,-2.584190125950673
Combined,Detached False Negative Region,0,0,0,0.0,0,0,0.0,0.0,0.0
Combined,Terminal Slice Failure,2064,1933,-131,-6.346899224806202,16,14,0.29696388953633923,0.28549358784060214,-0.011470301695737095
Combined,Leakage,1356,1356,0,0.0,57,57,0.1950983692884089,0.20027382571746324,0.0051754564290543426
Combined,Major Localization Failure,0,0,0,0.0,0,0,0.0,0.0,0.0
Combined,Unclassified,0,0,0,0.0,0,0,0.0,0.0,0.0
