domain,subject,baseline_component_count,filtered_component_count,baseline_detached_fp_count,filtered_detached_fp_count,baseline_detached_fp_voxels,filtered_detached_fp_voxels,removed_component_count,removed_component_voxels,largest_removed_component_voxels,largest_removed_centroid_i,largest_removed_centroid_j,largest_removed_centroid_k,removed_expert_overlap_voxels,largest_removed_expert_overlap_voxels,baseline_prediction_path,filtered_prediction_path
CAMRI,064,4,1,3,0,210,0,3,210,201,72.07462686567165,138.91044776119404,60.49751243781095,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/camri_mixed/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/CAMRI_064_prediction.nii.gz
CAMRI,007,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/camri_mixed/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/CAMRI_007_prediction.nii.gz
CAMRI,043,2,1,1,0,30,0,1,30,30,150.5,47.0,7.0,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/camri_mixed/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/CAMRI_043_prediction.nii.gz
CAMRI,078,5,1,4,0,51,0,4,51,19,102.36842105263158,116.73684210526316,44.26315789473684,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/camri_mixed/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/CAMRI_078_prediction.nii.gz
CAMRI,009,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/camri_mixed/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/CAMRI_009_prediction.nii.gz
CAMRI,099,2,1,1,0,9,0,1,9,9,32.0,144.0,2.0,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/camri_mixed/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/CAMRI_099_prediction.nii.gz
Mouse,POLYIC_20190510_mouse34__E2_P1,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz
Mouse,POLYIC_20190510_mouse35__E3_P1,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz
Mouse,POLYIC_20190510_mouse37__E2_P1,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz
Mouse,POLYIC_20190510_mouse38__E2_P1,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz
Mouse,POLYIC_20190510_mouse39__E4_P1,2,1,1,0,21,0,1,21,21,122.14285714285714,89.42857142857143,10.0,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190510_mouse39__E4_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190510_mouse39__E4_P1_prediction.nii.gz
Mouse,POLYIC_20190510_mouse42__E2_P1,3,1,2,0,61,0,2,61,44,90.13636363636364,78.56818181818181,32.02272727272727,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190510_mouse42__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190510_mouse42__E2_P1_prediction.nii.gz
Mouse,POLYIC_20190510_mouse43__E2_P1_1,1,1,0,0,0,0,0,0,0,,,,0,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190510_mouse43__E2_P1_1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/query_conditioned_3d_grouping/native_predictions/deterministic_component_filter/Mouse_POLYIC_20190510_mouse43__E2_P1_1_prediction.nii.gz
