domain,error_type,complexity_group,error_voxels,expert_surface_voxels,errors_per_100_surface_voxels,error_distance_mm_mean,error_distance_mm_median,error_distance_mm_p95,error_distance_mm_maximum
CAMRI,FP,flat,1423,68434,2.079375749,0.1803744137,0.200000003,0.2828427255,1.077032924
CAMRI,FP,medium complexity,3201,68430,4.677772907,0.1759203225,0.200000003,0.2828427255,1
CAMRI,FP,high complexity,7837,68433,11.45207721,0.1693675816,0.1414213628,0.3032455623,1.399999976
CAMRI,FN,flat,1755,68434,2.564514715,0.00298046344,0,0,0.400000006
CAMRI,FN,medium complexity,3871,68430,5.656875639,0.002439187607,0,0,0.5
CAMRI,FN,high complexity,10025,68433,14.64936507,0.001764158835,0,0,0.2828427255
CAMRI,All,flat,3178,68434,4.643890464,0.08241142333,0,0.200000003,1.077032924
CAMRI,All,medium complexity,7072,68430,10.33464855,0.08096195757,0,0.200000003,1
CAMRI,All,high complexity,17862,68433,26.10144229,0.0753006041,0,0.200000003,1.399999976
Mouse,FP,flat,115503,568246,20.32623195,0.203025043,0.1000000015,0.4000005722,2.385374546
Mouse,FP,medium complexity,169461,568196,29.82439158,0.1654209644,0.1000000015,0.400000006,2.244997025
Mouse,FP,high complexity,167036,568220,29.39636056,0.2280974388,0.1414213628,0.4472135901,2.404165506
Mouse,FN,flat,49128,568246,8.645551399,0.0163495522,0,0,1.486606836
Mouse,FN,medium complexity,80807,568196,14.22167703,0.002102241153,0,0,1.509966969
Mouse,FN,high complexity,98440,568220,17.32427581,0.004627566319,0,0,0.6403124928
Mouse,All,flat,164631,568246,28.97178335,0.1473187208,0.1000000015,0.4000000954,2.385374546
Mouse,All,medium complexity,250268,568196,44.04606861,0.1126882732,0.1000000015,0.3605551422,2.244997025
Mouse,All,high complexity,265476,568220,46.72063637,0.1452335566,0.1000000015,0.4000005722,2.404165506
Combined,FP,flat,116926,636680,18.36495571,0.2027494162,0.1000000015,0.4000005722,2.385374546
Combined,FP,medium complexity,172662,636626,27.12141823,0.1656156033,0.1000000015,0.400000006,2.244997025
Combined,FP,high complexity,174873,636653,27.46755297,0.2254654467,0.1414213628,0.4472135603,2.404165506
Combined,FN,flat,50883,636680,7.991926871,0.01588843949,0,0,1.486606836
Combined,FN,medium complexity,84678,636626,13.30105902,0.002117644297,0,0,1.509966969
Combined,FN,high complexity,108465,636653,17.03675314,0.004362912383,0,0,0.6403124928
Combined,All,flat,167809,636680,26.35688258,0.1460894942,0.1000000015,0.4000000954,2.385374546
Combined,All,medium complexity,257340,636626,40.42247725,0.1118164212,0.1000000015,0.3605551422,2.244997025
Combined,All,high complexity,283338,636653,44.50430611,0.1408248842,0.1000000015,0.4000005722,2.404165506
