domain,voxel_group,voxels,probability_p05,probability_p25,probability_median,probability_p75,probability_p95,probability_mean,uncertain_0.25_to_0.75_percent,confident_incorrect_percent
CAMRI,correct inside,604569,0.9265491605,0.999786377,0.9999847412,1,1,0.9866485596,1.904497253,
CAMRI,correct outside,261768,0,7.629394531e-05,0.001098662615,0.0155184269,0.2254161775,0.03339523822,4.349653128,
CAMRI,FP boundary,12461,0.5193408132,0.6058441997,0.730846107,0.8777446747,0.9858243465,0.7419661283,53.51095418,21.40277666
CAMRI,FN boundary,15651,0.0197888501,0.1185702384,0.2519722283,0.3804760873,0.4780727923,0.2502473295,50.39294614,21.60245352
Mouse,correct inside,4374486,0.850112617,0.9973068237,0.9999204874,0.9999965429,0.9999998808,0.9786024094,2.926126635,
Mouse,correct outside,3103953,1.348229762e-05,0.0004484765523,0.00460708281,0.04109463468,0.3052221239,0.05032947659,6.930936132,
Mouse,FP boundary,452000,0.5324507952,0.6707251668,0.8369785249,0.9540765136,0.9968059421,0.8060793281,36.50154867,38.29623894
Mouse,FN boundary,228375,0.007555401186,0.06967572495,0.1952819526,0.3482081741,0.4705824256,0.2133657634,40.87181171,31.96891078
Combined,correct inside,4979055,0.8585289955,0.9978454113,0.9999399185,0.9999976158,1,0.9795792699,2.802077904,
Combined,correct outside,3365721,1.111343408e-05,0.0003910601081,0.004194933455,0.0387416631,0.3002982736,0.04901244491,6.730177576,
Combined,FP boundary,464461,0.5318835378,0.6680775881,0.8341254592,0.952898562,0.9967079163,0.804359138,36.95789313,37.84300512
Combined,FN boundary,244026,0.007962755859,0.07233657688,0.1994252056,0.3505921513,0.4712491035,0.2157311738,41.48246498,31.30404137
