domain,error_type,normalized_slice_region,error_voxels,percent_of_error_voxels,expert_surface_voxels,errors_per_100_surface_voxels,orientation_interpretation
CAMRI,FP,first 20%,1896,15.21547227,76247,2.486655213,acquisition-slice position only
CAMRI,FP,middle 60%,6549,52.55597464,71457,9.164952349,acquisition-slice position only
CAMRI,FP,final 20%,4016,32.22855309,57593,6.973069644,acquisition-slice position only
CAMRI,FN,first 20%,6565,41.94620152,76247,8.610174827,acquisition-slice position only
CAMRI,FN,middle 60%,6500,41.53089259,71457,9.096379641,acquisition-slice position only
CAMRI,FN,final 20%,2586,16.52290588,57593,4.490129009,acquisition-slice position only
CAMRI,All,first 20%,8461,30.09746727,76247,11.09683004,acquisition-slice position only
CAMRI,All,middle 60%,13049,46.41789983,71457,18.26133199,acquisition-slice position only
CAMRI,All,final 20%,6602,23.4846329,57593,11.46319865,acquisition-slice position only
Mouse,FP,first 20%,138649,30.67455752,451029,30.74059539,acquisition-slice position only
Mouse,FP,middle 60%,267224,59.12035398,1061919,25.16425452,acquisition-slice position only
Mouse,FP,final 20%,46127,10.2050885,191714,24.06031902,acquisition-slice position only
Mouse,FN,first 20%,69719,30.52829776,451029,15.45776436,acquisition-slice position only
Mouse,FN,middle 60%,139371,61.0272578,1061919,13.12444734,acquisition-slice position only
Mouse,FN,final 20%,19285,8.444444444,191714,10.05925493,acquisition-slice position only
Mouse,All,first 20%,208368,30.6254639,451029,46.19835975,acquisition-slice position only
Mouse,All,middle 60%,406595,59.76042624,1061919,38.28870187,acquisition-slice position only
Mouse,All,final 20%,65412,9.614109866,191714,34.11957395,acquisition-slice position only
Combined,FP,first 20%,140545,30.25980653,527276,26.65492076,acquisition-slice position only
Combined,FP,middle 60%,273773,58.94423859,1133376,24.15553179,acquisition-slice position only
Combined,FP,final 20%,50143,10.79595488,249307,20.11295311,acquisition-slice position only
Combined,FN,first 20%,76284,31.26060338,527276,14.46756537,acquisition-slice position only
Combined,FN,middle 60%,145871,59.77682706,1133376,12.87048605,acquisition-slice position only
Combined,FN,final 20%,21871,8.962569562,249307,8.772717974,acquisition-slice position only
Combined,All,first 20%,216829,30.60451356,527276,41.12248614,acquisition-slice position only
Combined,All,middle 60%,419644,59.23100918,1133376,37.02601784,acquisition-slice position only
Combined,All,final 20%,72014,10.16447726,249307,28.88567108,acquisition-slice position only
