domain,subject,voxel_spacing_x_mm,voxel_spacing_y_mm,voxel_spacing_z_mm,dice,hd95_mm,assd_mm,fp_voxels,fn_voxels,surface_dice_0.1mm,surface_dice_0.2mm,surface_dice_0.5mm,surface_dice_1mm
CAMRI,064,0.200000003,0.200000003,0.200000003,0.9859195546,0.200000003,0.04102930498,2690,4634,0.8019396922,0.8019396922,0.9998283458,1
CAMRI,007,0.1000000015,0.1000000015,1,0.9865487505,0.1000000015,0.0128727914,1618,2294,0.9006309373,0.9820118781,0.9994445473,1
CAMRI,043,0.1000000015,0.1000000015,1,0.9863564404,0.1000000015,0.01249561302,1316,2295,0.9004078492,0.9840554059,0.9994921124,1
CAMRI,078,0.200000003,0.200000003,0.200000003,0.987685768,0.200000003,0.0354271047,2833,3181,0.8337959135,0.8337959135,0.9981546002,0.9995866304
CAMRI,009,0.1000000015,0.1000000015,1,0.9867574262,0.1000000015,0.01211580626,1963,1496,0.9043060719,0.9866480793,0.9985904585,1
CAMRI,099,0.1000000015,0.1000000015,1,0.9877764167,0.1000000015,0.01093235826,2041,1751,0.9126252345,0.9867081787,0.9993480488,1
Mouse,POLYIC_20190510_mouse34__E2_P1,0.1000000015,0.1000000015,0.3999999166,0.9545222658,0.3999999166,0.07730688971,7786,2020,0.6181203213,0.8598572459,0.9694098336,1
Mouse,POLYIC_20190510_mouse35__E3_P1,0.1000000015,0.1000000015,0.4000000656,0.9561755159,0.3162277707,0.07024429189,7060,2593,0.6122836851,0.8537561268,0.9881714514,1
Mouse,POLYIC_20190510_mouse37__E2_P1,0.1000000015,0.1000000015,0.3999997675,0.9694894402,0.200000003,0.04683647086,4563,2877,0.68911262,0.9159447436,0.9992741747,1
Mouse,POLYIC_20190510_mouse38__E2_P1,0.1000000015,0.1000000015,0.3999999762,0.9669867304,0.2236068011,0.05101515829,5304,2401,0.6719200461,0.906568326,0.9996156064,1
Mouse,POLYIC_20190510_mouse39__E4_P1,0.1000000015,0.1000000015,0.3999998868,0.9623580387,0.3000000045,0.06091194366,4745,4151,0.6325696359,0.8783629623,0.9973143835,1
Mouse,POLYIC_20190510_mouse42__E2_P1,0.1000000015,0.1000000015,0.400000155,0.9601738182,0.3000000045,0.06621965698,5902,3373,0.6295477769,0.8719612177,0.9918015256,0.9961027542
Mouse,POLYIC_20190510_mouse43__E2_P1_1,0.1000000015,0.1000000015,0.400000006,0.9579253574,0.2828427167,0.05186316919,5043,1755,0.7040592892,0.8825725675,0.9950311605,1
Mouse,POLYIC_20190510_mouse43__E9_P1,0.1000000015,0.1000000015,0.3999999464,0.9419284914,0.4123105687,0.109496781,11585,2560,0.5393742768,0.7573110693,0.9635637634,0.9973909295
Mouse,POLYIC_20190517_mouse33__E2_P1,0.1000000015,0.1000000015,0.400000006,0.951126173,0.400000006,0.08876945434,8851,2196,0.5825362087,0.8184031278,0.9701231957,1
Mouse,POLYIC_20190517_mouse35__E2_P1,0.1000000015,0.1000000015,0.3999999762,0.9620408306,0.3605551329,0.06295659664,6287,2385,0.641662639,0.8719671339,0.9966650556,1
Mouse,POLYIC_20190517_mouse36__E2_P1,0.1000000015,0.1000000015,0.3999999464,0.9665375132,0.2236068011,0.05116512093,4277,3513,0.6726897631,0.9084441915,0.9997154443,1
Mouse,POLYIC_20190517_mouse37__E3_P1,0.0703125,0.0703125,0.3000001907,0.9566642254,0.3000001907,0.07502253346,22615,4308,0.7535679306,0.8614453617,0.9924210625,1
