condition,domain,subject,boundary_band_probability_std,boundary_band_intermediate_0.1_0.9_percent,boundary_band_gradient_mean_per_native_pixel,probability_isocontour_points,probability_isocontour_subvoxel_coordinate_percent,probability_isocontour_mean_fractional_offset
corrected_baseline,CAMRI,064,0.4412779211997986,18.531728700603356,0.2050527036190033,21214,49.938719713396814,0.1484709987830226
level0,CAMRI,064,0.4461785852909088,16.83621566632757,0.20212486386299133,20626,49.95636575196354,0.15119021135869695
corrected_baseline,CAMRI,007,0.3865818381309509,7.768506104015242,0.1297284960746765,6470,49.837712519319936,0.15434266942962946
level0,CAMRI,007,0.38895106315612793,7.23627161236661,0.12996423244476318,6470,49.9613601236476,0.16317102761820707
corrected_baseline,CAMRI,043,0.38082531094551086,8.59075885198073,0.13038091361522675,6242,49.983979493752,0.1565896888233693
level0,CAMRI,043,0.3877965807914734,7.878934859581898,0.13269250094890594,6262,49.98403066113063,0.15860090275527325
corrected_baseline,CAMRI,078,0.4372166693210602,19.379838431147913,0.20482680201530457,20379,49.95583689091712,0.1471044753063261
level0,CAMRI,078,0.44250547885894775,17.54644969173342,0.204263374209404,20339,49.95575003687497,0.15074257610908504
corrected_baseline,CAMRI,009,0.38562658429145813,7.8758903871919195,0.1312909722328186,6144,49.951171875,0.15605314179802607
level0,CAMRI,009,0.3880331814289093,7.669693289379831,0.13154146075248718,6259,49.90413804122064,0.16015022443519797
corrected_baseline,CAMRI,099,0.3801337480545044,7.762451665031454,0.1271606683731079,6695,49.932785660941,0.15478426505740536
level0,CAMRI,099,0.3857415020465851,7.434024992350125,0.1280515044927597,6739,49.88870752337142,0.15776659884391464
corrected_baseline,Mouse,POLYIC_20190510_mouse34__E2_P1,0.4267088770866394,24.643684425671072,0.19661402702331543,8804,49.88641526578827,0.1477357043191942
level0,Mouse,POLYIC_20190510_mouse34__E2_P1,0.4287888705730438,20.800471636315994,0.18743282556533813,9226,49.9566442662042,0.15094907373474054
corrected_baseline,Mouse,POLYIC_20190510_mouse35__E3_P1,0.429523766040802,24.070518887056213,0.19498133659362793,8817,49.96030395826245,0.14714416868116403
level0,Mouse,POLYIC_20190510_mouse35__E3_P1,0.4293385446071625,21.91457142111172,0.18746663630008698,9244,49.89182172219818,0.15156443397076189
corrected_baseline,Mouse,POLYIC_20190510_mouse37__E2_P1,0.4272752106189728,22.43521706489943,0.1979377269744873,9444,49.94176196526895,0.15039758180551666
level0,Mouse,POLYIC_20190510_mouse37__E2_P1,0.43185779452323914,19.639947134076706,0.18920953571796417,9866,49.98479627001824,0.15369840905991386
corrected_baseline,Mouse,POLYIC_20190510_mouse38__E2_P1,0.42908623814582825,23.156292286874155,0.19881415367126465,9068,49.98345831495368,0.1485724941291051
level0,Mouse,POLYIC_20190510_mouse38__E2_P1,0.4321505129337311,20.460397371353906,0.1927197128534317,9387,49.98402045381911,0.1521868635618702
corrected_baseline,Mouse,POLYIC_20190510_mouse39__E4_P1,0.42597469687461853,24.46975952110641,0.19647811353206635,9265,49.95682676740421,0.147041700791168
level0,Mouse,POLYIC_20190510_mouse39__E4_P1,0.43268918991088867,22.03488372093023,0.18775665760040283,9970,49.959879638916746,0.1473416480803635
corrected_baseline,Mouse,POLYIC_20190510_mouse42__E2_P1,0.430646151304245,23.20284147942244,0.19805678725242615,9199,49.923904772257856,0.14656499075037063
level0,Mouse,POLYIC_20190510_mouse42__E2_P1,0.43028077483177185,22.804258558929618,0.18901339173316956,9937,49.94968300291839,0.14868469832126127
corrected_baseline,Mouse,POLYIC_20190510_mouse43__E2_P1_1,0.4114990830421448,20.193597388536062,0.15166912972927094,6269,49.928218216621474,0.14166569749728383
level0,Mouse,POLYIC_20190510_mouse43__E2_P1_1,0.41748666763305664,17.48259511235866,0.15888260304927826,6633,49.99246193276044,0.1527072814841617
corrected_baseline,Mouse,POLYIC_20190510_mouse43__E9_P1,0.4177848696708679,26.99615595826469,0.19132374227046967,9804,49.93370053039576,0.14110613956203316
level0,Mouse,POLYIC_20190510_mouse43__E9_P1,0.4209522008895874,21.962257908232598,0.17756012082099915,9960,49.87449799196787,0.14936292641933277
corrected_baseline,Mouse,POLYIC_20190517_mouse33__E2_P1,0.42836326360702515,24.389387225764615,0.1969037801027298,8975,49.938718662952645,0.14552971879548063
level0,Mouse,POLYIC_20190517_mouse33__E2_P1,0.41529521346092224,25.261889192342707,0.18195952475070953,9548,49.93715961457897,0.14802936199825265
corrected_baseline,Mouse,POLYIC_20190517_mouse35__E2_P1,0.4293731153011322,23.2842110773741,0.20222410559654236,8998,49.90553456323627,0.14615628689546323
