domain,subject,native_coordinate_axis,candidate_factor_pixels,expected_level1_footprint_pixels,expert_best_residue,expert_max_alignment_fraction,prediction_best_residue,prediction_max_alignment_fraction,prediction_minus_expert_alignment,expert_transition_count,prediction_transition_count,condition
CAMRI,064,x,2,1.5999999403953562,0,0.50346511261616,1,0.5051978277734678,0.0017327151573077737,12698,12890,corrected_baseline
CAMRI,064,x,3,1.5999999403953562,2,0.3354071507323988,2,0.3456167571761055,0.01020960644370672,12698,12890,corrected_baseline
CAMRI,064,x,4,1.5999999403953562,0,0.25791463222554734,1,0.2630721489526765,0.005157516727129163,12698,12890,corrected_baseline
CAMRI,064,x,5,1.5999999403953562,4,0.21389195148842338,2,0.21140418929402638,-0.002487762194397003,12698,12890,corrected_baseline
CAMRI,064,x,6,1.5999999403953562,5,0.1803433611592377,5,0.19270752521334367,0.01236416405410598,12698,12890,corrected_baseline
CAMRI,064,x,7,1.5999999403953562,1,0.16711293117026305,1,0.1716834755624515,0.004570544392188458,12698,12890,corrected_baseline
CAMRI,064,x,8,1.5999999403953562,1,0.14789730666246653,1,0.15934833204034135,0.011451025377874818,12698,12890,corrected_baseline
CAMRI,064,y,2,2.4999999627470975,1,0.5084377397085145,1,0.5138215324927256,0.005383792784211083,7822,8248,corrected_baseline
CAMRI,064,y,3,2.4999999627470975,2,0.3394272564561493,2,0.3547526673132881,0.015325410857138788,7822,8248,corrected_baseline
CAMRI,064,y,4,2.4999999627470975,3,0.2550498593710049,3,0.2755819592628516,0.020532099891846733,7822,8248,corrected_baseline
CAMRI,064,y,5,2.4999999627470975,2,0.20646893377652775,3,0.23896702230843841,0.03249808853191066,7822,8248,corrected_baseline
CAMRI,064,y,6,2.4999999627470975,5,0.17847097928918434,5,0.19895732298739088,0.02048634369820654,7822,8248,corrected_baseline
CAMRI,064,y,7,2.4999999627470975,1,0.14727691127588852,3,0.17192046556741028,0.024643554291521763,7822,8248,corrected_baseline
CAMRI,064,y,8,2.4999999627470975,7,0.13244694451546918,7,0.15906886517943744,0.026621920663968263,7822,8248,corrected_baseline
CAMRI,064,x,2,1.5999999403953562,0,0.50346511261616,1,0.511160012574662,0.007694899958502033,12698,12724,level0
CAMRI,064,x,3,1.5999999403953562,2,0.3354071507323988,2,0.34721785602011945,0.011810705287720658,12698,12724,level0
CAMRI,064,x,4,1.5999999403953562,0,0.25791463222554734,1,0.2686262181703867,0.010711585944839341,12698,12724,level0
CAMRI,064,x,5,1.5999999403953562,4,0.21389195148842338,3,0.2121188305564288,-0.0017731209319945818,12698,12724,level0
CAMRI,064,x,6,1.5999999403953562,5,0.1803433611592377,5,0.19262810436969507,0.012284743210457388,12698,12724,level0
CAMRI,064,x,7,1.5999999403953562,1,0.16711293117026305,1,0.17250864508016348,0.005395713909900429,12698,12724,level0
CAMRI,064,x,8,1.5999999403953562,1,0.14789730666246653,1,0.1622131405218485,0.014315833859381955,12698,12724,level0
CAMRI,064,y,2,2.4999999627470975,1,0.5084377397085145,1,0.5140091696383087,0.005571429929794203,7822,7852,level0
CAMRI,064,y,3,2.4999999627470975,2,0.3394272564561493,2,0.34207845134997455,0.0026511948938252594,7822,7852,level0
CAMRI,064,y,4,2.4999999627470975,3,0.2550498593710049,1,0.2576413652572593,0.002591505886254397,7822,7852,level0
CAMRI,064,y,5,2.4999999627470975,2,0.20646893377652775,2,0.21281202241467143,0.0063430886381436735,7822,7852,level0
CAMRI,064,y,6,2.4999999627470975,5,0.17847097928918434,5,0.18504839531329598,0.006577416024111632,7822,7852,level0
CAMRI,064,y,7,2.4999999627470975,1,0.14727691127588852,0,0.14735099337748345,7.408210159493e-05,7822,7852,level0
CAMRI,064,y,8,2.4999999627470975,7,0.13244694451546918,7,0.13537952114111054,0.0029325766256413643,7822,7852,level0
CAMRI,007,x,2,3.1999998807907124,0,0.5756929637526652,1,0.5147664835164835,-0.060926480236181746,2814,2912,corrected_baseline
