split,subject,dice,precision,recall,false_positives,false_negatives,brain_volume_voxels,slice_count,inference_seconds,image_path,mask_path
train,030,0.9883392438544106,0.9932646712378348,0.9834624241165428,1115,2765,167195,12,0.30529233299989755,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-030/ses-1/anat/sub-030_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-030_ses-1_acq-RARE_T2w_040.nii.gz
train,025,0.9886315857566375,0.9905591591823757,0.9867114996644675,1748,2470,185875,12,0.2906279159999485,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-025/ses-1/anat/sub-025_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-025_ses-1_acq-RARE_T2w_035.nii.gz
train,003,0.9890981352970134,0.9943047869571987,0.9839457285825002,918,2615,162885,12,0.28664212500007125,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-003/ses-1/anat/sub-003_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-003_ses-1_acq-RARE_T2w_008.nii.gz
train,066,0.9858026185329931,0.9845688999791588,0.9870394327998093,3958,3316,255853,64,0.292028332999962,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-066/ses-1/anat/sub-066_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-066_ses-1_acq-RARE_T2w_010.nii.gz
train,020,0.9894157597247114,0.9950672915495886,0.983828061639155,902,2991,184950,12,0.2902576250000948,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-020/ses-1/anat/sub-020_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-020_ses-1_acq-RARE_T2w_054.nii.gz
train,006,0.9885275671059948,0.991811862694564,0.9852649510260227,1337,2422,164370,12,0.2899211659998855,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-006/ses-1/anat/sub-006_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-006_ses-1_acq-RARE_T2w_106.nii.gz
train,042,0.9886493187725861,0.9957583781446193,0.9816410478469897,676,2968,161665,12,0.29134608300000764,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-042/ses-1/anat/sub-042_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-042_ses-1_acq-RARE_T2w_113.nii.gz
train,070,0.9878341041314659,0.9855519708240116,0.9901268309352126,3399,2312,234170,64,0.3007436249999955,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-070/ses-1/anat/sub-070_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-070_ses-1_acq-RARE_T2w_082.nii.gz
train,102,0.9862414475278396,0.9915462705198506,0.980993084618111,1409,3202,168465,12,0.30422174999989693,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-102/ses-1/anat/sub-102_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-102_ses-1_acq-RARE_T2w_073.nii.gz
train,100,0.9882703116504092,0.9932174907756246,0.9833721716914294,1340,3318,199545,12,0.3158210420001524,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-100/ses-1/anat/sub-100_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-100_ses-1_acq-RARE_T2w_031.nii.gz
