subject,role,candidate,tile_shape,resampled_shape,voxel_count,voxel_ratio_vs_control,native_downsample_factor_x,native_downsample_factor_y,native_downsample_factor_z,expert_direction_changes_per_100_at_this_grid,expert_axis_run_max_at_this_grid,cheap_resample_seconds
POLYIC_20190517_mouse39__E12_P1,strongly_pixelated,control,"(128, 128, 160)","(72, 65, 112)",2621440,1.0,2.2755555555555556,3.5555555555555554,0.6666662428116844,41.21212121212121,20.0,0.4018290042877197
POLYIC_20190510_mouse37__E2_P1,median,control,"(128, 128, 160)","(72, 70, 113)",2621440,1.0,1.5999999761581425,2.4999999627470975,0.5000002905728121,39.75903614457831,28.0,0.10007214546203613
POLYIC_20190517_mouse37__E3_P1,best_true_level0,control,"(128, 128, 160)","(72, 65, 112)",2621440,1.0,2.2755555555555556,3.5555555555555554,0.6666662428116844,44.31137724550898,14.0,0.14490008354187012
POLYIC_20190517_mouse39__E12_P1,strongly_pixelated,modest_axis0_only,"(192, 128, 160)","(108, 65, 112)",3932160,1.5,2.2755555555555556,2.370417777777778,0.6666662428116844,44.56521739130435,14.0,0.1759040355682373
POLYIC_20190510_mouse37__E2_P1,median,modest_axis0_only,"(192, 128, 160)","(108, 70, 113)",3932160,1.5,1.5999999761581425,1.666699975164235,0.5000002905728121,44.148936170212764,12.0,0.12184000015258789
POLYIC_20190517_mouse37__E3_P1,best_true_level0,modest_axis0_only,"(192, 128, 160)","(108, 65, 112)",3932160,1.5,2.2755555555555556,2.370417777777778,0.6666662428116844,51.832460732984295,12.0,0.1690659523010254
POLYIC_20190517_mouse39__E12_P1,strongly_pixelated,substantial_axis0+2,"(224, 128, 256)","(126, 65, 180)",7340032,2.8,1.4222222222222223,2.031744,0.6666662428116844,45.98540145985402,15.0,0.24213910102844238
POLYIC_20190510_mouse37__E2_P1,median,substantial_axis0+2,"(224, 128, 256)","(126, 70, 180)",7340032,2.8,0.999999985098839,1.4285699787126487,0.5000002905728121,36.56716417910448,32.0,0.18507909774780273
POLYIC_20190517_mouse37__E3_P1,best_true_level0,substantial_axis0+2,"(224, 128, 256)","(126, 65, 180)",7340032,2.8,1.4222222222222223,2.031744,0.6666662428116844,41.09090909090909,15.0,0.2285470962524414
POLYIC_20190517_mouse39__E12_P1,strongly_pixelated,near_native,"(448, 128, 384)","(252, 65, 270)",22020096,8.4,0.9486222222222221,1.0154666666666667,0.6666662428116844,47.661469933184854,21.0,0.5215821266174316
POLYIC_20190510_mouse37__E2_P1,median,near_native,"(448, 128, 384)","(252, 70, 270)",22020096,8.4,0.6669999900609256,0.7139999893605711,0.5000002905728121,37.659574468085104,19.0,0.4718027114868164
POLYIC_20190517_mouse37__E3_P1,best_true_level0,near_native,"(448, 128, 384)","(252, 65, 270)",22020096,8.4,0.9486222222222221,1.0154666666666667,0.6666662428116844,47.006651884700666,16.0,0.4878859519958496
