domain,error_type,complexity_group,error_voxels,expert_surface_voxels,errors_per_100_surface_voxels,error_distance_mm_mean,error_distance_mm_median,error_distance_mm_p95,error_distance_mm_maximum
CAMRI,FP,flat,1505,68434,2.199199228,0.1803900898,0.200000003,0.2828427255,0.5
CAMRI,FP,medium complexity,3092,68430,4.518486044,0.1734867841,0.200000003,0.2502629638,0.6000000238
CAMRI,FP,high complexity,7025,68433,10.26551518,0.1684504151,0.1414213628,0.3605551422,0.9055384994
CAMRI,FN,flat,1268,68434,1.852880147,0.017003607,0,0.200000003,0.6928203106
CAMRI,FN,medium complexity,2722,68430,3.97778752,0.006441891193,0,0,0.7483314872
CAMRI,FN,high complexity,8318,68433,12.15495448,0.003206655849,0,0,0.6000000238
CAMRI,All,flat,2773,68434,4.052079376,0.1056789309,0.1000000015,0.200000003,0.6928203106
CAMRI,All,medium complexity,5814,68430,8.496273564,0.09527965635,0.1000000015,0.200000003,0.7483314872
CAMRI,All,high complexity,15343,68433,22.42046966,0.07886574417,0,0.2236067951,0.9055384994
Mouse,FP,flat,55978,568246,9.851015229,0.1362259388,0.1000000015,0.400000006,1.982424617
Mouse,FP,medium complexity,79085,568196,13.91861259,0.1246808693,0.1000000015,0.2828427255,1.89736855
Mouse,FP,high complexity,78896,568220,13.88476294,0.1616604626,0.1000000015,0.4000000954,1.802775621
Mouse,FN,flat,29337,568246,5.162728818,0.001293426147,0,0,0.3000000119
Mouse,FN,medium complexity,62997,568196,11.08719526,0.0007455904852,0,0,0.400000006
Mouse,FN,high complexity,86455,568220,15.21505755,0.001530946698,0,0,0.412310183
Mouse,All,flat,85315,568246,15.01374405,0.08982712775,0.1000000015,0.3000001907,1.982424617
Mouse,All,medium complexity,142082,568196,25.00580786,0.0697298497,0.1000000015,0.200000003,1.89736855
Mouse,All,high complexity,165351,568220,29.09982049,0.07793556154,0,0.3000001907,1.802775621
Combined,FP,flat,57483,636680,9.028554376,0.1373822391,0.1000000015,0.400000006,1.982424617
Combined,FP,medium complexity,82177,636626,12.9082067,0.1265172362,0.1000000015,0.2828427255,1.89736855
Combined,FP,high complexity,85921,636653,13.49573473,0.1622156054,0.1000000015,0.4000000954,1.802775621
Combined,FN,flat,30605,636680,4.806967393,0.0019443169,0,0,0.6928203106
Combined,FN,medium complexity,65719,636626,10.3230154,0.0009815242374,0,0,0.7483314872
Combined,FN,high complexity,94773,636653,14.88613106,0.001678019646,0,0,0.6000000238
Combined,All,flat,88088,636680,13.83552177,0.09032613784,0.1000000015,0.3000001907,1.982424617
Combined,All,medium complexity,147896,636626,23.2312221,0.07073424757,0.1000000015,0.200000003,1.89736855
Combined,All,high complexity,180694,636653,28.38186579,0.07801455259,0,0.3000000119,1.802775621
