domain,role,subject,figure_path
CAMRI,best boundary,043,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/boundary_diagnostics/figures/camri/best_boundary_043.png
CAMRI,median boundary,009,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/boundary_diagnostics/figures/camri/median_boundary_009.png
CAMRI,worst boundary,064,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/boundary_diagnostics/figures/camri/worst_boundary_064.png
CAMRI,mostly <=1 voxel,078,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/boundary_diagnostics/figures/camri/mostly_le1_voxel_078.png
CAMRI,largest >3 voxel,007,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/boundary_diagnostics/figures/camri/largest_gt3_voxel_007.png
CAMRI,FP dominated,099,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/boundary_diagnostics/figures/camri/FP_dominated_099.png
CAMRI,FN dominated,064,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/boundary_diagnostics/figures/camri/FN_dominated_064.png
CAMRI,high curvature failure,064,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/boundary_diagnostics/figures/camri/high_curvature_failure_064.png
Mouse,best boundary,POLYIC_20190612_polyic___E10_P1_1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/boundary_diagnostics/figures/mouse/best_boundary_POLYIC_20190612_polyic___E10_P1_1.png
Mouse,median boundary,POLYIC_20190510_mouse37__E2_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/boundary_diagnostics/figures/mouse/median_boundary_POLYIC_20190510_mouse37__E2_P1.png
Mouse,worst boundary,POLYIC_20190510_mouse43__E9_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/boundary_diagnostics/figures/mouse/worst_boundary_POLYIC_20190510_mouse43__E9_P1.png
Mouse,mostly <=1 voxel,POLYIC_20190629_polyic_mo__E3_P1_5,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/boundary_diagnostics/figures/mouse/mostly_le1_voxel_POLYIC_20190629_polyic_mo__E3_P1_5.png
Mouse,largest >3 voxel,POLYIC_20190517_mouse37__E3_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/boundary_diagnostics/figures/mouse/largest_gt3_voxel_POLYIC_20190517_mouse37__E3_P1.png
Mouse,FP dominated,POLYIC_20190517_mouse39__E12_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/boundary_diagnostics/figures/mouse/FP_dominated_POLYIC_20190517_mouse39__E12_P1.png
Mouse,FN dominated,POLYIC_20190531_polyic_m__E3_P1_11,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/boundary_diagnostics/figures/mouse/FN_dominated_POLYIC_20190531_polyic_m__E3_P1_11.png
Mouse,high curvature failure,POLYIC_20190524_polyic___E9_P1_1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/boundary_diagnostics/figures/mouse/high_curvature_failure_POLYIC_20190524_polyic___E9_P1_1.png
