domain,voxel_group,voxels,probability_p05,probability_p25,probability_median,probability_p75,probability_p95,probability_mean,uncertain_0.25_to_0.75_percent,confident_incorrect_percent
CAMRI,correct inside,607915,0.927962184,0.9996795654,0.9999847412,1,1,0.9867966771,1.812424434,
CAMRI,correct outside,262561,7.00501414e-06,0.0001068115234,0.001068145037,0.01518273354,0.2281681597,0.03358565271,4.39783517,
CAMRI,FP boundary,11622,0.5189326406,0.5967002511,0.7135424018,0.8505421728,0.9718385339,0.7266428471,57.04697987,16.70108415
CAMRI,FN boundary,12308,0.04364416022,0.1602948718,0.2880979776,0.4030746818,0.4829526126,0.2785847187,58.10854729,14.34026649
Mouse,correct inside,4423441,0.8559834361,0.9986153841,0.9999855757,0.9999997616,1,0.979703486,2.843555504,
Mouse,correct outside,3333882,1.368128733e-05,0.0003017394411,0.002579116845,0.02238242701,0.2379700609,0.03701758012,4.663512386,
Mouse,FP boundary,213959,0.5242979348,0.6271837354,0.7688917518,0.9074060619,0.9898888469,0.7650231719,46.68043878,26.42094981
Mouse,FN boundary,178789,0.01777436696,0.1099009067,0.2434828579,0.3775955439,0.4768415809,0.2447302788,48.81116847,23.01372008
Combined,correct inside,5031356,0.863943696,0.9988473654,0.9999847412,0.9999997616,1,0.9805607796,2.718968803,
Combined,correct outside,3596443,1.350850926e-05,0.0002783407399,0.002444801619,0.02187904716,0.2372156084,0.03676703945,4.644116423,
Combined,FP boundary,225581,0.5239233971,0.6252655387,0.7656396627,0.9047635198,0.9894796014,0.7630458474,47.21452605,25.92017945
Combined,FN boundary,191097,0.01875388473,0.1127258539,0.2469224334,0.3796594739,0.4773141205,0.2469107509,49.4099855,22.45508825
