domain,error_type,normalized_slice_region,error_voxels,percent_of_error_voxels,expert_surface_voxels,errors_per_100_surface_voxels,orientation_interpretation
CAMRI,FP,first 20%,2464,21.20117019,76247,3.231602555,acquisition-slice position only
CAMRI,FP,middle 60%,6108,52.55549819,71457,8.547797976,acquisition-slice position only
CAMRI,FP,final 20%,3050,26.24333161,57593,5.295782474,acquisition-slice position only
CAMRI,FN,first 20%,3909,31.759831,76247,5.126759086,acquisition-slice position only
CAMRI,FN,middle 60%,5611,45.58823529,71457,7.852274795,acquisition-slice position only
CAMRI,FN,final 20%,2788,22.6519337,57593,4.840866077,acquisition-slice position only
CAMRI,All,first 20%,6373,26.63184288,76247,8.35836164,acquisition-slice position only
CAMRI,All,middle 60%,11719,48.97200167,71457,16.40007277,acquisition-slice position only
CAMRI,All,final 20%,5838,24.39615545,57593,10.13664855,acquisition-slice position only
Mouse,FP,first 20%,57820,27.02386906,451029,12.81957479,acquisition-slice position only
Mouse,FP,middle 60%,128743,60.17180862,1061919,12.12361771,acquisition-slice position only
Mouse,FP,final 20%,27396,12.80432232,191714,14.2900362,acquisition-slice position only
Mouse,FN,first 20%,48182,26.94908523,451029,10.68268338,acquisition-slice position only
Mouse,FN,middle 60%,114616,64.10685221,1061919,10.79329026,acquisition-slice position only
Mouse,FN,final 20%,15991,8.944062554,191714,8.341070553,acquisition-slice position only
Mouse,All,first 20%,106002,26.98982554,451029,23.50225817,acquisition-slice position only
Mouse,All,middle 60%,243359,61.96314176,1061919,22.91690798,acquisition-slice position only
Mouse,All,final 20%,43387,11.0470327,191714,22.63110675,acquisition-slice position only
Combined,FP,first 20%,60284,26.72388189,527276,11.43310145,acquisition-slice position only
Combined,FP,middle 60%,134851,59.77941405,1133376,11.89816972,acquisition-slice position only
Combined,FP,final 20%,30446,13.49670407,249307,12.21225236,acquisition-slice position only
Combined,FN,first 20%,52091,27.25893133,527276,9.879266267,acquisition-slice position only
Combined,FN,middle 60%,120227,62.91412215,1133376,10.60786535,acquisition-slice position only
Combined,FN,final 20%,18779,9.826946525,249307,7.532480035,acquisition-slice position only
Combined,All,first 20%,112375,26.96926644,527276,21.31236772,acquisition-slice position only
Combined,All,middle 60%,255078,61.2170549,1133376,22.50603507,acquisition-slice position only
Combined,All,final 20%,49225,11.81367867,249307,19.7447324,acquisition-slice position only
