domain,subject,voxel_spacing_x_mm,voxel_spacing_y_mm,voxel_spacing_z_mm,dice,hd95_mm,assd_mm,fp_voxels,fn_voxels,surface_dice_0.1mm,surface_dice_0.2mm,surface_dice_0.5mm,surface_dice_1mm
CAMRI,064,0.200000003,0.200000003,0.200000003,0.9873471742,0.200000003,0.03804505577,2342,4240,0.8208160176,0.8208160176,0.9995572883,1
CAMRI,007,0.1000000015,0.1000000015,1,0.9879251379,0.1000000015,0.01141640967,1472,2041,0.9148693695,0.9837744665,0.9990882931,1
CAMRI,043,0.1000000015,0.1000000015,1,0.9893833432,0.1000000015,0.009655559352,1064,1749,0.9213977833,0.9894550493,0.9995843596,1
CAMRI,078,0.200000003,0.200000003,0.200000003,0.9902644832,0.200000003,0.02781248658,2742,2023,0.8632601389,0.8632601389,0.9998963531,1
CAMRI,009,0.1000000015,0.1000000015,1,0.9887403479,0.1000000015,0.01003237181,1971,976,0.9215303594,0.9890179678,0.9989467162,1
CAMRI,099,0.1000000015,0.1000000015,1,0.9893460194,0.1000000015,0.009939829553,2031,1279,0.923992297,0.987900923,0.9986320473,1
Mouse,POLYIC_20190510_mouse34__E2_P1,0.1000000015,0.1000000015,0.3999999166,0.9749279594,0.200000003,0.03470856034,3213,2077,0.7547904498,0.9494825289,1,1
Mouse,POLYIC_20190510_mouse35__E3_P1,0.1000000015,0.1000000015,0.4000000656,0.9777070506,0.1414213583,0.02840745241,2594,2225,0.7765283173,0.9631210386,0.9999744429,1
Mouse,POLYIC_20190510_mouse37__E2_P1,0.1000000015,0.1000000015,0.3999997675,0.981028687,0.1000000015,0.02421230213,1836,2741,0.7988244217,0.9748056504,1,1
Mouse,POLYIC_20190510_mouse38__E2_P1,0.1000000015,0.1000000015,0.3999999762,0.9800141179,0.1000000015,0.02443820451,2520,2095,0.7931220037,0.9771059583,1,1
Mouse,POLYIC_20190510_mouse39__E4_P1,0.1000000015,0.1000000015,0.3999998868,0.9793219227,0.1000000015,0.02530235563,1904,2949,0.7885703188,0.9732708601,1,1
Mouse,POLYIC_20190510_mouse42__E2_P1,0.1000000015,0.1000000015,0.400000155,0.9796471948,0.1000000015,0.02650923406,1807,2860,0.7918502471,0.9688663859,1,1
Mouse,POLYIC_20190510_mouse43__E2_P1_1,0.1000000015,0.1000000015,0.400000006,0.972242011,0.200000003,0.03056843021,1649,2715,0.7786849522,0.9458988291,1,1
Mouse,POLYIC_20190510_mouse43__E9_P1,0.1000000015,0.1000000015,0.3999999464,0.953143843,0.400000006,0.08674332227,7726,3464,0.6189610147,0.8332867002,0.9650951315,0.9968522664
Mouse,POLYIC_20190517_mouse33__E2_P1,0.1000000015,0.1000000015,0.400000006,0.9780392619,0.1414213583,0.02924265949,3045,1800,0.7756377681,0.961124098,0.9999745909,1
Mouse,POLYIC_20190517_mouse35__E2_P1,0.1000000015,0.1000000015,0.3999999762,0.9795426874,0.1000000015,0.02521507192,2128,2459,0.797634366,0.9707017718,1,1
Mouse,POLYIC_20190517_mouse36__E2_P1,0.1000000015,0.1000000015,0.3999999464,0.9804691385,0.1000000015,0.02300546225,1879,2638,0.8088739657,0.9784626454,0.9994963425,1
Mouse,POLYIC_20190517_mouse37__E3_P1,0.0703125,0.0703125,0.3000001907,0.9742176125,0.1988737822,0.03697237204,12036,3724,0.8952500933,0.9557904069,0.9991134752,1
Mouse,POLYIC_20190517_mouse38__E3_P1,0.1000000015,0.1000000015,0.4000001252,0.9814981325,0.1000000015,0.02216158757,1968,2312,0.8083312793,0.9807986197,1,1
Mouse,POLYIC_20190517_mouse39__E12_P1,0.0703125,0.0703125,0.3000001907,0.9763518472,0.1572235297,0.03535949383,11633,2547,0.905014628,0.9554752291,0.9986460021,1
Mouse,POLYIC_20190517_mouse42__E4_P1,0.1000000015,0.1000000015,0.3999997973,0.9818470499,0.1000000015,0.02129657718,2013,2263,0.8152905783,0.9814240008,1,1
