domain,role,subject,slice,path
CAMRI,largest_improvement,043,0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/figures/camri/largest_improvement_043.png
CAMRI,largest_regression,064,52,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/figures/camri/largest_regression_064.png
CAMRI,median_change,009,2,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/figures/camri/median_change_009.png
CAMRI,previously_pixelated,099,1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/figures/camri/previously_pixelated_099.png
CAMRI,worst_baseline,007,1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/figures/camri/worst_baseline_007.png
CAMRI,high_curvature,064,52,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/figures/camri/high_curvature_064.png
Mouse,largest_improvement,POLYIC_20190510_mouse43__E2_P1_1,1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/figures/mouse/largest_improvement_POLYIC_20190510_mouse43__E2_P1_1.png
Mouse,largest_regression,POLYIC_20190510_mouse43__E9_P1,1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/figures/mouse/largest_regression_POLYIC_20190510_mouse43__E9_P1.png
Mouse,median_change,POLYIC_20190531_polyic_m__E3_P1_9,2,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/figures/mouse/median_change_POLYIC_20190531_polyic_m__E3_P1_9.png
Mouse,previously_pixelated,POLYIC_20190517_mouse37__E3_P1,10,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/figures/mouse/previously_pixelated_POLYIC_20190517_mouse37__E3_P1.png
Mouse,worst_baseline,POLYIC_20190510_mouse43__E9_P1,1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/figures/mouse/worst_baseline_POLYIC_20190510_mouse43__E9_P1.png
Mouse,high_curvature,POLYIC_20190629_polyic_mo__E4_P1_4,8,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/figures/mouse/high_curvature_POLYIC_20190629_polyic_mo__E4_P1_4.png
