condition,domain,subject,boundary_band_probability_std,boundary_band_intermediate_0.1_0.9_percent,boundary_band_gradient_mean_per_native_pixel,probability_isocontour_points,probability_isocontour_subvoxel_coordinate_percent,probability_isocontour_mean_fractional_offset
baseline_128,CAMRI,064,0.43556830286979675,20.75019046538393,0.20142988860607147,20782,49.94225772302954,0.1459624183919693
higher_res_192,CAMRI,064,0.4460284411907196,16.705769652294627,0.20706593990325928,21188,49.929205210496505,0.15195862541908287
baseline_128,CAMRI,007,0.3863633871078491,8.40884123566375,0.12770912051200867,6545,49.87012987012987,0.15489092986402334
higher_res_192,CAMRI,007,0.3866519629955292,7.153972700191187,0.12423483282327652,6503,49.96924496386283,0.153425067508437
baseline_128,CAMRI,043,0.3775949776172638,9.672439577403637,0.1284339278936386,6383,49.96866677111076,0.15425110696172759
higher_res_192,CAMRI,043,0.38204285502433777,8.041186565334641,0.12636122107505798,6323,49.95255416732564,0.15346401829621975
baseline_128,CAMRI,078,0.43290674686431885,20.756326654728518,0.2030530720949173,20049,49.955109980547654,0.1459326203161311
higher_res_192,CAMRI,078,0.44327569007873535,16.514329845286895,0.20677706599235535,20007,49.94002099265257,0.15378518979209507
baseline_128,CAMRI,009,0.384561151266098,8.598689171161764,0.12781035900115967,6284,49.92043284532145,0.1575823562750245
higher_res_192,CAMRI,009,0.3806621730327606,7.846423699083998,0.1258024275302887,6329,49.936798862379526,0.15161203208020926
baseline_128,CAMRI,099,0.38002142310142517,8.662903305908255,0.1254410743713379,6770,49.87444608567208,0.15510800326475613
higher_res_192,CAMRI,099,0.38158491253852844,7.476146148475681,0.1248994991183281,6742,49.97033521210324,0.15353555840779237
baseline_128,Mouse,POLYIC_20190510_mouse34__E2_P1,0.44635453820228577,17.64004277371062,0.20611128211021423,8827,49.954684490766965,0.1586115684793812
higher_res_192,Mouse,POLYIC_20190510_mouse34__E2_P1,0.44428229331970215,16.843670646333422,0.20510002970695496,8960,49.955357142857146,0.15047879431650685
baseline_128,Mouse,POLYIC_20190510_mouse35__E3_P1,0.44878312945365906,17.07544966129409,0.20502415299415588,8850,49.994350282485875,0.16058854946586879
higher_res_192,Mouse,POLYIC_20190510_mouse35__E3_P1,0.4432373642921448,17.611225475780365,0.2066928744316101,9061,49.91722767906412,0.15230244680622468
baseline_128,Mouse,POLYIC_20190510_mouse37__E2_P1,0.44062453508377075,17.325410951732803,0.20663660764694214,9463,49.98414879002431,0.15947334681917424
higher_res_192,Mouse,POLYIC_20190510_mouse37__E2_P1,0.4433239698410034,16.05521784537932,0.20818446576595306,9529,49.91079861475496,0.15340815591899157
baseline_128,Mouse,POLYIC_20190510_mouse38__E2_P1,0.4442673921585083,18.02749222104061,0.20788319408893585,9167,49.901821751936296,0.1579991382232676
higher_res_192,Mouse,POLYIC_20190510_mouse38__E2_P1,0.44341984391212463,16.984671454603923,0.20732837915420532,9286,49.93538660348912,0.1521012295667136
baseline_128,Mouse,POLYIC_20190510_mouse39__E4_P1,0.43961456418037415,18.737587540503814,0.2044934332370758,9328,49.994639794168094,0.15562696495647554
higher_res_192,Mouse,POLYIC_20190510_mouse39__E4_P1,0.4448951482772827,17.06309833471883,0.20560243725776672,9324,49.95173745173745,0.15062633116302016
baseline_128,Mouse,POLYIC_20190510_mouse42__E2_P1,0.4446219503879547,17.482199469882023,0.20542024075984955,9179,49.89650288702473,0.159429164624715
higher_res_192,Mouse,POLYIC_20190510_mouse42__E2_P1,0.4467089772224426,16.28512385604251,0.20803111791610718,9206,49.92396263306539,0.15212768825015624
baseline_128,Mouse,POLYIC_20190510_mouse43__E2_P1_1,0.43107983469963074,15.809996455157746,0.16345946490764618,6765,49.99260901699926,0.15363206567629814
higher_res_192,Mouse,POLYIC_20190510_mouse43__E2_P1_1,0.4312852919101715,14.01867572156197,0.15776106715202332,6258,49.94407158836689,0.1514489465708782
baseline_128,Mouse,POLYIC_20190510_mouse43__E9_P1,0.4362303912639618,21.43919875167834,0.19485272467136383,10082,49.950406665344175,0.15093192880880063
higher_res_192,Mouse,POLYIC_20190510_mouse43__E9_P1,0.4297102093696594,21.444012105490703,0.19159464538097382,10021,49.91018860393174,0.1466202201123093
baseline_128,Mouse,POLYIC_20190517_mouse33__E2_P1,0.44212234020233154,18.167484470783325,0.20668622851371765,9085,49.950467804072645,0.1588119803364366
higher_res_192,Mouse,POLYIC_20190517_mouse33__E2_P1,0.44183114171028137,16.92542240125322,0.20776808261871338,9096,49.94503078276165,0.15036456112514013
baseline_128,Mouse,POLYIC_20190517_mouse35__E2_P1,0.4456866979598999,17.371775336875437,0.21025559306144714,8967,49.97769599643136,0.15778098729069054
higher_res_192,Mouse,POLYIC_20190517_mouse35__E2_P1,0.44698795676231384,16.49964063411128,0.2120717167854309,9056,49.966872791519435,0.15277161258678332
baseline_128,Mouse,POLYIC_20190517_mouse36__E2_P1,0.44382333755493164,18.07573669357485,0.20460887253284454,9188,49.92381367000435,0.15603555776000466
higher_res_192,Mouse,POLYIC_20190517_mouse36__E2_P1,0.44308894872665405,17.2502353099368,0.20713002979755402,9271,49.919102577931184,0.15270504108669475
baseline_128,Mouse,POLYIC_20190517_mouse37__E3_P1,0.4347875714302063,18.529678882252817,0.18857000768184662,17687,49.96607677955561,0.16144596838983735
higher_res_192,Mouse,POLYIC_20190517_mouse37__E3_P1,0.43563002347946167,17.018471282638966,0.19200021028518677,17634,49.94045593739367,0.15532438661578285
baseline_128,Mouse,POLYIC_20190517_mouse38__E3_P1,0.4457313120365143,16.25550836739313,0.20535244047641754,9246,49.924291585550506,0.16177281097829957
higher_res_192,Mouse,POLYIC_20190517_mouse38__E3_P1,0.44847121834754944,15.043496129871908,0.20671159029006958,9274,49.967651498813886,0.15759833572347068
baseline_128,Mouse,POLYIC_20190517_mouse39__E12_P1,0.4297226071357727,19.247021445591738,0.18767186999320984,17384,49.91083755177174,0.15868818985696406
higher_res_192,Mouse,POLYIC_20190517_mouse39__E12_P1,0.428977370262146,17.81239680658884,0.1907333880662918,17395,49.968381718884736,0.15702061252752397
baseline_128,Mouse,POLYIC_20190517_mouse42__E4_P1,0.4449949860572815,17.02493662372601,0.20549100637435913,9380,49.89339019189765,0.15960469647513673
higher_res_192,Mouse,POLYIC_20190517_mouse42__E4_P1,0.44680657982826233,15.71413381535926,0.20672933757305145,9361,49.903856425595556,0.15358344698134369
baseline_128,Mouse,POLYIC_20190517_mouse43__E3_P1,0.4405914843082428,18.497636905373472,0.20699842274188995,9381,49.99467007781686,0.15751025292787127
higher_res_192,Mouse,POLYIC_20190517_mouse43__E3_P1,0.44449305534362793,17.02408620325375,0.20977286994457245,9406,49.957473952796086,0.15263038719469443
baseline_128,Mouse,POLYIC_20190524_polyic___E3_P1,0.44875025749206543,16.573296618331277,0.20552919805049896,9845,49.94921279837481,0.1609702729540931
higher_res_192,Mouse,POLYIC_20190524_polyic___E3_P1,0.4474523365497589,15.462944979329096,0.20814533531665802,9401,49.96808850122327,0.15626710689563303
baseline_128,Mouse,POLYIC_20190524_polyic___E3_P1_1,0.44630011916160583,15.875187808542607,0.20384058356285095,9335,49.98928762720943,0.1642252751118332
higher_res_192,Mouse,POLYIC_20190524_polyic___E3_P1_1,0.44750991463661194,14.55191256830601,0.20824448764324188,9456,49.984137055837564,0.15841742243008564
baseline_128,Mouse,POLYIC_20190524_polyic___E3_P1_10,0.4468497037887573,15.723998653651968,0.2033187747001648,9168,49.94546247818499,0.1639680096742058
higher_res_192,Mouse,POLYIC_20190524_polyic___E3_P1_10,0.4460318982601166,15.100421522439872,0.20363079011440277,9266,49.99460392834017,0.15526509413017084
baseline_128,Mouse,POLYIC_20190524_polyic___E3_P1_12,0.44323962926864624,17.306640550475052,0.20006823539733887,9481,49.920894420419785,0.15824994813544285
higher_res_192,Mouse,POLYIC_20190524_polyic___E3_P1_12,0.44320711493492126,16.519550960272237,0.2038082480430603,9565,49.87976999477261,0.15196690060934503
baseline_128,Mouse,POLYIC_20190524_polyic___E3_P1_13,0.4414863884449005,17.56794270327291,0.20493677258491516,9114,49.917709019091504,0.1589015933552734
higher_res_192,Mouse,POLYIC_20190524_polyic___E3_P1_13,0.44495129585266113,16.38563466787989,0.20547610521316528,9153,49.94537310171528,0.15451605073616143
baseline_128,Mouse,POLYIC_20190524_polyic___E3_P1_3,0.44248056411743164,17.763716941419478,0.20046764612197876,9141,49.91795208401707,0.15564660599774766
higher_res_192,Mouse,POLYIC_20190524_polyic___E3_P1_3,0.4446234703063965,16.30695120966657,0.2011856734752655,10324,49.93703990701279,0.14849880464914442
baseline_128,Mouse,POLYIC_20190524_polyic___E3_P1_4,0.4485905170440674,15.710635058721184,0.20625653862953186,9170,49.87459105779716,0.1657984922634154
higher_res_192,Mouse,POLYIC_20190524_polyic___E3_P1_4,0.4479961395263672,15.006493327070267,0.20533056557178497,9336,49.91966580976864,0.15782033878254437
baseline_128,Mouse,POLYIC_20190524_polyic___E3_P1_5,0.44380179047584534,15.871483728626586,0.2016042172908783,9000,49.96111111111111,0.1627220305545789
higher_res_192,Mouse,POLYIC_20190524_polyic___E3_P1_5,0.4449828267097473,15.192129564656021,0.20391790568828583,9113,49.978053330407114,0.15674035265551262
baseline_128,Mouse,POLYIC_20190524_polyic___E3_P1_6,0.44981375336647034,15.62923574184131,0.1959846466779709,9414,49.893775228383255,0.16117301829995265
higher_res_192,Mouse,POLYIC_20190524_polyic___E3_P1_6,0.45028430223464966,15.456615228940047,0.1961994469165802,9446,49.93648105017997,0.15449095710957084
baseline_128,Mouse,POLYIC_20190524_polyic___E3_P1_7,0.4461528956890106,16.041470045498727,0.20508383214473724,9023,49.97229302892608,0.1652640337072793
higher_res_192,Mouse,POLYIC_20190524_polyic___E3_P1_7,0.44670018553733826,15.228572663487444,0.20844124257564545,9178,49.92917847025496,0.15672939893409207
baseline_128,Mouse,POLYIC_20190524_polyic___E3_P1_9,0.44804927706718445,16.412281298931173,0.2048470377922058,9322,49.99463634413216,0.1641053087748256
higher_res_192,Mouse,POLYIC_20190524_polyic___E3_P1_9,0.448147714138031,15.366815818453002,0.20672960579395294,9438,49.94172494172494,0.15720124078425327
baseline_128,Mouse,POLYIC_20190524_polyic___E4_P1_1,0.4474141299724579,16.16251844032103,0.19858726859092712,8972,49.97213553276861,0.15986723914182585
higher_res_192,Mouse,POLYIC_20190524_polyic___E4_P1_1,0.4489661753177643,14.975912287502076,0.19903846085071564,8979,49.938745962802095,0.15267459118207885
baseline_128,Mouse,POLYIC_20190524_polyic___E4_P1_7,0.4441966116428375,17.02317913179551,0.20670780539512634,9096,49.91754617414248,0.1584957732067518
higher_res_192,Mouse,POLYIC_20190524_polyic___E4_P1_7,0.44480136036872864,16.5443324829326,0.2054254710674286,9297,49.9784876841992,0.15471361471942288
baseline_128,Mouse,POLYIC_20190524_polyic___E4_P1_9,0.44720521569252014,18.780509679816525,0.19889189302921295,9409,49.904346901902436,0.15400832033246079
higher_res_192,Mouse,POLYIC_20190524_polyic___E4_P1_9,0.4495222866535187,16.950363052017618,0.20215795934200287,9455,49.96298254891592,0.14941474927238707
baseline_128,Mouse,POLYIC_20190524_polyic___E8_P1_1,0.44638779759407043,15.270365589108186,0.2051687240600586,9367,49.95195900501761,0.16598951952380608
higher_res_192,Mouse,POLYIC_20190524_polyic___E8_P1_1,0.4473956525325775,14.496411711736295,0.20586760342121124,9417,49.973452267176384,0.1577178208835717
