domain,subject,native_coordinate_axis,candidate_factor_pixels,expected_level1_footprint_pixels,expert_best_residue,expert_max_alignment_fraction,prediction_best_residue,prediction_max_alignment_fraction,prediction_minus_expert_alignment,expert_transition_count,prediction_transition_count,condition
CAMRI,064,x,2,1.5999999403953562,0,0.50346511261616,1,0.503482665822384,1.7553206223985818e-05,12698,12634,baseline_128
CAMRI,064,x,3,1.5999999403953562,2,0.3354071507323988,2,0.3434383409846446,0.008031190252245801,12698,12634,baseline_128
CAMRI,064,x,4,1.5999999403953562,0,0.25791463222554734,0,0.2639702390375178,0.006055606811970482,12698,12634,baseline_128
CAMRI,064,x,5,1.5999999403953562,4,0.21389195148842338,2,0.21228431217350008,-0.0016076393149233037,12698,12634,baseline_128
CAMRI,064,x,6,1.5999999403953562,5,0.1803433611592377,5,0.18893462086433432,0.008591259705096638,12698,12634,baseline_128
CAMRI,064,x,7,1.5999999403953562,1,0.16711293117026305,1,0.1704131708089283,0.003300239638665242,12698,12634,baseline_128
CAMRI,064,x,8,1.5999999403953562,1,0.14789730666246653,1,0.1562450530315023,0.008347746369035763,12698,12634,baseline_128
CAMRI,064,y,2,2.4999999627470975,1,0.5084377397085145,1,0.5172200198216056,0.008782280113091123,7822,8072,baseline_128
CAMRI,064,y,3,2.4999999627470975,2,0.3394272564561493,2,0.35022299306243804,0.010795736606288742,7822,8072,baseline_128
CAMRI,064,y,4,2.4999999627470975,3,0.2550498593710049,3,0.2719276511397423,0.016877791768737438,7822,8072,baseline_128
CAMRI,064,y,5,2.4999999627470975,2,0.20646893377652775,3,0.22150644202180378,0.015037508245276027,7822,8072,baseline_128
CAMRI,064,y,6,2.4999999627470975,5,0.17847097928918434,5,0.19586223984142714,0.0173912605522428,7822,8072,baseline_128
CAMRI,064,y,7,2.4999999627470975,1,0.14727691127588852,3,0.15807730426164518,0.010800392985756663,7822,8072,baseline_128
CAMRI,064,y,8,2.4999999627470975,7,0.13244694451546918,7,0.1531219028741328,0.02067495835866362,7822,8072,baseline_128
CAMRI,064,x,2,1.5999999403953562,0,0.50346511261616,0,0.5003919724051427,-0.0030731402110173445,12698,12756,higher_res_192
CAMRI,064,x,3,1.5999999403953562,2,0.3354071507323988,2,0.3385073690812167,0.003100218348817907,12698,12756,higher_res_192
CAMRI,064,x,4,1.5999999403953562,0,0.25791463222554734,0,0.26175917215428035,0.003844539928733015,12698,12756,higher_res_192
CAMRI,064,x,5,1.5999999403953562,4,0.21389195148842338,4,0.21966133584195674,0.005769384353533358,12698,12756,higher_res_192
CAMRI,064,x,6,1.5999999403953562,5,0.1803433611592377,5,0.18697083725305738,0.006627476093819695,12698,12756,higher_res_192
CAMRI,064,x,7,1.5999999403953562,1,0.16711293117026305,1,0.16933207902163688,0.002219147851373837,12698,12756,higher_res_192
CAMRI,064,x,8,1.5999999403953562,1,0.14789730666246653,1,0.15443712762621511,0.006539820963748583,12698,12756,higher_res_192
CAMRI,064,y,2,2.4999999627470975,1,0.5084377397085145,1,0.5211839121613557,0.012746172452841265,7822,8379,higher_res_192
CAMRI,064,y,3,2.4999999627470975,2,0.3394272564561493,2,0.3622150614631818,0.02278780500703248,7822,8379,higher_res_192
CAMRI,064,y,4,2.4999999627470975,3,0.2550498593710049,3,0.28237259816207183,0.027322738791066947,7822,8379,higher_res_192
CAMRI,064,y,5,2.4999999627470975,2,0.20646893377652775,3,0.24107888769542904,0.03460995391890129,7822,8379,higher_res_192
CAMRI,064,y,6,2.4999999627470975,5,0.17847097928918434,5,0.20599116839718343,0.027520189107999082,7822,8379,higher_res_192
CAMRI,064,y,7,2.4999999627470975,1,0.14727691127588852,3,0.17400644468313642,0.026729533407247902,7822,8379,higher_res_192
CAMRI,064,y,8,2.4999999627470975,7,0.13244694451546918,7,0.1655328798185941,0.033085935303124925,7822,8379,higher_res_192
CAMRI,007,x,2,3.1999998807907124,0,0.5756929637526652,1,0.515803631472764,-0.05988933227990123,2814,2974,baseline_128
CAMRI,007,x,3,3.1999998807907124,0,0.34506041222459133,1,0.3439811701412239,-0.0010792420833674043,2814,2974,baseline_128
CAMRI,007,x,4,3.1999998807907124,2,0.3034825870646766,3,0.2753866845998655,-0.02809590246481114,2814,2974,baseline_128
CAMRI,007,x,5,3.1999998807907124,2,0.2085998578535892,0,0.2178883658372562,0.00928850798366701,2814,2974,baseline_128
CAMRI,007,x,6,3.1999998807907124,0,0.19900497512437812,5,0.17518493611297914,-0.02382003901139898,2814,2974,baseline_128
CAMRI,007,x,7,3.1999998807907124,3,0.16062544420753375,2,0.17215870880968392,0.011533264602150178,2814,2974,baseline_128
CAMRI,007,x,8,3.1999998807907124,6,0.15636105188343993,3,0.14458641560188298,-0.01177463628155695,2814,2974,baseline_128
CAMRI,007,y,2,4.999999925494195,0,0.556926528323051,1,0.5087127599775154,-0.04821376834553559,3566,3558,baseline_128
CAMRI,007,y,3,4.999999925494195,1,0.339035333707235,1,0.3406408094435076,0.0016054757362726213,3566,3558,baseline_128
CAMRI,007,y,4,4.999999925494195,0,0.3051037577117218,3,0.2748735244519393,-0.030230233259782524,3566,3558,baseline_128
CAMRI,007,y,5,4.999999925494195,0,0.2319125070106562,3,0.4749859471613266,0.2430734401506704,3566,3558,baseline_128
CAMRI,007,y,6,4.999999925494195,2,0.18900729108244532,5,0.18409218662169757,-0.004915104460747749,3566,3558,baseline_128
CAMRI,007,y,7,4.999999925494195,6,0.16320807627593942,0,0.21472737492973581,0.0515192986537964,3566,3558,baseline_128
CAMRI,007,y,8,4.999999925494195,0,0.16881660123387549,4,0.20517144463181564,0.03635484339794015,3566,3558,baseline_128
CAMRI,007,x,2,3.1999998807907124,0,0.5756929637526652,1,0.5196011004126547,-0.056091863340010484,2814,2908,higher_res_192
CAMRI,007,x,3,3.1999998807907124,0,0.34506041222459133,0,0.35385144429160936,0.008791032067018034,2814,2908,higher_res_192
