domain,subject,size_voxels,size_mm2
CAMRI,064,1,0.040000001192092904
CAMRI,064,23,0.9200000274181368
CAMRI,064,46,1.8400000548362736
CAMRI,064,1,0.040000001192092904
CAMRI,064,2,0.08000000238418581
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,4,0.16000000476837162
CAMRI,064,9,0.36000001072883614
CAMRI,064,7,0.28000000834465033
CAMRI,064,3,0.12000000357627871
CAMRI,064,3,0.12000000357627871
CAMRI,064,7,0.28000000834465033
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,12,0.48000001430511485
CAMRI,064,1,0.040000001192092904
CAMRI,064,26,1.0400000309944155
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,2,0.08000000238418581
CAMRI,064,2,0.08000000238418581
CAMRI,064,10,0.40000001192092904
CAMRI,064,2,0.08000000238418581
CAMRI,064,4,0.16000000476837162
CAMRI,064,9,0.36000001072883614
CAMRI,064,11,0.44000001311302195
CAMRI,064,1,0.040000001192092904
CAMRI,064,14,0.5600000166893007
CAMRI,064,2,0.08000000238418581
CAMRI,064,5,0.20000000596046452
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,6,0.24000000715255743
CAMRI,064,1,0.040000001192092904
CAMRI,064,4,0.16000000476837162
CAMRI,064,1,0.040000001192092904
CAMRI,064,51,2.0400000607967383
CAMRI,064,4,0.16000000476837162
CAMRI,064,2,0.08000000238418581
CAMRI,064,1,0.040000001192092904
CAMRI,064,37,1.4800000441074375
CAMRI,064,5,0.20000000596046452
CAMRI,064,21,0.840000025033951
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,5,0.20000000596046452
CAMRI,064,1,0.040000001192092904
CAMRI,064,3,0.12000000357627871
CAMRI,064,10,0.40000001192092904
CAMRI,064,4,0.16000000476837162
CAMRI,064,4,0.16000000476837162
CAMRI,064,3,0.12000000357627871
CAMRI,064,1,0.040000001192092904
CAMRI,064,2,0.08000000238418581
CAMRI,064,1,0.040000001192092904
CAMRI,064,2,0.08000000238418581
CAMRI,064,3,0.12000000357627871
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,5,0.20000000596046452
CAMRI,064,2,0.08000000238418581
CAMRI,064,3,0.12000000357627871
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,2,0.08000000238418581
CAMRI,064,3,0.12000000357627871
CAMRI,064,4,0.16000000476837162
CAMRI,064,4,0.16000000476837162
CAMRI,064,6,0.24000000715255743
CAMRI,064,5,0.20000000596046452
CAMRI,064,1,0.040000001192092904
CAMRI,064,2,0.08000000238418581
CAMRI,064,2,0.08000000238418581
CAMRI,064,1,0.040000001192092904
CAMRI,064,10,0.40000001192092904
CAMRI,064,2,0.08000000238418581
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,2,0.08000000238418581
CAMRI,064,7,0.28000000834465033
CAMRI,064,6,0.24000000715255743
CAMRI,064,4,0.16000000476837162
CAMRI,064,4,0.16000000476837162
CAMRI,064,2,0.08000000238418581
CAMRI,064,3,0.12000000357627871
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,18,0.7200000214576723
CAMRI,064,2,0.08000000238418581
CAMRI,064,5,0.20000000596046452
CAMRI,064,17,0.6800000202655794
CAMRI,064,1,0.040000001192092904
CAMRI,064,3,0.12000000357627871
CAMRI,064,6,0.24000000715255743
CAMRI,064,1,0.040000001192092904
CAMRI,064,17,0.6800000202655794
CAMRI,064,14,0.5600000166893007
CAMRI,064,3,0.12000000357627871
CAMRI,064,2,0.08000000238418581
CAMRI,064,11,0.44000001311302195
CAMRI,064,5,0.20000000596046452
CAMRI,064,1,0.040000001192092904
CAMRI,064,3,0.12000000357627871
CAMRI,064,1,0.040000001192092904
CAMRI,064,2,0.08000000238418581
CAMRI,064,3,0.12000000357627871
CAMRI,064,7,0.28000000834465033
CAMRI,064,2,0.08000000238418581
CAMRI,064,3,0.12000000357627871
CAMRI,064,2,0.08000000238418581
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,3,0.12000000357627871
CAMRI,064,1,0.040000001192092904
CAMRI,064,5,0.20000000596046452
CAMRI,064,18,0.7200000214576723
CAMRI,064,8,0.32000000953674324
CAMRI,064,3,0.12000000357627871
CAMRI,064,16,0.6400000190734865
CAMRI,064,24,0.9600000286102297
CAMRI,064,1,0.040000001192092904
CAMRI,064,2,0.08000000238418581
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,13,0.5200000154972078
CAMRI,064,2,0.08000000238418581
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,3,0.12000000357627871
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
CAMRI,064,2,0.08000000238418581
CAMRI,064,1,0.040000001192092904
CAMRI,064,1,0.040000001192092904
