domain,subject,image_path,ground_truth_path,baseline_raw_prediction_path,baseline_filtered_prediction_path,baseline_probability_path,sweep_raw_prediction_path,sweep_filtered_prediction_path,sweep_probability_path,baseline_raw_dice,baseline_raw_hd95_mm,baseline_raw_assd_mm,baseline_raw_fp_voxels,baseline_raw_fn_voxels,baseline_raw_surface_dice_0.1mm,baseline_raw_surface_dice_0.2mm,baseline_raw_surface_dice_0.5mm,baseline_raw_surface_dice_1mm,baseline_raw_iou,baseline_raw_precision,baseline_raw_recall,baseline_raw_fp_fn_ratio,baseline_raw_total_residual_error,baseline_filtered_dice,baseline_filtered_hd95_mm,baseline_filtered_assd_mm,baseline_filtered_fp_voxels,baseline_filtered_fn_voxels,baseline_filtered_surface_dice_0.1mm,baseline_filtered_surface_dice_0.2mm,baseline_filtered_surface_dice_0.5mm,baseline_filtered_surface_dice_1mm,baseline_filtered_iou,baseline_filtered_precision,baseline_filtered_recall,baseline_filtered_fp_fn_ratio,baseline_filtered_total_residual_error,sweep_raw_dice,sweep_raw_hd95_mm,sweep_raw_assd_mm,sweep_raw_fp_voxels,sweep_raw_fn_voxels,sweep_raw_surface_dice_0.1mm,sweep_raw_surface_dice_0.2mm,sweep_raw_surface_dice_0.5mm,sweep_raw_surface_dice_1mm,sweep_raw_iou,sweep_raw_precision,sweep_raw_recall,sweep_raw_fp_fn_ratio,sweep_raw_total_residual_error,sweep_filtered_dice,sweep_filtered_hd95_mm,sweep_filtered_assd_mm,sweep_filtered_fp_voxels,sweep_filtered_fn_voxels,sweep_filtered_surface_dice_0.1mm,sweep_filtered_surface_dice_0.2mm,sweep_filtered_surface_dice_0.5mm,sweep_filtered_surface_dice_1mm,sweep_filtered_iou,sweep_filtered_precision,sweep_filtered_recall,sweep_filtered_fp_fn_ratio,sweep_filtered_total_residual_error
CAMRI,064,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-064/ses-1/anat/sub-064_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-064_ses-1_acq-RARE_T2w_077.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/064_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/native_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/filtered_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/probability_maps/camri/064_probability.nii.gz,0.9869563379361499,0.20000000298023224,0.04309119884369449,2548,4240,0.8184549661801352,0.8184549661801352,0.9966820932716269,0.997123531505874,0.9742485688380369,0.9901757037596826,0.9837578385667058,0.6009433962264151,6788,0.9873471741637831,0.20000000298023224,0.03804505576516614,2342,4240,0.8208160175942191,0.8208160175942191,0.9995572883195522,1.0,0.9750105356675057,0.9909627977511181,0.9837578385667058,0.5523584905660377,6582,0.9817845773142002,0.2828427166893039,0.12993346504223846,3938,5543,0.7815253976899764,0.7815253976899764,0.9719277663719781,0.9739249451823299,0.9642208863076301,0.9848213872743251,0.9787664384847289,0.7104456070719827,9481,0.9817864635767697,0.2828427166893039,0.12992689986704437,3937,5543,0.781536312849162,0.781536312849162,0.9719413407821229,0.9739245810055865,0.9642245250692489,0.9848251831808914,0.9787664384847289,0.7102651993505322,9480
CAMRI,007,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-007/ses-1/anat/sub-007_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-007_ses-1_acq-RARE_T2w_123.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/007_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/native_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/filtered_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/probability_maps/camri/007_probability.nii.gz,0.9879251379174042,0.10000000149011612,0.011416409673941138,1472,2041,0.9148693694977065,0.9837744665090173,0.9990882931137639,1.0,0.9761384013476063,0.989861071888582,0.9859967616224821,0.7212150906418422,3513,0.9879251379174042,0.10000000149011612,0.011416409673941138,1472,2041,0.9148693694977065,0.9837744665090173,0.9990882931137639,1.0,0.9761384013476063,0.989861071888582,0.9859967616224821,0.7212150906418422,3513,0.9854790797077142,0.10000000149011612,0.015566478363892296,932,3267,0.8961976805708484,0.9731449571720696,0.9978979279575582,1.0,0.9713738376373702,0.993501467747896,0.9775852132389264,0.2852770125497398,4199,0.9854720628564116,0.10000000149011612,0.015618268466295899,932,3269,0.8961661113415035,0.9729868866993665,0.9978835676185845,1.0,0.9713602028851136,0.9935013771223373,0.9775714913002909,0.2851024778219639,4201
CAMRI,043,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-043/ses-1/anat/sub-043_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-043_ses-1_acq-RARE_T2w_019.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/043_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/native_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/filtered_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/probability_maps/camri/043_probability.nii.gz,0.9879515347943244,0.10000000149011612,0.019084912509838178,1448,1749,0.9159831047992164,0.9836404260528894,0.9937102105778648,0.9946131243878551,0.9761899442172919,0.9890735123224823,0.9868320998622226,0.8279016580903373,3197,0.9893833432090006,0.10000000149011612,0.009655559352078538,1064,1749,0.9213977832512316,0.9894550492610837,0.9995843596059113,1.0,0.9789897450835406,0.9919478121357974,0.9868320998622226,0.6083476272155517,2813,0.9871352392799981,0.10000000149011612,0.013391731103410564,706,2686,0.9059979877718443,0.983344942341924,0.9976008048912622,0.9996285117250987,0.9745972784938103,0.9946042203251225,0.9797775987592511,0.2628443782576322,3392,0.9872251007047436,0.10000000149011612,0.012802105686868194,682,2686,0.9063346804787786,0.9837103792137006,0.9979715396169152,1.0,0.9747724804314445,0.9947866900068033,0.9797775987592511,0.2539091586001489,3368
CAMRI,078,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-078/ses-1/anat/sub-078_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-078_ses-1_acq-RARE_T2w_069.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/078_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/native_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/filtered_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/probability_maps/camri/078_probability.nii.gz,0.9902584135597653,0.20000000298023224,0.027980117945025258,2745,2023,0.8632217944921527,0.8632217944921527,0.9998519395913533,0.999955581877406,0.9807047930459556,0.9887998041495808,0.991721332607637,1.356895699456253,4768,0.9902644832412222,0.20000000298023224,0.027812486582450602,2742,2023,0.8632601388868324,0.8632601388868324,0.999896353110147,1.0,0.9807166993788066,0.9888119078512498,0.991721332607637,1.3554127533366287,4765,0.9892306061199191,0.20000000298023224,0.031819047240609535,3510,1772,0.8507613010249422,0.8507613010249422,0.9990372652408318,0.9996000947923456,0.9786907004796811,0.9857375630330637,0.9927484930206292,1.9808126410835214,5282,0.9893395322281356,0.20000000298023224,0.030858704267874605,3456,1772,0.8514422934392695,0.8514422934392695,0.9998221220835434,1.0,0.9789039581307325,0.9859539031160713,0.9927484930206292,1.9503386004514673,5228
CAMRI,009,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-009/ses-1/anat/sub-009_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-009_ses-1_acq-RARE_T2w_060.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/009_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/native_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/filtered_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/probability_maps/camri/009_probability.nii.gz,0.9885326182454371,0.10000000149011612,0.010866482155650364,2026,976,0.9207459568211716,0.9881761200959529,0.9980964172405788,0.999628569217674,0.9773252564315603,0.9845835425892953,0.992513500245459,2.0758196721311477,3002,0.9887403479144617,0.10000000149011612,0.010032371806573922,1971,976,0.9215303593556382,0.9890179677819083,0.9989467162329616,1.0,0.9777314321552981,0.9849957750660384,0.992513500245459,2.019467213114754,2947,0.9871448318230687,0.10000000149011612,0.013419737500754213,1526,1822,0.9084921633502648,0.9816238718797086,0.997095235876167,0.9996893300402317,0.9746159794986884,0.9882680361645858,0.9860241777123221,0.8375411635565313,3348,0.9873950548057794,0.10000000149011612,0.012651654386937598,1460,1822,0.9094245152462254,0.9825690783847242,0.9980252211907761,0.9999533516816719,0.9751039232939891,0.9887697490885036,0.9860241777123221,0.8013172338090011,3282
CAMRI,099,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-099/ses-1/anat/sub-099_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-099_ses-1_acq-RARE_T2w_014.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/camri/099_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/native_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/filtered_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/probability_maps/camri/099_probability.nii.gz,0.9893460194024758,0.10000000149011612,0.009939829553465519,2031,1279,0.92399229696527,0.9879009230360581,0.9986320472806959,1.0,0.9789166602970776,0.9869571080871068,0.9917465234085115,1.587959343236904,3310,0.9893460194024758,0.10000000149011612,0.009939829553465519,2031,1279,0.92399229696527,0.9879009230360581,0.9986320472806959,1.0,0.9789166602970776,0.9869571080871068,0.9917465234085115,1.587959343236904,3310,0.9883693852204513,0.10000000149011612,0.011578966379638289,1425,2171,0.9168484588926511,0.9826416306428084,0.9988757879521942,1.0,0.9770062024426114,0.9907598933983491,0.9859903849256284,0.6563795485951175,3596,0.9883693852204513,0.10000000149011612,0.011578966379638289,1425,2171,0.9168484588926511,0.9826416306428084,0.9988757879521942,1.0,0.9770062024426114,0.9907598933983491,0.9859903849256284,0.6563795485951175,3596
Mouse,POLYIC_20190510_mouse34__E2_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse34__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse34__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/mouse/POLYIC_20190510_mouse34__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/native_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/filtered_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/probability_maps/mouse/POLYIC_20190510_mouse34__E2_P1_probability.nii.gz,0.9749279593539092,0.20000000298023224,0.03470856034128311,3213,2077,0.7547904498411723,0.9494825289476381,1.0,1.0,0.951082383184916,0.96970696937698,0.9802054742299482,1.5469427058257101,5290,0.9749279593539092,0.20000000298023224,0.03470856034128311,3213,2077,0.7547904498411723,0.9494825289476381,1.0,1.0,0.951082383184916,0.96970696937698,0.9802054742299482,1.5469427058257101,5290,0.9732754388557102,0.20000000298023224,0.036492106281257895,2779,2828,0.7472853164362911,0.9425892332456118,0.9995912005927592,1.0,0.9479421021846305,0.9735027984629907,0.9730481854223849,0.9826732673267327,5607,0.9732847167608017,0.20000000298023224,0.03647333160454481,2777,2828,0.747323504612004,0.9426374019470066,0.9995911797020722,1.0,0.9479597047490832,0.973521363120608,0.9730481854223849,0.981966053748232,5605
Mouse,POLYIC_20190510_mouse35__E3_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse35__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse35__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/mouse/POLYIC_20190510_mouse35__E3_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/native_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/filtered_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/probability_maps/mouse/POLYIC_20190510_mouse35__E3_P1_probability.nii.gz,0.9775985124265117,0.14142135834465194,0.029135896904992718,2618,2225,0.7760523089497343,0.962530649775235,0.9993614630159379,0.9994380874540253,0.956178687441751,0.975824622317438,0.9793788635668542,1.176629213483146,4843,0.9777070505673854,0.14142135834465194,0.028407452406270656,2594,2225,0.776528317317522,0.9631210386424044,0.999974442854222,1.0,0.9563863774175739,0.9760409354564599,0.9793788635668542,1.1658426966292135,4819,0.9778508271600914,0.14142135834465194,0.028153481773307645,1865,2892,0.7798722860791827,0.9634227330779055,0.9998722860791827,1.0,0.956661564811778,0.98254921775582,0.9731971566001538,0.6448824343015215,4757,0.9778508271600914,0.14142135834465194,0.028153481773307645,1865,2892,0.7798722860791827,0.9634227330779055,0.9998722860791827,1.0,0.956661564811778,0.98254921775582,0.9731971566001538,0.6448824343015215,4757
Mouse,POLYIC_20190510_mouse37__E2_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse37__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse37__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/mouse/POLYIC_20190510_mouse37__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/native_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/filtered_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/probability_maps/mouse/POLYIC_20190510_mouse37__E2_P1_probability.nii.gz,0.9810286870127125,0.10000000149011612,0.02421230213200227,1836,2741,0.7988244216913158,0.9748056503602579,1.0,1.0,0.9627637937486779,0.9847225342619637,0.9773624485885598,0.6698285297336738,4577,0.9810286870127125,0.10000000149011612,0.02421230213200227,1836,2741,0.7988244216913158,0.9748056503602579,1.0,1.0,0.9627637937486779,0.9847225342619637,0.9773624485885598,0.6698285297336738,4577,0.9800720788284065,0.10000000149011612,0.025119661237137735,1317,3466,0.7932820816085157,0.9731046717918391,0.9998817267888823,1.0,0.9609228833568901,0.9889265384712401,0.9713747708164715,0.37997691863819966,4783,0.9800761622238703,0.10000000149011612,0.025108427846727236,1316,3466,0.7933008468562237,0.9731276907792024,0.9999053791928845,1.0,0.9609307341623229,0.9889348535297481,0.9713747708164715,0.37968840161569534,4782
Mouse,POLYIC_20190510_mouse38__E2_P1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse38__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse38__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/native_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/filtered_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/higher_resolution_true_level0/probability_maps/mouse/POLYIC_20190510_mouse38__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/native_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/filtered_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/level0_width_sweep/emb32/probability_maps/mouse/POLYIC_20190510_mouse38__E2_P1_probability.nii.gz,0.9800098738058325,0.10000000149011612,0.024446425538030038,2521,2095,0.7931026048673108,0.9770820594350006,1.0,1.0,0.9608032946970662,0.9782052390421025,0.9818211794106417,1.2033412887828163,4616,0.9800141178712329,0.10000000149011612,0.02443820450517168,2520,2095,0.7931220037178358,0.9771059583211036,1.0,1.0,0.9608114534153052,0.9782136959773146,0.9818211794106417,1.2028639618138426,4615,0.9786759678985574,0.10000000149011612,0.025846911009932746,2028,2869,0.7819006744328633,0.9742244022072348,0.9999264255058247,1.0,0.9582423766969097,0.9822731921365698,0.9751049946201104,0.7068665040083653,4897,0.9786759678985574,0.10000000149011612,0.025846911009932746,2028,2869,0.7819006744328633,0.9742244022072348,0.9999264255058247,1.0,0.9582423766969097,0.9822731921365698,0.9751049946201104,0.7068665040083653,4897
