domain,split,subject,image_path,mask_path,original_shape,native_spacing_mm,processed_shape,processed_spacing_mm,original_unique_values,pre_integer_resample_unique_count,pre_integer_resample_min,pre_integer_resample_max,post_integer_unique_values,original_voxels,current_processed_voxels,nearest_processed_voxels,current_processed_volume_mm3,nearest_processed_volume_mm3,processed_volume_change_percent,processed_current_vs_nn_dice,processed_current_vs_nn_hd95_mm,processed_current_vs_nn_assd_mm,processed_current_vs_nn_added_voxels,processed_current_vs_nn_lost_voxels,tile_current_vs_nn_dice,tile_current_vs_nn_hd95_mm,tile_current_vs_nn_assd_mm,tile_current_vs_nn_added_voxels,tile_current_vs_nn_lost_voxels,native_original_vs_current_dice,native_original_vs_current_hd95_mm,native_original_vs_current_assd_mm,native_original_vs_current_added_voxels,native_original_vs_current_lost_voxels,native_original_vs_nn_dice,native_original_vs_nn_hd95_mm,native_original_vs_nn_assd_mm,native_original_vs_nn_added_voxels,native_original_vs_nn_lost_voxels,lost_added_ratio,net_processed_voxel_change,mean_inward_shift_mm,mean_outward_shift_mm,current_contour_direction_changes,nearest_contour_direction_changes,current_normalized_perimeter,nearest_normalized_perimeter
CAMRI,train,030,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-030/ses-1/anat/sub-030_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-030_ses-1_acq-RARE_T2w_040.nii.gz,"(12, 256, 256)","(1.0, 0.10000000149011612, 0.10000000149011612)","(102, 60, 160)","(0.25, 0.20000000298023224, 0.1599999964237213)","0,1",251,0.0,1.0,"[0, 1]",137126,167195,171135,1337.559990034401,1369.0799897995587,-2.3022759809507116,0.9883545650696066,0.1599999964237213,0.03090217206715314,0,3940,0.9883545650696066,0.1599999964237213,0.03090217206715314,0,3940,0.9881492437370537,0.10000000149011612,0.008958316957339021,383,2838,0.9903123282085634,0.10000000149011612,0.007139768864266457,1544,1117,3940.0,-3940,0.18418781483914645,0.0,15595,15740,15.068545635908217,15.025181672744376
CAMRI,train,025,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-025/ses-1/anat/sub-025_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-025_ses-1_acq-RARE_T2w_035.nii.gz,"(12, 256, 256)","(1.0, 0.10000000149011612, 0.10000000149011612)","(102, 60, 160)","(0.25, 0.20000000298023224, 0.1599999964237213)","0,1",187,-0.7676470875740051,1.0,"[0, 1]",151932,185875,189945,1486.9999889209862,1519.5599886783953,-2.142725525810103,0.9891703475067851,0.1599999964237213,0.029697144122458028,0,4070,0.9891703475067851,0.1599999964237213,0.029697144122458028,0,4070,0.9889146567717997,0.10000000149011612,0.008579886984884547,661,2685,0.9903448547461833,0.10000000149011612,0.007397649053388583,1893,1049,4070.0,-4070,0.18679360946507653,0.0,16589,17191,15.056931472148559,15.046859855091927
CAMRI,train,003,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-003/ses-1/anat/sub-003_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-003_ses-1_acq-RARE_T2w_008.nii.gz,"(12, 256, 256)","(1.0, 0.10000000149011612, 0.10000000149011612)","(102, 60, 160)","(0.25, 0.20000000298023224, 0.1599999964237213)","0,1",246,0.0,1.0,"[0, 1]",133559,162885,166540,1303.079990291297,1332.319990073442,-2.1946679476402067,0.9889049100705776,0.1599999964237213,0.028951874142143372,0,3655,0.9889049100705776,0.1599999964237213,0.028951874142143372,0,3655,0.9878855623697169,0.10000000149011612,0.008938988977977734,449,2759,0.9898813886354458,0.10000000149011612,0.007467732101701381,1508,1198,3655.0,-3655,0.18090287019306267,0.0,14991,14869,15.07704314047067,15.002974878584844
CAMRI,train,066,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-066/ses-1/anat/sub-066_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-066_ses-1_acq-RARE_T2w_010.nii.gz,"(64, 144, 144)","(0.20000000298023224, 0.20000000298023224, 0.20000000298023224)","(115, 64, 180)","(0.25, 0.20000000298023224, 0.1599999964237213)","0,1",797,0.0,1.0,"[0, 1]",266844,255853,266148,2046.8239847499722,2129.183984136342,-3.8681485489276644,0.9802778155597404,0.20000000298023224,0.05206246754920407,0,10295,0.9802778155597404,0.20000000298023224,0.05206246754920407,0,10295,0.979482099900948,0.20000000298023224,0.0606358430710073,0,10730,0.9971235772785135,0.0,0.008293882780929152,225,1307,10295.0,-10295,0.18368115885919803,0.0,38913,40148,17.143549875078236,17.158002398473133
CAMRI,train,020,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-020/ses-1/anat/sub-020_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-020_ses-1_acq-RARE_T2w_054.nii.gz,"(12, 256, 256)","(1.0, 0.10000000149011612, 0.10000000149011612)","(102, 60, 160)","(0.25, 0.20000000298023224, 0.1599999964237213)","0,1",225,0.0,1.0,"[0, 1]",151291,184950,189130,1479.5999889761204,1513.039988726973,-2.2101200232644214,0.9888259195893926,0.1599999964237213,0.03048953460484316,0,4180,0.9888259195893926,0.1599999964237213,0.03048953460484316,0,4180,0.9889326168168289,0.10000000149011612,0.008523977410998852,542,2782,0.9905036369751445,0.10000000149011612,0.007300972665140577,1786,1094,4180.0,-4180,0.1841148301317361,0.0,16508,16345,15.108325283702195,15.066382485453135
CAMRI,train,006,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-006/ses-1/anat/sub-006_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-006_ses-1_acq-RARE_T2w_106.nii.gz,"(12, 256, 256)","(1.0, 0.10000000149011612, 0.10000000149011612)","(102, 60, 160)","(0.25, 0.20000000298023224, 0.1599999964237213)","0,1",238,0.0,1.0,"[0, 1]",134778,164370,168115,1314.9599902027842,1344.9199899795647,-2.227641792820391,0.9887363339699535,0.1599999964237213,0.029212763633697722,0,3745,0.9887363339699535,0.1599999964237213,0.029212763633697722,0,3745,0.9881790499846627,0.10000000149011612,0.008907727652224785,463,2697,0.9900065931298105,0.10000000149011612,0.00750264152121957,1560,1138,3745.0,-3745,0.18170894268198867,0.0,15817,15668,15.081409618075352,15.022713072901874
CAMRI,train,042,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-042/ses-1/anat/sub-042_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-042_ses-1_acq-RARE_T2w_113.nii.gz,"(12, 256, 256)","(1.0, 0.10000000149011612, 0.10000000149011612)","(102, 60, 160)","(0.25, 0.20000000298023224, 0.1599999964237213)","0,1",265,-0.5833333134651184,1.0,"[0, 1]",132670,161665,165975,1293.3199903640148,1327.7999901071187,-2.5967766229853892,0.9868453180319863,0.20000000298023224,0.034309327406542835,0,4310,0.9868453180319863,0.20000000298023224,0.034309327406542835,0,4310,0.9875495318715252,0.10000000149011612,0.009221560071663713,448,2826,0.9896794852521122,0.10000000149011612,0.007524372580131759,1739,1007,4310.0,-4310,0.18645011369839068,0.0,14973,15290,15.166279094946946,15.168785165752766
CAMRI,train,070,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-070/ses-1/anat/sub-070_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-070_ses-1_acq-RARE_T2w_082.nii.gz,"(64, 144, 144)","(0.20000000298023224, 0.20000000298023224, 0.20000000298023224)","(115, 64, 180)","(0.25, 0.20000000298023224, 0.1599999964237213)","0,1",819,0.0,1.0,"[0, 1]",244766,234170,243964,1873.3599860423797,1951.7119854586117,-4.014526733452477,0.9795162025708274,0.20000000298023224,0.05079654020308147,0,9794,0.9795162025708274,0.20000000298023224,0.05079654020308147,0,9794,0.9781703870383281,0.20000000298023224,0.06091222158659098,0,10458,0.9965694261362241,0.0,0.009387188803965907,346,1330,9794.0,-9794,0.18261489445127854,0.0,38194,38920,17.68128017515227,17.659718380132308
CAMRI,train,102,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-102/ses-1/anat/sub-102_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-102_ses-1_acq-RARE_T2w_073.nii.gz,"(12, 256, 256)","(1.0, 0.10000000149011612, 0.10000000149011612)","(102, 60, 160)","(0.25, 0.20000000298023224, 0.1599999964237213)","0,1",198,0.0,1.0,"[0, 1]",137993,168465,172470,1347.719989958703,1379.7599897199864,-2.3221429813880676,0.9882528927801487,0.1599999964237213,0.030615157589752424,0,4005,0.9882528927801487,0.1599999964237213,0.030615157589752424,0,4005,0.9882432861823003,0.10000000149011612,0.008520629487555694,517,2702,0.9901748145577582,0.10000000149011612,0.007055810371432286,1684,1034,4005.0,-4005,0.18134831204619747,0.0,16111,16069,15.336949717608018,15.248989101958342
CAMRI,train,100,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-100/ses-1/anat/sub-100_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-100_ses-1_acq-RARE_T2w_031.nii.gz,"(12, 256, 256)","(1.0, 0.10000000149011612, 0.10000000149011612)","(102, 60, 160)","(0.25, 0.20000000298023224, 0.1599999964237213)","0,1",218,0.0,1.0,"[0, 1]",163147,199545,203845,1596.3599881061907,1630.7599878498906,-2.1094459025239765,0.9893403406133022,0.1599999964237213,0.029643258798668914,0,4300,0.9893403406133022,0.1599999964237213,0.029643258798668914,0,4300,0.9896262550502946,0.10000000149011612,0.007782771941390121,529,2832,0.9912864758397739,0.10000000149011612,0.006528909834401802,1759,1090,4300.0,-4300,0.18354650920560195,0.0,17770,17871,15.276609251197952,15.210565672082758
