failure_category,severity,domain,subject,dice,severity_voxels,figure_path,explanation
Boundary Error,mild,CAMRI,009,0.9856807901638964,3706,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/failure_analysis/Failure_Atlas/Boundary/example_01.png,"3,706 error voxels lie within the 0.5 mm contour band; global localization remains correct."
Boundary Error,representative,Mouse,POLYIC_20190524_polyic___E3_P1_1,0.9668679799063047,7610,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/failure_analysis/Failure_Atlas/Boundary/example_02.png,"7,610 error voxels lie within the 0.5 mm contour band; global localization remains correct."
Boundary Error,severe,Mouse,POLYIC_20190517_mouse37__E3_P1,0.9655625618138559,20704,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/failure_analysis/Failure_Atlas/Boundary/example_03.png,"20,704 error voxels lie within the 0.5 mm contour band; global localization remains correct."
Detached False Positive Island,mild,Mouse,POLYIC_20190524_polyic___E4_P1_1,0.9657053180952726,3,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/failure_analysis/Failure_Atlas/Detached_FP/example_01.png,"Detached component: 0.01 mm3, 7.57 mm centroid distance, 1 slices, no expert overlap."
Detached False Positive Island,representative,Mouse,POLYIC_20190517_mouse37__E3_P1,0.9655625618138559,60,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/failure_analysis/Failure_Atlas/Detached_FP/example_02.png,"Detached component: 0.09 mm3, 7.11 mm centroid distance, 1 slices, no expert overlap."
Detached False Positive Island,severe,Mouse,POLYIC_20190531_polyic_m__E3_P1_3,0.9348080337234642,6392,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/failure_analysis/Failure_Atlas/Detached_FP/example_03.png,"Detached component: 25.40 mm3, 10.11 mm centroid distance, 11 slices, no expert overlap."
Terminal Slice Failure,mild,Mouse,POLYIC_20190524_polyic___E4_P1_9,0.9556809389577894,66,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/failure_analysis/Failure_Atlas/Terminal/example_01.png,Prediction/expert endpoints differ by 0 inferior and 1 superior slices (indices 36–37).
Terminal Slice Failure,representative,Mouse,POLYIC_20190629_polyic_mo__E3_P1_1,0.9653497314885409,142,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/failure_analysis/Failure_Atlas/Terminal/example_02.png,Prediction/expert endpoints differ by 0 inferior and 1 superior slices (indices 35–36).
Terminal Slice Failure,severe,Mouse,POLYIC_20190614_polyic___E3_P1_5,0.9637953711609017,371,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/failure_analysis/Failure_Atlas/Terminal/example_03.png,Prediction/expert endpoints differ by 0 inferior and 1 superior slices (indices 36–37).
Leakage,mild,Mouse,POLYIC_20190524_polyic___E3_P1_12,0.9637570539098814,1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/failure_analysis/Failure_Atlas/Leakage/example_01.png,1 false-positive voxels extend more than 0.5 mm from expert anatomy while remaining connected to the main component.
Leakage,representative,Mouse,POLYIC_20190612_polyic___E3_P1_2,0.9668141095156885,6,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/failure_analysis/Failure_Atlas/Leakage/example_02.png,6 false-positive voxels extend more than 0.5 mm from expert anatomy while remaining connected to the main component.
Leakage,severe,Mouse,POLYIC_20190510_mouse43__E9_P1,0.95575206095375,606,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/failure_analysis/Failure_Atlas/Leakage/example_03.png,606 false-positive voxels extend more than 0.5 mm from expert anatomy while remaining connected to the main component.
