domain,subject,component_rank,component_label,is_largest_component,voxel_volume,physical_volume_mm3,centroid_i,centroid_j,centroid_k,centroid_world_x,centroid_world_y,centroid_world_z,centroid_distance_to_largest_mm,minimum_distance_to_largest_mm,bbox_i0,bbox_j0,bbox_k0,bbox_i1_exclusive,bbox_j1_exclusive,bbox_k1_exclusive,occupied_slices,average_image_intensity,brain_intensity_zscore,locally_brain_like,expert_overlap_voxels,expert_overlap_fraction
CAMRI,064,1,1,1,250810,2006.480089696647,77.04697579841314,84.89645947131295,27.537235357441887,1.74038904164426,-2.3593504358479755,6.421202748788016,0.0,0.0,41,3,2,114,144,55,53,2987.103759765625,0.048077916922217356,1,250358,0.9981978390016347
CAMRI,064,2,3,0,201,1.6080000718832026,72.07462686567165,138.91044776119404,60.49751243781095,0.7459192402772068,-13.16214825479842,-0.1708527655150771,12.694274567954064,1.600000023841858,64,134,60,82,143,62,2,3435.457763671875,0.41205899977930727,1,0,0.0
CAMRI,064,3,2,0,8,0.06400000286102299,53.0,116.625,42.375,-3.0690061897039413,-8.705058636143804,3.453649776056409,8.497332858055211,0.6324555414579976,52,116,42,55,119,44,2,3974.875,0.8499666978926569,1,0,0.0
CAMRI,064,4,4,0,1,0.008000000357627874,102.0,116.0,41.0,6.730993956327438,-8.580058634281158,3.728649780154228,8.41743365839092,0.9165151526483079,102,116,41,103,117,42,1,4346.0,1.1512520175250047,0,0,0.0
CAMRI,007,1,1,1,142331,1423.3100424179438,128.42117318082498,147.9765546507788,5.0754508856117075,12.842117509444957,5.0754508856117075,-14.79765568558013,0.0,0.0,51,95,0,210,206,12,12,9337.3427734375,0.034605001611933105,1,141503,0.9941825744215947
CAMRI,043,1,1,1,129849,1298.490038698018,137.91572518848815,110.51171745643016,5.045830156566473,0.9915725336243977,2.0845901033895933,1.3870700482998561,0.0,0.0,62,60,0,217,166,12,12,5303.189453125,0.032543479675936335,1,129213,0.9951020030959037
CAMRI,043,2,2,0,30,0.3000000089406968,150.5,47.0,7.0,2.2500000335276127,4.03875994682312,7.7382418885827065,6.76312082505551,1.600000023841858,148,45,7,154,50,8,1,4923.033203125,-0.12607580561843867,1,0,0.0
CAMRI,078,1,1,1,235742,1885.9360843079103,77.24706670852034,86.93425863868127,28.622494082513935,1.049413953387992,-0.5603825654338159,6.163731421987038,0.0,0.0,42,7,4,114,144,62,58,3970.770751953125,0.04901760677044489,1,235056,0.997090039110553
CAMRI,078,2,2,0,19,0.1520000067949296,102.36842105263158,116.73684210526316,44.26315789473684,6.073684897077712,-6.520899347568815,3.035598612929645,8.399778193310764,0.44721360216395983,101,115,43,104,120,46,3,4200.78955078125,0.21493918895477487,1,0,0.0
CAMRI,078,3,3,0,18,0.14400000643730174,108.77777777777777,101.88888888888889,10.333333333333334,7.355556261208321,-3.5513086600436097,9.821563626329104,7.87989886642089,0.7483314885057962,108,100,9,111,105,13,4,3809.4443359375,-0.06735346520198643,1,0,0.0
CAMRI,078,4,5,0,10,0.08000000357627873,115.7,100.5,28.7,8.740000726282599,-3.2735308781266212,6.148230238258839,8.155154134949644,0.6000000089406967,115,99,28,117,103,30,2,6565.10009765625,1.9204091275476034,0,0,0.0
