domain,subject,native_coordinate_axis,candidate_factor_pixels,expected_level1_footprint_pixels,expert_best_residue,expert_max_alignment_fraction,prediction_best_residue,prediction_max_alignment_fraction,prediction_minus_expert_alignment,expert_transition_count,prediction_transition_count
CAMRI,064,x,2,1.59999994,0,0.5034651126,1,0.5045640541,0.001098941523,12698,12708
CAMRI,064,x,3,1.59999994,2,0.3354071507,1,0.3434057287,0.007998577942,12698,12708
CAMRI,064,x,4,1.59999994,0,0.2579146322,0,0.2588920365,0.0009774042869,12698,12708
CAMRI,064,x,5,1.59999994,4,0.2138919515,3,0.214431854,0.0005399024618,12698,12708
CAMRI,064,x,6,1.59999994,5,0.1803433612,4,0.1776833491,-0.002660012088,12698,12708
CAMRI,064,x,7,1.59999994,1,0.1671129312,1,0.1718602455,0.004747314344,12698,12708
CAMRI,064,x,8,1.59999994,1,0.1478973067,1,0.1447119924,-0.003185314217,12698,12708
CAMRI,064,y,2,2.499999963,1,0.5084377397,1,0.5164575829,0.0080198432,7822,8051
CAMRI,064,y,3,2.499999963,2,0.3394272565,2,0.3650478201,0.02562056369,7822,8051
CAMRI,064,y,4,2.499999963,3,0.2550498594,3,0.2676686126,0.01261875322,7822,8051
CAMRI,064,y,5,2.499999963,2,0.2064689338,3,0.2182337598,0.011764826,7822,8051
CAMRI,064,y,6,2.499999963,5,0.1784709793,5,0.2035771954,0.02510621609,7822,8051
CAMRI,064,y,7,2.499999963,1,0.1472769113,3,0.1586138368,0.01133692551,7822,8051
CAMRI,064,y,8,2.499999963,7,0.1324469445,7,0.1505403056,0.01809336104,7822,8051
CAMRI,007,x,2,3.199999881,0,0.5756929638,0,0.5128472222,-0.06284574153,2814,2880
CAMRI,007,x,3,3.199999881,0,0.3450604122,1,0.3628472222,0.01778681,2814,2880
CAMRI,007,x,4,3.199999881,2,0.3034825871,0,0.2572916667,-0.0461909204,2814,2880
CAMRI,007,x,5,3.199999881,2,0.2085998579,3,0.2034722222,-0.005127635631,2814,2880
CAMRI,007,x,6,3.199999881,0,0.1990049751,4,0.1871527778,-0.01185219735,2814,2880
CAMRI,007,x,7,3.199999881,3,0.1606254442,2,0.1527777778,-0.00784766643,2814,2880
CAMRI,007,x,8,3.199999881,6,0.1563610519,6,0.1388888889,-0.01747216299,2814,2880
CAMRI,007,y,2,4.999999925,0,0.5569265283,0,0.5048295455,-0.05209698287,3566,3520
CAMRI,007,y,3,4.999999925,1,0.3390353337,1,0.3565340909,0.0174987572,3566,3520
CAMRI,007,y,4,4.999999925,0,0.3051037577,0,0.2650568182,-0.04004693953,3566,3520
CAMRI,007,y,5,4.999999925,0,0.231912507,3,0.4795454545,0.2476329475,3566,3520
CAMRI,007,y,6,4.999999925,2,0.1890072911,4,0.1934659091,0.004458618008,3566,3520
CAMRI,007,y,7,4.999999925,6,0.1632080763,0,0.2247159091,0.06150783281,3566,3520
CAMRI,007,y,8,4.999999925,0,0.1688166012,4,0.2178977273,0.04908112604,3566,3520
CAMRI,043,x,2,3.199999881,0,0.5821508588,1,0.5076979472,-0.07445291164,2678,2728
CAMRI,043,x,3,3.199999881,0,0.3517550411,0,0.3508064516,-0.0009485894625,2678,2728
CAMRI,043,x,4,3.199999881,2,0.2983569828,1,0.2573313783,-0.04102560452,2678,2728
CAMRI,043,x,5,3.199999881,1,0.211351755,2,0.2298387097,0.01848695464,2678,2728
CAMRI,043,x,6,3.199999881,0,0.211351755,0,0.1770527859,-0.03429896912,2678,2728
CAMRI,043,x,7,3.199999881,3,0.1557132188,2,0.1576246334,0.001911414611,2678,2728
CAMRI,043,x,8,3.199999881,2,0.1601941748,5,0.133431085,-0.02676308971,2678,2728
CAMRI,043,y,2,4.999999925,0,0.5787146226,1,0.5387115839,-0.04000303872,3392,3384
CAMRI,043,y,3,4.999999925,1,0.3372641509,2,0.3977541371,0.06048998617,3392,3384
CAMRI,043,y,4,4.999999925,0,0.3039504717,1,0.3011229314,-0.002827540256,3392,3384
CAMRI,043,y,5,4.999999925,4,0.2122641509,3,0.536643026,0.3243788751,3392,3384
CAMRI,043,y,6,4.999999925,2,0.2016509434,5,0.1991725768,-0.002478366564,3392,3384
CAMRI,043,y,7,4.999999925,6,0.1556603774,0,0.1935579196,0.03789754226,3392,3384
CAMRI,043,y,8,4.999999925,6,0.1568396226,1,0.2455673759,0.08872775325,3392,3384
CAMRI,078,x,2,1.59999994,0,0.5036836935,1,0.5051554828,0.001471789298,12216,12220
CAMRI,078,x,3,1.59999994,1,0.343729535,1,0.3577741408,0.01404460572,12216,12220
CAMRI,078,x,4,1.59999994,0,0.268745907,3,0.2723404255,0.003594518525,12216,12220
CAMRI,078,x,5,1.59999994,2,0.2435330714,2,0.217594108,-0.02593896336,12216,12220
CAMRI,078,x,6,1.59999994,2,0.1792730845,1,0.185188216,0.00591513156,12216,12220
CAMRI,078,x,7,1.59999994,0,0.1660117878,0,0.1633387889,-0.002672998949,12216,12220
CAMRI,078,x,8,1.59999994,3,0.136951539,3,0.1485270049,0.01157546594,12216,12220
CAMRI,078,y,2,2.499999963,0,0.5025013165,1,0.5074334898,0.004932173345,7596,7668
CAMRI,078,y,3,2.499999963,1,0.3362295945,2,0.3364632238,0.0002336292637,7596,7668
CAMRI,078,y,4,2.499999963,2,0.2539494471,1,0.2566510172,0.002701570137,7596,7668
