domain,stage,tensor_shape,channels,spatial_shape,downsampling_vs_model_input,effective_spacing_mm_model_axes,used_by_decoder,operation,coordinate_system
CAMRI,encoder level0,"[1, 48, 128, 128, 160]",48,"[128, 128, 160]","[1.0, 1.0, 1.0]","[0.25, 0.20000000298023224, 0.1599999964237213]",False,frozen RS2-Net encoder output,model tile
CAMRI,encoder level1,"[1, 48, 64, 64, 80]",48,"[64, 64, 80]","[2.0, 2.0, 2.0]","[0.5, 0.4000000059604645, 0.3199999928474426]",True,frozen RS2-Net encoder output,model tile
CAMRI,encoder level2,"[1, 96, 32, 32, 40]",96,"[32, 32, 40]","[4.0, 4.0, 4.0]","[1.0, 0.800000011920929, 0.6399999856948853]",True,frozen RS2-Net encoder output,model tile
CAMRI,encoder level3,"[1, 192, 16, 16, 20]",192,"[16, 16, 20]","[8.0, 8.0, 8.0]","[2.0, 1.600000023841858, 1.2799999713897705]",True,frozen RS2-Net encoder output,model tile
CAMRI,encoder level4,"[1, 384, 8, 8, 10]",384,"[8, 8, 10]","[16.0, 16.0, 16.0]","[4.0, 3.200000047683716, 2.559999942779541]",True,frozen RS2-Net encoder output,model tile
Mouse,encoder level0,"[1, 48, 128, 128, 160]",48,"[128, 128, 160]","[1.0, 1.0, 1.0]","[0.25, 0.20000000298023224, 0.1599999964237213]",False,frozen RS2-Net encoder output,model tile
Mouse,encoder level1,"[1, 48, 64, 64, 80]",48,"[64, 64, 80]","[2.0, 2.0, 2.0]","[0.5, 0.4000000059604645, 0.3199999928474426]",True,frozen RS2-Net encoder output,model tile
Mouse,encoder level2,"[1, 96, 32, 32, 40]",96,"[32, 32, 40]","[4.0, 4.0, 4.0]","[1.0, 0.800000011920929, 0.6399999856948853]",True,frozen RS2-Net encoder output,model tile
Mouse,encoder level3,"[1, 192, 16, 16, 20]",192,"[16, 16, 20]","[8.0, 8.0, 8.0]","[2.0, 1.600000023841858, 1.2799999713897705]",True,frozen RS2-Net encoder output,model tile
Mouse,encoder level4,"[1, 384, 8, 8, 10]",384,"[8, 8, 10]","[16.0, 16.0, 16.0]","[4.0, 3.200000047683716, 2.559999942779541]",True,frozen RS2-Net encoder output,model tile
