domain,subject,object,transformation,source_shape,target_shape,source_spacing_mm,target_spacing_mm,interpolation
CAMRI,064,MRI and expert,"native read then transpose_forward [1,0,2]","(144, 144, 64)","(144, 64, 144)","(0.20000000298023224, 0.20000000298023224, 0.20000000298023224)","(0.20000000298023224, 0.20000000298023224, 0.20000000298023224)",none; axis permutation
CAMRI,064,MRI and expert,crop to nonzero image field,"(144, 64, 144)","(144, 64, 144)","(0.20000000298023224, 0.20000000298023224, 0.20000000298023224)","(0.20000000298023224, 0.20000000298023224, 0.20000000298023224)",none
CAMRI,064,MRI,preprocessing resample to model spacing,"(144, 64, 144)","(115, 64, 180)","(0.20000000298023224, 0.20000000298023224, 0.20000000298023224)","(0.25, 0.20000000298023224, 0.1599999964237213)","skimage resize order=1, mode=edge, anti_aliasing=False"
CAMRI,064,expert mask (training/preprocess only),preprocessing resample then integer cast,"(144, 64, 144)","(115, 64, 180)","(0.20000000298023224, 0.20000000298023224, 0.20000000298023224)","(0.25, 0.20000000298023224, 0.1599999964237213)",same configured order=1 is_seg=False resampler; cast to int8
CAMRI,064,tile logits,native decoder grid to encoder-input tile grid,"(64, 64, 80)","(128, 128, 160)","(0.5, 0.4000000059604645, 0.3199999928474426)","(0.25, 0.20000000298023224, 0.1599999964237213)","torch trilinear, align_corners=False; logits before sigmoid/threshold"
CAMRI,064,full model logits,model crop to native cropped grid,"(115, 64, 180)","(144, 64, 144)","(0.25, 0.20000000298023224, 0.1599999964237213)","(0.20000000298023224, 0.20000000298023224, 0.20000000298023224)",configured order=1 resampling of logits
CAMRI,064,binary mask,"threshold, uncrop, transpose_backward, native write","(144, 64, 144)","(144, 144, 64)","(0.20000000298023224, 0.20000000298023224, 0.20000000298023224)","(0.20000000298023224, 0.20000000298023224, 0.20000000298023224)",none after logit resample; threshold logit>0 before uncrop
CAMRI,064,probability map,native-crop resampled logits then sigmoid,"(115, 64, 180)","(144, 144, 64)","(0.25, 0.20000000298023224, 0.1599999964237213)","(0.20000000298023224, 0.20000000298023224, 0.20000000298023224)","order=1 on logits, then sigmoid; no probability interpolation"
Mouse,POLYIC_20190510_mouse43__E9_P1,MRI and expert,"native read then transpose_forward [1,0,2]","(180, 180, 35)","(180, 35, 180)","(0.10000000149011612, 0.10000000149011612, 0.3999999463558197)","(0.3999999463558197, 0.10000000149011612, 0.10000000149011612)",none; axis permutation
Mouse,POLYIC_20190510_mouse43__E9_P1,MRI and expert,crop to nonzero image field,"(180, 35, 180)","(180, 35, 180)","(0.3999999463558197, 0.10000000149011612, 0.10000000149011612)","(0.3999999463558197, 0.10000000149011612, 0.10000000149011612)",none
Mouse,POLYIC_20190510_mouse43__E9_P1,MRI,preprocessing resample to model spacing,"(180, 35, 180)","(72, 70, 113)","(0.10000000149011612, 0.3999999463558197, 0.10000000149011612)","(0.25, 0.20000000298023224, 0.1599999964237213)","skimage resize order=1, mode=edge, anti_aliasing=False"
Mouse,POLYIC_20190510_mouse43__E9_P1,expert mask (training/preprocess only),preprocessing resample then integer cast,"(180, 35, 180)","(72, 70, 113)","(0.10000000149011612, 0.3999999463558197, 0.10000000149011612)","(0.25, 0.20000000298023224, 0.1599999964237213)",same configured order=1 is_seg=False resampler; cast to int8
Mouse,POLYIC_20190510_mouse43__E9_P1,tile logits,native decoder grid to encoder-input tile grid,"(64, 64, 80)","(128, 128, 160)","(0.5, 0.4000000059604645, 0.3199999928474426)","(0.25, 0.20000000298023224, 0.1599999964237213)","torch trilinear, align_corners=False; logits before sigmoid/threshold"
Mouse,POLYIC_20190510_mouse43__E9_P1,full model logits,model crop to native cropped grid,"(72, 70, 113)","(180, 35, 180)","(0.25, 0.20000000298023224, 0.1599999964237213)","(0.10000000149011612, 0.3999999463558197, 0.10000000149011612)",configured order=1 resampling of logits
Mouse,POLYIC_20190510_mouse43__E9_P1,binary mask,"threshold, uncrop, transpose_backward, native write","(180, 35, 180)","(180, 180, 35)","(0.10000000149011612, 0.3999999463558197, 0.10000000149011612)","(0.10000000149011612, 0.10000000149011612, 0.3999999463558197)",none after logit resample; threshold logit>0 before uncrop
Mouse,POLYIC_20190510_mouse43__E9_P1,probability map,native-crop resampled logits then sigmoid,"(72, 70, 113)","(180, 180, 35)","(0.25, 0.20000000298023224, 0.1599999964237213)","(0.10000000149011612, 0.10000000149011612, 0.3999999463558197)","order=1 on logits, then sigmoid; no probability interpolation"
