subject_id,study_id,StudyInstanceUID,SeriesInstanceUID,SOPClassUID,SOP_class_name,Modality,SeriesDescription,StudyDescription,ProtocolName,ImageType,Manufacturer,FrameOfReferenceUID,instance_count,referenced_SeriesInstanceUIDs,possible_annotation_type,confidence,inspection_notes,example_path
TVD_GBM_IC1_070610_16_100110,339068828,1.3.46.670589.11.17169.5.0.6060.2010100109470843631.2,1.3.46.670589.11.17169.5.0.5780.2010100110490460987.2,1.2.840.10008.5.1.4.1.1.4,MR Image Storage,MR,TSE_100_Cor_P4 SENSE,GBM_intracranial,TSE_100_Cor_P4 SENSE,"['ORIGINAL', 'PRIMARY', 'M_SE', 'M', 'SE']",Philips Medical Systems,1.3.46.670589.11.17169.5.0.5644.2010100110434131034,30,,keyword-matched DICOM image/derived series,low,header terms: intracranial,mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/987.2/02939f9b-9623-438c-a29b-3ae9aa530522.dcm
TVD_GBM_IC1_070610_16_100110,339068828,1.3.46.670589.11.17169.5.0.6060.2010100109470843631.2,1.3.46.670589.11.17169.5.0.5780.2010100111190240011.2,1.2.840.10008.5.1.4.1.1.4,MR Image Storage,MR,T1_FFE_Cor_PreC SENSE,GBM_intracranial,T1_FFE_Cor_PreC SENSE,"['ORIGINAL', 'PRIMARY', 'M_FFE', 'M', 'FFE']",Philips Medical Systems,1.3.46.670589.11.17169.5.0.5644.2010100110434131034,48,,keyword-matched DICOM image/derived series,low,header terms: intracranial,mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/0159074d-43fb-4f61-9339-2e656b3525bb.dcm
TVD_GBM_IC1_070610_16_100110,339068828,1.3.46.670589.11.17169.5.0.6060.2010100109470843631.2,1.3.46.670589.11.17169.5.0.5780.2010100111263914038.2,1.2.840.10008.5.1.4.1.1.4,MR Image Storage,MR,T1_FFE_PreFA5 SENSE,GBM_intracranial,T1_FFE_PreFA5 SENSE,"['ORIGINAL', 'PRIMARY', 'M_FFE', 'M', 'FFE']",Philips Medical Systems,1.3.46.670589.11.17169.5.0.5644.2010100110434131034,12,,keyword-matched DICOM image/derived series,low,header terms: intracranial,mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/038.2/1e116505-9c23-4107-9023-c76953443c82.dcm
TVD_GBM_IC1_070610_16_100110,339068828,1.3.46.670589.11.17169.5.0.6060.2010100109470843631.2,1.3.46.670589.11.17169.5.0.5780.2010100111281740115.2,1.2.840.10008.5.1.4.1.1.4,MR Image Storage,MR,3D_12Sl_Dyn22s_AP_TR9/TE3 SENSE,GBM_intracranial,3D_12Sl_Dyn22s_AP_TR9/TE3 SENSE,"['ORIGINAL', 'PRIMARY', 'M_FFE', 'M', 'FFE']",Philips Medical Systems,1.3.46.670589.11.17169.5.0.5644.2010100110434131034,600,,keyword-matched DICOM image/derived series,low,header terms: intracranial,mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/00500905-6481-42d7-a00a-1e40e0423eba.dcm
TVD_GBM_IC1_070610_16_100110,339068828,1.3.46.670589.11.17169.5.0.6060.2010100109470843631.2,1.3.46.670589.11.17169.5.0.5780.2010100111465823324.2,1.2.840.10008.5.1.4.1.1.4,MR Image Storage,MR,T1_FFE_Cor_PostC SENSE,GBM_intracranial,T1_FFE_Cor_PostC SENSE,"['ORIGINAL', 'PRIMARY', 'M_FFE', 'M', 'FFE']",Philips Medical Systems,1.3.46.670589.11.17169.5.0.5644.2010100110434131034,48,,keyword-matched DICOM image/derived series,low,header terms: intracranial,mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/324.2/004fe980-2e03-4e12-93b9-d8f6542a955a.dcm
TVD_GBM_IC1_070610_16_100110,339068828,1.3.46.670589.11.17169.5.0.6060.2010100109470843631.2,1.3.46.670589.11.17169.5.0.9348.2012020709052553000.2,1.2.840.10008.5.1.4.1.1.4,MR Image Storage,MR,sT1_FFE_Subtr,GBM_intracranial,sT1_FFE_Subtr,"['ORIGINAL', 'PRIMARY', 'M_FFE', 'M', 'FFE']",Philips Medical Systems,1.3.46.670589.11.17169.5.0.5644.2010100110434131034,48,,keyword-matched DICOM image/derived series,low,header terms: intracranial,mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/15bc4eaf-4208-48e6-b7d6-aca845facdcb.dcm
TVD_GBM_IC1_070610_19,338722691,1.3.46.670589.11.17169.5.0.6060.2010092709381189369.3,1.3.46.670589.11.17169.5.0.5780.2010092711281771299.3,1.2.840.10008.5.1.4.1.1.4,MR Image Storage,MR,TSE_100_Cor_P4 SENSE,GBM_intracranial,TSE_100_Cor_P4 SENSE,"['ORIGINAL', 'PRIMARY', 'M_SE', 'M', 'SE']",Philips Medical Systems,1.3.46.670589.11.17169.5.0.5644.2010092711224551023,30,,keyword-matched DICOM image/derived series,low,header terms: intracranial,mouse_astrocytoma/TVD_GBM_IC1_070610_19/369.3/299.3/05f1c2f5-b726-42c1-9d7d-425003e848b4.dcm
TVD_GBM_IC1_070610_19,338722691,1.3.46.670589.11.17169.5.0.6060.2010092709381189369.3,1.3.46.670589.11.17169.5.0.5780.2010092712020389349.3,1.2.840.10008.5.1.4.1.1.4,MR Image Storage,MR,T1_FFE_Cor_PreC SENSE,GBM_intracranial,T1_FFE_Cor_PreC SENSE,"['ORIGINAL', 'PRIMARY', 'M_FFE', 'M', 'FFE']",Philips Medical Systems,1.3.46.670589.11.17169.5.0.5644.2010092711224551023,48,,keyword-matched DICOM image/derived series,low,header terms: intracranial,mouse_astrocytoma/TVD_GBM_IC1_070610_19/369.3/349.3/06d91f16-e272-4f74-b8a5-02d89cfd5d94.dcm
TVD_GBM_IC1_070610_19,338722691,1.3.46.670589.11.17169.5.0.6060.2010092709381189369.3,1.3.46.670589.11.17169.5.0.5780.2010092712094570350.3,1.2.840.10008.5.1.4.1.1.4,MR Image Storage,MR,T1_FFE_PreFA5,GBM_intracranial,T1_FFE_PreFA5 SENSE,"['ORIGINAL', 'PRIMARY', 'M_FFE', 'M', 'FFE']",Philips Medical Systems,1.3.46.670589.11.17169.5.0.5644.2010092711224551023,12,,keyword-matched DICOM image/derived series,low,header terms: intracranial,mouse_astrocytoma/TVD_GBM_IC1_070610_19/369.3/350.3/1275940e-55d4-4641-8e7d-b6c66ca3a593.dcm
TVD_GBM_IC1_070610_19,338722691,1.3.46.670589.11.17169.5.0.6060.2010092709381189369.3,1.3.46.670589.11.17169.5.0.5780.2010092712125435427.3,1.2.840.10008.5.1.4.1.1.4,MR Image Storage,MR,3D_12Sl_Dyn22s_AP_TR9/TE3,GBM_intracranial,3D_12Sl_Dyn22s_AP_TR9/TE3 SENSE,"['ORIGINAL', 'PRIMARY', 'M_FFE', 'M', 'FFE']",Philips Medical Systems,1.3.46.670589.11.17169.5.0.5644.2010092711224551023,24,,keyword-matched DICOM image/derived series,low,header terms: intracranial,mouse_astrocytoma/TVD_GBM_IC1_070610_19/369.3/427.3/067784a9-57ee-4cd1-9d4d-9eeddf70f13a.dcm
