relative_path,extension,size_bytes,detected_format,annotation_candidate,name_keyword_matches,hidden_file
.DS_Store,[extensionless],8196,macOS Finder metadata,0,,1
metadata/metadata.csv,.csv,130401,CSV metadata table,1,,0
mouse_astrocytoma/.DS_Store,[extensionless],12292,macOS Finder metadata,0,,1
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/.DS_Store,[extensionless],6148,macOS Finder metadata,0,,1
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/.DS_Store,[extensionless],6148,macOS Finder metadata,0,,1
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/15bc4eaf-4208-48e6-b7d6-aca845facdcb.dcm,.dcm,134102,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/1ceb8f08-0f39-4b2b-9a24-4af904a08b41.dcm,.dcm,134114,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/1dfca87c-520d-4c29-8d1b-c2fc0f3b7204.dcm,.dcm,134102,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/1e181e37-b1a9-4ee6-8558-609dd0b2736d.dcm,.dcm,134102,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/21d68007-f982-4e28-b7cc-ec43e7623be8.dcm,.dcm,134114,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/22844c95-50ea-408e-88f1-857115d03ed6.dcm,.dcm,134102,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/29f1d691-86d2-477a-9a2b-49daac6965fd.dcm,.dcm,134102,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/2adcfc21-e505-435c-aa31-8c04bdc896b7.dcm,.dcm,134114,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/2fb183fc-aa80-4c33-966c-a0ad3eee9118.dcm,.dcm,134102,DICOM,0,,0
