PatientID,StudyInstanceUID,manifest_SeriesInstanceUID,S5cmdManifestPath,completion_status,parsed_locally,note
TVD_GBM_IC1_070610_51_093010,1.3.46.670589.11.17169.5.0.6060.2010093011141718595.3,1.3.46.670589.11.17169.5.0.5780.2010093011593739511.3,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mouse_Astrocytoma_TCIA/Mouse-Astrocytoma-doiJNLP/mouse_astrocytoma/TVD_GBM_IC1_070610_51_093010/595.3/511.3,success,1,
TVD_GBM_IC1_070610_51_093010,1.3.46.670589.11.17169.5.0.6060.2010093011141718595.3,1.3.46.670589.11.17169.5.0.5780.2010093012184476741.3,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mouse_Astrocytoma_TCIA/Mouse-Astrocytoma-doiJNLP/mouse_astrocytoma/TVD_GBM_IC1_070610_51_093010/595.3/741.3,success,1,
TVD_GBM_U87_1202252_021512,1.3.46.670589.11.17169.5.0.548.2012021510554459498.1,1.3.46.670589.11.17169.5.0.7588.2012021512543057321.1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mouse_Astrocytoma_TCIA/Mouse-Astrocytoma-doiJNLP/mouse_astrocytoma/TVD_GBM_U87_1202252_021512/498.1/321.1,success,1,
TVD_GBM_IC2_11311013_020811,1.3.46.670589.11.17169.5.0.3164.2011020809040192350.3,1.3.46.670589.11.17169.5.0.6148.2011020810241335140.3,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mouse_Astrocytoma_TCIA/Mouse-Astrocytoma-doiJNLP/mouse_astrocytoma/TVD_GBM_IC2_11311013_020811/350.3/140.3,success,1,
TVD_GBM_IC2_11311011_021511,1.3.46.670589.11.17169.5.0.4584.2011021511013196216.2,1.3.46.670589.11.17169.5.0.4564.2011021511582801965.2,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mouse_Astrocytoma_TCIA/Mouse-Astrocytoma-doiJNLP/mouse_astrocytoma/TVD_GBM_IC2_11311011_021511/216.2/965.2,success,1,
TVD_GBM_U87_4540_121411,1.3.46.670589.11.17169.5.0.8084.2011121408484042048.3,1.3.46.670589.11.17169.5.0.2192.2011121410530620844.3,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mouse_Astrocytoma_TCIA/Mouse-Astrocytoma-doiJNLP/mouse_astrocytoma/TVD_GBM_U87_4540_121411/048.3/844.3,success,1,
TVD_GBM_IC2_11311007_020111,1.3.46.670589.11.17169.5.0.2964.2011020108354798122.2,1.3.46.670589.11.17169.5.0.5936.2012020709115638000.2,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mouse_Astrocytoma_TCIA/Mouse-Astrocytoma-doiJNLP/mouse_astrocytoma/TVD_GBM_IC2_11311007_020111/122.2/000.2,success,1,
TVD_GBM_IC1_070610_33_100110,1.3.46.670589.11.17169.5.0.6060.2010100109470843631.4,1.3.46.670589.11.17169.5.0.5780.2010100111281740115.4,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mouse_Astrocytoma_TCIA/Mouse-Astrocytoma-doiJNLP/mouse_astrocytoma/TVD_GBM_IC1_070610_33_100110/631.4/115.4,success,1,
TVD_GBM_U87_1202252_021512,1.3.46.670589.11.17169.5.0.548.2012021510554459498.1,1.3.46.670589.11.17169.5.0.8768.2012021513152731000.1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mouse_Astrocytoma_TCIA/Mouse-Astrocytoma-doiJNLP/mouse_astrocytoma/TVD_GBM_U87_1202252_021512/498.1/000.1,success,1,
TVD_GBM_U87_4541_121411,1.3.46.670589.11.17169.5.0.8084.2011121408484042048.4,1.3.46.670589.11.17169.5.0.2192.2011121410342762635.4,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mouse_Astrocytoma_TCIA/Mouse-Astrocytoma-doiJNLP/mouse_astrocytoma/TVD_GBM_U87_4541_121411/048.4/635.4,success,1,
