subject_id,brain_mask_found,tumor_mask_found,annotation_format,linked_image_series,confidence,notes
TVD_GBM_IC1_070610_16_100110,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC1_070610_19,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC1_070610_22_093010,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC1_070610_33_100110,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC1_070610_34,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC1_070610_51_093010,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC2_11311002_020811,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC2_11311004_020811,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC2_11311007_020111,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC2_11311008_020111,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC2_11311010_021511,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC2_11311011_021511,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC2_11311013_020811,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC2_11311014_021811,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC2_11311017_020811,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC2_11311019_020811,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC2_11311020_020811,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC2_11311021_020111,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC2_11311022_020111,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC2_11311023_020111,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC2_11311024_020111,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC2_11311045_022311,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC2_11311059_021811,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC2_11311061_021811,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC2_11311063_021811,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC2_11311070_021811,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC2_11311072_021811,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_IC2_11311082_021511,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_U87_1202141_021412,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_U87_1202143_021412,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_U87_1202144_021412,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_U87_1202145_021412,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_U87_1202252_021512,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_U87_1202253_021512,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_U87_1202254_021512,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_U87_1202255_021512,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_U87_1202444_022112,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_U87_1202445_022112,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_U87_1202795_022312,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_U87_4493_121511,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_U87_4494_121511,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_U87_4534_121511,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_U87_4535_121411,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_U87_4536_121511,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_U87_4538_121511,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_U87_4540_121411,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_U87_4541_121411,0,0,,,none,No annotation SOP/modality/sequence found for subject
TVD_GBM_U87_4593_121411,0,0,,,none,No annotation SOP/modality/sequence found for subject
