subject_id,series_count,primary_anatomical_series,secondary_anatomical_series,dynamic_series,subtraction_series,derived_series,scout_series,incomplete_series,duplicate_series,unsuitable_series,manual_review_series
TVD_GBM_IC1_070610_16_100110,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_IC1_070610_19,6,3,1,2,0,0,0,0,0,0,0
TVD_GBM_IC1_070610_22_093010,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_IC1_070610_33_100110,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_IC1_070610_34,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_IC1_070610_51_093010,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_IC2_11311002_020811,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_IC2_11311004_020811,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_IC2_11311007_020111,1,0,0,0,1,0,0,0,0,0,0
TVD_GBM_IC2_11311008_020111,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_IC2_11311010_021511,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_IC2_11311011_021511,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_IC2_11311013_020811,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_IC2_11311014_021811,4,2,1,1,0,0,0,0,0,0,0
TVD_GBM_IC2_11311017_020811,7,3,1,2,1,0,0,0,0,0,0
TVD_GBM_IC2_11311019_020811,7,3,1,2,1,0,0,0,0,0,0
TVD_GBM_IC2_11311020_020811,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_IC2_11311021_020111,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_IC2_11311022_020111,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_IC2_11311023_020111,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_IC2_11311024_020111,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_IC2_11311045_022311,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_IC2_11311059_021811,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_IC2_11311061_021811,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_IC2_11311063_021811,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_IC2_11311070_021811,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_IC2_11311072_021811,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_IC2_11311082_021511,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_U87_1202141_021412,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_U87_1202143_021412,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_U87_1202144_021412,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_U87_1202145_021412,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_U87_1202252_021512,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_U87_1202253_021512,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_U87_1202254_021512,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_U87_1202255_021512,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_U87_1202444_022112,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_U87_1202445_022112,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_U87_1202795_022312,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_U87_4493_121511,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_U87_4494_121511,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_U87_4534_121511,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_U87_4535_121411,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_U87_4536_121511,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_U87_4538_121511,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_U87_4540_121411,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_U87_4541_121411,6,3,1,1,1,0,0,0,0,0,0
TVD_GBM_U87_4593_121411,6,3,1,1,1,0,0,0,0,0,0
