slice,relative_area_drop,left_right_asymmetry,mean_boundary_probability,criteria
1,-0.11207257501744591,0.05120481927710843,0.29998502135276794,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
2,0.1076903823290157,0.10238429172510519,0.3283446133136749,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
3,0.0023655378486055778,0.04030949706726569,0.34584179520606995,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
4,-0.04265624088230145,0.018132975151108125,0.3488532602787018,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
5,-0.0026924556294301884,0.017755370451556333,0.32592499256134033,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
6,0.007232788641843022,0.023853211009174313,0.32304155826568604,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
7,0.011960855382384922,0.03343465045592705,0.3786897361278534,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
8,0.009610171997437288,0.032046178343949044,0.40993890166282654,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
9,0.009033923303834809,0.036837209302325584,0.4519813656806946,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
10,-0.010321797207043109,0.08791208791208792,0.47739195823669434,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
11,-0.006542361792607131,0.11862203444913877,0.5308347344398499,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
12,-0.011570509023417446,0.10181136789506559,0.547895610332489,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
13,-0.00575711912213593,0.11056473300038418,0.5197358131408691,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
14,-0.0016089488201041985,0.0947754914709707,0.5334136486053467,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
15,-0.001377094330961671,0.10535564214225686,0.53448086977005,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
16,0.0012609376791104657,0.12005509220292294,0.5318248271942139,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
17,-0.000918133129303749,0.10854609386943892,0.5248943567276001,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
18,-0.003377600368465495,0.12064876444036417,0.5045139193534851,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
19,-0.00038559420066322205,0.13105149552883133,0.5113488435745239,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
20,-0.00046667185190946565,0.11606934618673716,0.5202667713165283,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
21,-0.0027938456695392124,0.12384241092450164,0.5226488709449768,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
22,-0.002076014053018205,0.10916334661354582,0.5136516094207764,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
23,0.0002843332385555871,0.09735088574679018,0.503006637096405,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
24,-0.004745254745254745,0.06355124699643715,0.4950219392776489,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
25,-0.0009823602272241918,0.046765659668885476,0.47548115253448486,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
26,0.0,0.022038081805359662,0.44281211495399475,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
27,-0.0014149436304714956,0.010027347310847767,0.43564701080322266,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
28,-0.003514437689969605,0.02489351632749645,0.4421498775482178,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
29,-0.0010918114143920596,0.050168550465992466,0.44390812516212463,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
30,0.0026014568158168575,0.10005216484089724,0.43452584743499756,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
31,0.004685627111256402,0.11823954455879133,0.45257022976875305,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
32,0.003012904326075834,0.10069563234120196,0.4495447874069214,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
33,0.0010630758327427356,0.10251862362539908,0.45552748441696167,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
34,-0.0011037527593818985,0.12703662869043245,0.4556748569011688,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
35,0.00393301192590713,0.1557763342249395,0.4486302137374878,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
36,0.006210368046022096,0.15563741612945664,0.4664335548877716,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
37,0.002411575562700965,0.07735697018533441,0.48040688037872314,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
38,-0.0030802929700869328,0.06537464173604476,0.5000366568565369,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
39,-0.0012580374615599665,0.07273488761692029,0.4895413815975189,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
40,-0.002081389506926003,0.04512247529007306,0.468273788690567,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
41,0.00029533372711163615,0.11078286558345643,0.4507157504558563,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
42,-0.014844595639400032,0.1116867286301996,0.4056988060474396,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
43,-0.0178335535006605,0.11875405580791694,0.3555150628089905,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
44,0.003591309032142216,0.09785546945395567,0.23505201935768127,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
45,0.07357049729931085,0.08443908323281062,0.15132728219032288,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
46,-0.29676371360739723,0.09346694931586047,0.15998458862304688,area_drop>=0.15 OR asymmetry>=0.35 OR boundary_probability<0.55
