subject_id,StudyInstanceUID,SeriesInstanceUID,SeriesDescription,ProtocolName,ImageType,rows,columns,pixel_spacing,slice_thickness,spacing_between_slices,instances,unique_spatial_slices,maximum_position_repetitions,reconstructed_shape,qc_class,qc_reason,visual_review_status,contact_sheet_path,metadata_path,example_dicom_path
TVD_GBM_IC1_070610_16_100110,1.3.46.670589.11.17169.5.0.6060.2010100109470843631.2,1.3.46.670589.11.17169.5.0.5780.2010100110490460987.2,TSE_100_Cor_P4 SENSE,TSE_100_Cor_P4 SENSE,ORIGINAL\PRIMARY\M_SE\M\SE,256,256,0.117188\0.117188,0.5,0.5,30,30,1,256x256x30,primary anatomical,full TSE or coronal T1 anatomical acquisition,contact sheet generated,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_16_100110/001_00110490460987_2/contact_sheet.png,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_16_100110/001_00110490460987_2/metadata.json,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mouse-Astrocytoma-doiJNLP/mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/987.2/eb4eab08-81b2-4f0d-893a-78e39ec397d2.dcm
TVD_GBM_IC1_070610_16_100110,1.3.46.670589.11.17169.5.0.6060.2010100109470843631.2,1.3.46.670589.11.17169.5.0.5780.2010100111190240011.2,T1_FFE_Cor_PreC SENSE,T1_FFE_Cor_PreC SENSE,ORIGINAL\PRIMARY\M_FFE\M\FFE,256,256,0.117188\0.117188,0.5,0.25,48,48,1,256x256x48,primary anatomical,full TSE or coronal T1 anatomical acquisition,contact sheet generated,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_16_100110/002_00111190240011_2/contact_sheet.png,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_16_100110/002_00111190240011_2/metadata.json,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mouse-Astrocytoma-doiJNLP/mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/5bea2418-432f-42a4-9834-3015a8731988.dcm
TVD_GBM_IC1_070610_16_100110,1.3.46.670589.11.17169.5.0.6060.2010100109470843631.2,1.3.46.670589.11.17169.5.0.5780.2010100111263914038.2,T1_FFE_PreFA5 SENSE,T1_FFE_PreFA5 SENSE,ORIGINAL\PRIMARY\M_FFE\M\FFE,132,132,0.227273\0.227273,1.0,1.0,12,12,1,132x132x12,secondary anatomical,low-flip-angle anatomical reference,contact sheet generated,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_16_100110/003_00111263914038_2/contact_sheet.png,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_16_100110/003_00111263914038_2/metadata.json,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mouse-Astrocytoma-doiJNLP/mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/038.2/67f4c088-947b-4054-bf8e-9281fac202d2.dcm
TVD_GBM_IC1_070610_16_100110,1.3.46.670589.11.17169.5.0.6060.2010100109470843631.2,1.3.46.670589.11.17169.5.0.5780.2010100111281740115.2,3D_12Sl_Dyn22s_AP_TR9/TE3 SENSE,3D_12Sl_Dyn22s_AP_TR9/TE3 SENSE,ORIGINAL\PRIMARY\M_FFE\M\FFE,132,132,0.227273\0.227273,1.0,1.0,600,12,50,132x132x12,dynamic,50 repeated images per spatial position,contact sheet generated,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_16_100110/004_00111281740115_2/contact_sheet.png,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_16_100110/004_00111281740115_2/metadata.json,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mouse-Astrocytoma-doiJNLP/mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/118ba1d1-4c17-4bde-a3ce-7dd06c765002.dcm
TVD_GBM_IC1_070610_16_100110,1.3.46.670589.11.17169.5.0.6060.2010100109470843631.2,1.3.46.670589.11.17169.5.0.5780.2010100111465823324.2,T1_FFE_Cor_PostC SENSE,T1_FFE_Cor_PostC SENSE,ORIGINAL\PRIMARY\M_FFE\M\FFE,256,256,0.117188\0.117188,0.5,0.25,48,48,1,256x256x48,primary anatomical,full TSE or coronal T1 anatomical acquisition,contact sheet generated,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_16_100110/005_00111465823324_2/contact_sheet.png,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_16_100110/005_00111465823324_2/metadata.json,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mouse-Astrocytoma-doiJNLP/mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/324.2/7f05a464-e117-41f9-848d-9d325ceea49f.dcm
TVD_GBM_IC1_070610_16_100110,1.3.46.670589.11.17169.5.0.6060.2010100109470843631.2,1.3.46.670589.11.17169.5.0.9348.2012020709052553000.2,sT1_FFE_Subtr,sT1_FFE_Subtr,ORIGINAL\PRIMARY\M_FFE\M\FFE,256,256,0.117188\0.117188,0.5,0.25,48,48,1,256x256x48,subtraction,subtraction series,contact sheet generated,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_16_100110/006_20709052553000_2/contact_sheet.png,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_16_100110/006_20709052553000_2/metadata.json,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mouse-Astrocytoma-doiJNLP/mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/000.2/596bce3d-ab3c-4616-9e3b-c916c483cc49.dcm
TVD_GBM_IC1_070610_19,1.3.46.670589.11.17169.5.0.6060.2010092709381189369.3,1.3.46.670589.11.17169.5.0.5780.2010092711281771299.3,TSE_100_Cor_P4 SENSE,TSE_100_Cor_P4 SENSE,ORIGINAL\PRIMARY\M_SE\M\SE,256,256,0.117188\0.117188,0.5,0.5,30,30,1,256x256x30,primary anatomical,full TSE or coronal T1 anatomical acquisition,contact sheet generated,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_19/007_92711281771299_3/contact_sheet.png,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_19/007_92711281771299_3/metadata.json,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mouse-Astrocytoma-doiJNLP/mouse_astrocytoma/TVD_GBM_IC1_070610_19/369.3/299.3/e553aa05-3114-4bda-a14b-6f63b5617445.dcm
TVD_GBM_IC1_070610_19,1.3.46.670589.11.17169.5.0.6060.2010092709381189369.3,1.3.46.670589.11.17169.5.0.5780.2010092712020389349.3,T1_FFE_Cor_PreC SENSE,T1_FFE_Cor_PreC SENSE,ORIGINAL\PRIMARY\M_FFE\M\FFE,256,256,0.117188\0.117188,0.5,0.25,48,48,1,256x256x48,primary anatomical,full TSE or coronal T1 anatomical acquisition,contact sheet generated,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_19/008_92712020389349_3/contact_sheet.png,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_19/008_92712020389349_3/metadata.json,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mouse-Astrocytoma-doiJNLP/mouse_astrocytoma/TVD_GBM_IC1_070610_19/369.3/349.3/2a1ea27c-13f8-4868-b329-effd02f60b81.dcm
TVD_GBM_IC1_070610_19,1.3.46.670589.11.17169.5.0.6060.2010092709381189369.3,1.3.46.670589.11.17169.5.0.5780.2010092712094570350.3,T1_FFE_PreFA5,T1_FFE_PreFA5 SENSE,ORIGINAL\PRIMARY\M_FFE\M\FFE,132,132,0.227273\0.227273,1.0,1.0,12,12,1,132x132x12,secondary anatomical,low-flip-angle anatomical reference,contact sheet generated,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_19/009_92712094570350_3/contact_sheet.png,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_19/009_92712094570350_3/metadata.json,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mouse-Astrocytoma-doiJNLP/mouse_astrocytoma/TVD_GBM_IC1_070610_19/369.3/350.3/a666a29b-50a3-446a-867e-1ffb90a5fe2b.dcm
TVD_GBM_IC1_070610_19,1.3.46.670589.11.17169.5.0.6060.2010092709381189369.3,1.3.46.670589.11.17169.5.0.5780.2010092712125435427.3,3D_12Sl_Dyn22s_AP_TR9/TE3,3D_12Sl_Dyn22s_AP_TR9/TE3 SENSE,ORIGINAL\PRIMARY\M_FFE\M\FFE,132,132,0.227273\0.227273,1.0,1.0,24,12,2,132x132x12,dynamic,2 repeated images per spatial position,contact sheet generated,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_19/010_92712125435427_3/contact_sheet.png,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_19/010_92712125435427_3/metadata.json,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mouse-Astrocytoma-doiJNLP/mouse_astrocytoma/TVD_GBM_IC1_070610_19/369.3/427.3/19ab02c4-2394-49ce-a8b0-d3fe636ba094.dcm
TVD_GBM_IC1_070610_19,1.3.46.670589.11.17169.5.0.6060.2010092709381189369.3,1.3.46.670589.11.17169.5.0.5780.2010092712183762484.3,3D_12Sl_Dyn22s_AP_TR9/TE3,3D_12Sl_Dyn22s_AP_TR9/TE3 SENSE,ORIGINAL\PRIMARY\M_FFE\M\FFE,132,132,0.227273\0.227273,1.0,1.0,600,12,50,132x132x12,dynamic,50 repeated images per spatial position,contact sheet generated,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_19/011_92712183762484_3/contact_sheet.png,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_19/011_92712183762484_3/metadata.json,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mouse-Astrocytoma-doiJNLP/mouse_astrocytoma/TVD_GBM_IC1_070610_19/369.3/484.3/c554bd6c-7e35-45fd-802f-2ea884e88983.dcm
TVD_GBM_IC1_070610_19,1.3.46.670589.11.17169.5.0.6060.2010092709381189369.3,1.3.46.670589.11.17169.5.0.5780.2010092712373179693.3,T1_FFE_Cor_PostC SENSE,T1_FFE_Cor_PostC SENSE,ORIGINAL\PRIMARY\M_FFE\M\FFE,256,256,0.117188\0.117188,0.5,0.25,48,48,1,256x256x48,primary anatomical,full TSE or coronal T1 anatomical acquisition,contact sheet generated,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_19/012_92712373179693_3/contact_sheet.png,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_19/012_92712373179693_3/metadata.json,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mouse-Astrocytoma-doiJNLP/mouse_astrocytoma/TVD_GBM_IC1_070610_19/369.3/693.3/774d02f9-be37-4e94-86a0-fce48c4d4756.dcm
TVD_GBM_IC1_070610_22_093010,1.3.46.670589.11.17169.5.0.6060.2010093011141718595.1,1.3.46.670589.11.17169.5.0.5780.2010093011205775404.1,TSE_100_Cor_P4 SENSE,TSE_100_Cor_P4 SENSE,ORIGINAL\PRIMARY\M_SE\M\SE,256,256,0.117188\0.117188,0.5,0.5,30,30,1,256x256x30,primary anatomical,full TSE or coronal T1 anatomical acquisition,contact sheet generated,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_22_093010/013_93011205775404_1/contact_sheet.png,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_astrocytoma_zero_shot/series_qc/TVD_GBM_IC1_070610_22_093010/013_93011205775404_1/metadata.json,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mouse-Astrocytoma-doiJNLP/mouse_astrocytoma/TVD_GBM_IC1_070610_22_093010/595.1/404.1/0e7b3f0b-025f-424a-bc23-e45bbd7599ed.dcm
