domain,scan_id,inference_seconds,dice,precision,recall,false_positives,false_negatives,hd95_mm,assd_mm,surface_dice,boundary_precision,boundary_recall,connected_components,compactness,contour_roughness,volume_ratio,iou,probability_inside_brain,probability_boundary_band,probability_immediately_outside,probability_distant_background,prediction_path,probability_path,image_path,ground_truth_path,split
mouse,POLYIC_20190510_mouse30__E2_P1,10.048569042,0.938111570909479,0.9533322158569894,0.9233693057014611,4733,8024,0.4000001549720764,0.13432446887236982,0.6641669141669142,0.6728413284132841,0.6553862244135664,2,0.2770953555664968,7.417787292429064,0.9685703371215739,0.8834370402858108,0.28287234902381897,0.26642003655433655,0.19330158829689026,0.05653739720582962,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_boundary_adaptation/native_predictions/mouse/POLYIC_20190510_mouse30__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_boundary_adaptation/probability_maps/mouse/POLYIC_20190510_mouse30__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse30__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse30__E2_P1.nii.gz,train
mouse,POLYIC_20190510_mouse32__E2_P1,9.751967125,0.9468658012181391,0.9642758468254407,0.9300732844770153,3879,7872,0.39999958872795105,0.11754065336265472,0.733237075644457,0.7398141030120903,0.7265563995172855,6,0.2697097934760497,7.484886497586436,0.9645303131245836,0.8990932041836261,0.42198652029037476,0.37620973587036133,0.22731642425060272,0.04215551167726517,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_boundary_adaptation/native_predictions/mouse/POLYIC_20190510_mouse32__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_boundary_adaptation/probability_maps/mouse/POLYIC_20190510_mouse32__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse32__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse32__E2_P1.nii.gz,train
mouse,POLYIC_20190510_mouse41__E2_P1,9.572091541999999,0.9360152029551811,0.9470932393075973,0.9251933272549219,6122,8861,1.0770329913113257,0.214232716516945,0.716662239341214,0.697321879737241,0.7380985718286195,2,0.22613378251476418,7.937717565800724,0.9768767095532368,0.8797261065711945,0.43438953161239624,0.37944889068603516,0.2445276379585266,0.04281626641750336,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_boundary_adaptation/native_predictions/mouse/POLYIC_20190510_mouse41__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_boundary_adaptation/probability_maps/mouse/POLYIC_20190510_mouse41__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse41__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse41__E2_P1.nii.gz,train
mouse,POLYIC_20190517_mouse30__E3_P1,9.369144792,0.939856593691213,0.9669755308505764,0.9142172679295988,3532,9704,0.44721360216395983,0.20988695196764337,0.6958924103419516,0.6839823907890281,0.7084433659267718,4,0.23816499892189064,7.801740103543877,0.9454399193797901,0.8865372251510865,0.6664068102836609,0.5357033610343933,0.262713760137558,0.010693295858800411,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_boundary_adaptation/native_predictions/mouse/POLYIC_20190517_mouse30__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_boundary_adaptation/probability_maps/mouse/POLYIC_20190517_mouse30__E3_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190517_mouse30__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190517_mouse30__E3_P1.nii.gz,train
mouse,POLYIC_20190517_mouse32__E3_P1,9.393755667,0.9440154961935222,0.9832313640117109,0.907807870250039,1787,10641,0.3999999761581421,0.12097191134032294,0.6987849072692389,0.7207194244604317,0.6773831250877439,1,0.28341174452166124,7.362266093298135,0.923290187312644,0.8939671868201245,0.36552804708480835,0.32978084683418274,0.21588994562625885,0.0469752736389637,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_boundary_adaptation/native_predictions/mouse/POLYIC_20190517_mouse32__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_boundary_adaptation/probability_maps/mouse/POLYIC_20190517_mouse32__E3_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190517_mouse32__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190517_mouse32__E3_P1.nii.gz,train
mouse,POLYIC_20190517_mouse41__E3_P1,9.430191459,0.9446622826425063,0.97889862441549,0.9127398025703111,2324,10307,0.41231056870567223,0.19526233546369962,0.7144537873282812,0.7192946483493952,0.7094897673114662,3,0.2595597187260632,7.581207080293098,0.9324150425845341,0.895127945401106,0.5602587461471558,0.45606738328933716,0.22539010643959045,0.02402292750775814,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_boundary_adaptation/native_predictions/mouse/POLYIC_20190517_mouse41__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_boundary_adaptation/probability_maps/mouse/POLYIC_20190517_mouse41__E3_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190517_mouse41__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190517_mouse41__E3_P1.nii.gz,train
mouse,POLYIC_20190618_mouse30__E3_P1,9.803760124999997,0.9462885800311344,0.9771769054540554,0.9172931651425886,2371,9153,0.4000000059604645,0.13919469849772237,0.7383496586524191,0.7549663983457647,0.7215718440086496,6,0.29132012770283255,7.295033556236984,0.9387176058119782,0.8980528844027282,0.37939971685409546,0.3308766484260559,0.21019531786441803,0.0404316782951355,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_boundary_adaptation/native_predictions/mouse/POLYIC_20190618_mouse30__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_boundary_adaptation/probability_maps/mouse/POLYIC_20190618_mouse30__E3_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190618_mouse30__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190618_mouse30__E3_P1.nii.gz,train
mouse,POLYIC_20190618_mouse32__E3_P1,9.712334917000007,0.9476961111792802,0.9822515308525671,0.9154893714165299,1884,9625,0.39999979734420776,0.11005531241867066,0.7317992389925712,0.749058516801854,0.7145136722999927,1,0.2868510241889112,7.332723733066712,0.9320315038062709,0.9005916648671992,0.29139766097068787,0.265141099691391,0.19741134345531464,0.052298326045274734,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_boundary_adaptation/native_predictions/mouse/POLYIC_20190618_mouse32__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_boundary_adaptation/probability_maps/mouse/POLYIC_20190618_mouse32__E3_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190618_mouse32__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190618_mouse32__E3_P1.nii.gz,train
mouse,POLYIC_20190619_mouse41__E3_P1,9.864838832999993,0.922134785943924,0.9422016732716865,0.902904837457381,6563,11505,5.200000077486038,0.5327952241139747,0.6285790473650879,0.5979343187581174,0.6644013880855986,3,0.20442467748126708,8.209304233448053,0.9582925429564865,0.855519571388589,0.29181718826293945,0.2689681053161621,0.21118685603141785,0.05658251792192459,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_boundary_adaptation/native_predictions/mouse/POLYIC_20190619_mouse41__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_boundary_adaptation/probability_maps/mouse/POLYIC_20190619_mouse41__E3_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190619_mouse41__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190619_mouse41__E3_P1.nii.gz,train
mouse,POLYIC_20190628_mouse30__E4_P1,9.557623957999994,0.9360768512140114,0.9631618296744375,0.9104735156171123,3794,9754,0.41231042414317604,0.18669963540599868,0.6590900772299696,0.6614557188956616,0.6566238038277512,5,0.262151105797962,7.556144011610319,0.9452965094400235,0.8798350259435008,0.12260892987251282,0.1365991234779358,0.13389669358730316,0.07432446628808975,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_boundary_adaptation/native_predictions/mouse/POLYIC_20190628_mouse30__E4_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mouse_boundary_adaptation/probability_maps/mouse/POLYIC_20190628_mouse30__E4_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190628_mouse30__E4_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190628_mouse30__E4_P1.nii.gz,train
