scan_id,condition,region,fp_voxels,fn_voxels
POLYIC_20190510_mouse34__E2_P1,baseline,left,9083,1171
POLYIC_20190510_mouse34__E2_P1,baseline,right,9098,529
POLYIC_20190510_mouse34__E2_P1,baseline,dorsal,1654,8
POLYIC_20190510_mouse34__E2_P1,baseline,ventral,16527,1692
POLYIC_20190510_mouse34__E2_P1,baseline,rostral,11866,799
POLYIC_20190510_mouse34__E2_P1,baseline,caudal,6315,901
POLYIC_20190510_mouse34__E2_P1,adapted,left,2023,4231
POLYIC_20190510_mouse34__E2_P1,adapted,right,884,4368
POLYIC_20190510_mouse34__E2_P1,adapted,dorsal,15,170
POLYIC_20190510_mouse34__E2_P1,adapted,ventral,2892,8429
POLYIC_20190510_mouse34__E2_P1,adapted,rostral,2157,4250
POLYIC_20190510_mouse34__E2_P1,adapted,caudal,750,4349
POLYIC_20190510_mouse35__E3_P1,baseline,left,6983,1377
POLYIC_20190510_mouse35__E3_P1,baseline,right,11129,785
POLYIC_20190510_mouse35__E3_P1,baseline,dorsal,984,0
POLYIC_20190510_mouse35__E3_P1,baseline,ventral,17128,2162
POLYIC_20190510_mouse35__E3_P1,baseline,rostral,10705,1350
POLYIC_20190510_mouse35__E3_P1,baseline,caudal,7407,812
POLYIC_20190510_mouse35__E3_P1,adapted,left,1280,3742
POLYIC_20190510_mouse35__E3_P1,adapted,right,924,4760
POLYIC_20190510_mouse35__E3_P1,adapted,dorsal,0,17
POLYIC_20190510_mouse35__E3_P1,adapted,ventral,2204,8485
POLYIC_20190510_mouse35__E3_P1,adapted,rostral,1253,5018
POLYIC_20190510_mouse35__E3_P1,adapted,caudal,951,3484
POLYIC_20190510_mouse37__E2_P1,baseline,left,13491,1753
POLYIC_20190510_mouse37__E2_P1,baseline,right,21571,1058
POLYIC_20190510_mouse37__E2_P1,baseline,dorsal,27704,81
POLYIC_20190510_mouse37__E2_P1,baseline,ventral,7358,2730
POLYIC_20190510_mouse37__E2_P1,baseline,rostral,16462,1395
POLYIC_20190510_mouse37__E2_P1,baseline,caudal,18600,1416
POLYIC_20190510_mouse37__E2_P1,adapted,left,1885,4834
POLYIC_20190510_mouse37__E2_P1,adapted,right,1645,6353
POLYIC_20190510_mouse37__E2_P1,adapted,dorsal,2773,2120
POLYIC_20190510_mouse37__E2_P1,adapted,ventral,757,9067
POLYIC_20190510_mouse37__E2_P1,adapted,rostral,956,6052
POLYIC_20190510_mouse37__E2_P1,adapted,caudal,2574,5135
POLYIC_20190510_mouse38__E2_P1,baseline,left,10298,1310
POLYIC_20190510_mouse38__E2_P1,baseline,right,13303,716
POLYIC_20190510_mouse38__E2_P1,baseline,dorsal,10734,44
POLYIC_20190510_mouse38__E2_P1,baseline,ventral,12867,1982
POLYIC_20190510_mouse38__E2_P1,baseline,rostral,17547,873
POLYIC_20190510_mouse38__E2_P1,baseline,caudal,6054,1153
POLYIC_20190510_mouse38__E2_P1,adapted,left,1905,4405
POLYIC_20190510_mouse38__E2_P1,adapted,right,806,5143
POLYIC_20190510_mouse38__E2_P1,adapted,dorsal,281,832
POLYIC_20190510_mouse38__E2_P1,adapted,ventral,2430,8716
POLYIC_20190510_mouse38__E2_P1,adapted,rostral,1910,4920
POLYIC_20190510_mouse38__E2_P1,adapted,caudal,801,4628
POLYIC_20190510_mouse39__E4_P1,baseline,left,14304,1490
POLYIC_20190510_mouse39__E4_P1,baseline,right,26268,902
POLYIC_20190510_mouse39__E4_P1,baseline,dorsal,26134,66
POLYIC_20190510_mouse39__E4_P1,baseline,ventral,14438,2326
POLYIC_20190510_mouse39__E4_P1,baseline,rostral,25282,1369
POLYIC_20190510_mouse39__E4_P1,baseline,caudal,15290,1023
POLYIC_20190510_mouse39__E4_P1,adapted,left,1787,3630
POLYIC_20190510_mouse39__E4_P1,adapted,right,1174,6159
POLYIC_20190510_mouse39__E4_P1,adapted,dorsal,821,1436
POLYIC_20190510_mouse39__E4_P1,adapted,ventral,2140,8353
POLYIC_20190510_mouse39__E4_P1,adapted,rostral,1977,5386
POLYIC_20190510_mouse39__E4_P1,adapted,caudal,984,4403
POLYIC_20190510_mouse42__E2_P1,baseline,left,10072,1405
POLYIC_20190510_mouse42__E2_P1,baseline,right,20605,1187
POLYIC_20190510_mouse42__E2_P1,baseline,dorsal,19218,153
POLYIC_20190510_mouse42__E2_P1,baseline,ventral,11459,2439
POLYIC_20190510_mouse42__E2_P1,baseline,rostral,15029,1234
POLYIC_20190510_mouse42__E2_P1,baseline,caudal,15648,1358
POLYIC_20190510_mouse42__E2_P1,adapted,left,1778,3154
POLYIC_20190510_mouse42__E2_P1,adapted,right,2354,6088
POLYIC_20190510_mouse42__E2_P1,adapted,dorsal,2085,1987
POLYIC_20190510_mouse42__E2_P1,adapted,ventral,2047,7255
POLYIC_20190510_mouse42__E2_P1,adapted,rostral,1486,4968
POLYIC_20190510_mouse42__E2_P1,adapted,caudal,2646,4274
POLYIC_20190510_mouse43__E2_P1_1,baseline,left,4801,1124
POLYIC_20190510_mouse43__E2_P1_1,baseline,right,7061,560
POLYIC_20190510_mouse43__E2_P1_1,baseline,dorsal,821,16
POLYIC_20190510_mouse43__E2_P1_1,baseline,ventral,11041,1668
POLYIC_20190510_mouse43__E2_P1_1,baseline,rostral,10902,292
POLYIC_20190510_mouse43__E2_P1_1,baseline,caudal,960,1392
POLYIC_20190510_mouse43__E2_P1_1,adapted,left,784,3827
POLYIC_20190510_mouse43__E2_P1_1,adapted,right,1594,3199
POLYIC_20190510_mouse43__E2_P1_1,adapted,dorsal,0,51
POLYIC_20190510_mouse43__E2_P1_1,adapted,ventral,2378,6975
POLYIC_20190510_mouse43__E2_P1_1,adapted,rostral,2341,4264
POLYIC_20190510_mouse43__E2_P1_1,adapted,caudal,37,2762
POLYIC_20190510_mouse43__E9_P1,baseline,left,9035,1781
POLYIC_20190510_mouse43__E9_P1,baseline,right,12157,422
POLYIC_20190510_mouse43__E9_P1,baseline,dorsal,1212,0
POLYIC_20190510_mouse43__E9_P1,baseline,ventral,19980,2203
POLYIC_20190510_mouse43__E9_P1,baseline,rostral,15840,718
POLYIC_20190510_mouse43__E9_P1,baseline,caudal,5352,1485
POLYIC_20190510_mouse43__E9_P1,adapted,left,1234,9860
POLYIC_20190510_mouse43__E9_P1,adapted,right,1602,4063
POLYIC_20190510_mouse43__E9_P1,adapted,dorsal,0,11
POLYIC_20190510_mouse43__E9_P1,adapted,ventral,2836,13912
POLYIC_20190510_mouse43__E9_P1,adapted,rostral,2375,6520
POLYIC_20190510_mouse43__E9_P1,adapted,caudal,461,7403
POLYIC_20190517_mouse33__E2_P1,baseline,left,8263,2348
POLYIC_20190517_mouse33__E2_P1,baseline,right,28313,604
POLYIC_20190517_mouse33__E2_P1,baseline,dorsal,23227,249
POLYIC_20190517_mouse33__E2_P1,baseline,ventral,13349,2703
POLYIC_20190517_mouse33__E2_P1,baseline,rostral,23080,1478
POLYIC_20190517_mouse33__E2_P1,baseline,caudal,13496,1474
POLYIC_20190517_mouse33__E2_P1,adapted,left,1093,4478
POLYIC_20190517_mouse33__E2_P1,adapted,right,2492,5387
POLYIC_20190517_mouse33__E2_P1,adapted,dorsal,1268,2605
POLYIC_20190517_mouse33__E2_P1,adapted,ventral,2317,7260
POLYIC_20190517_mouse33__E2_P1,adapted,rostral,2273,5348
POLYIC_20190517_mouse33__E2_P1,adapted,caudal,1312,4517
POLYIC_20190517_mouse35__E2_P1,baseline,left,10642,1021
POLYIC_20190517_mouse35__E2_P1,baseline,right,17071,697
POLYIC_20190517_mouse35__E2_P1,baseline,dorsal,12080,45
POLYIC_20190517_mouse35__E2_P1,baseline,ventral,15633,1673
POLYIC_20190517_mouse35__E2_P1,baseline,rostral,19098,941
POLYIC_20190517_mouse35__E2_P1,baseline,caudal,8615,777
POLYIC_20190517_mouse35__E2_P1,adapted,left,1928,2980
POLYIC_20190517_mouse35__E2_P1,adapted,right,1045,5548
POLYIC_20190517_mouse35__E2_P1,adapted,dorsal,299,358
POLYIC_20190517_mouse35__E2_P1,adapted,ventral,2674,8170
POLYIC_20190517_mouse35__E2_P1,adapted,rostral,2138,4252
POLYIC_20190517_mouse35__E2_P1,adapted,caudal,835,4276
POLYIC_20190517_mouse36__E2_P1,baseline,left,9849,1330
POLYIC_20190517_mouse36__E2_P1,baseline,right,15320,923
POLYIC_20190517_mouse36__E2_P1,baseline,dorsal,11051,18
POLYIC_20190517_mouse36__E2_P1,baseline,ventral,14118,2235
POLYIC_20190517_mouse36__E2_P1,baseline,rostral,12769,1275
POLYIC_20190517_mouse36__E2_P1,baseline,caudal,12400,978
POLYIC_20190517_mouse36__E2_P1,adapted,left,1883,3364
POLYIC_20190517_mouse36__E2_P1,adapted,right,981,6489
POLYIC_20190517_mouse36__E2_P1,adapted,dorsal,329,493
POLYIC_20190517_mouse36__E2_P1,adapted,ventral,2535,9360
POLYIC_20190517_mouse36__E2_P1,adapted,rostral,1837,5232
POLYIC_20190517_mouse36__E2_P1,adapted,caudal,1027,4621
POLYIC_20190517_mouse37__E3_P1,baseline,left,20313,2801
POLYIC_20190517_mouse37__E3_P1,baseline,right,26744,1663
POLYIC_20190517_mouse37__E3_P1,baseline,dorsal,18303,21
POLYIC_20190517_mouse37__E3_P1,baseline,ventral,28754,4443
POLYIC_20190517_mouse37__E3_P1,baseline,rostral,29635,3314
POLYIC_20190517_mouse37__E3_P1,baseline,caudal,17422,1150
POLYIC_20190517_mouse37__E3_P1,adapted,left,3944,7814
POLYIC_20190517_mouse37__E3_P1,adapted,right,3682,13129
POLYIC_20190517_mouse37__E3_P1,adapted,dorsal,2216,1621
POLYIC_20190517_mouse37__E3_P1,adapted,ventral,5410,19322
