split,scan_id,mouse_id,timepoint,baseline_dice,shape_and_spacing_group
train,POLYIC_20190510_mouse30__E2_P1,mouse-30,20190510,0.8976460651829608,35 slices; 0.10000000149011612x0.10000000149011612x0.4000001549720764 mm
train,POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,0.8699253502454268,35 slices; 0.10000000149011612x0.10000000149011612x0.39999958872795105 mm
train,POLYIC_20190510_mouse41__E2_P1,mouse-41,20190510,0.8561986987223293,35 slices; 0.10000000149011612x0.10000000149011612x0.4000001549720764 mm
train,POLYIC_20190517_mouse30__E3_P1,mouse-30,20190517,0.8486644381804824,35 slices; 0.10000000149011612x0.10000000149011612x0.4000000059604645 mm
train,POLYIC_20190517_mouse32__E3_P1,mouse-32,20190517,0.9106084627305745,35 slices; 0.10000000149011612x0.10000000149011612x0.3999999761581421 mm
train,POLYIC_20190517_mouse41__E3_P1,mouse-41,20190517,0.8783533835782282,35 slices; 0.10000000149011612x0.10000000149011612x0.3999999761581421 mm
train,POLYIC_20190618_mouse30__E3_P1,mouse-30,20190618,0.8756842879370993,38 slices; 0.10000000149011612x0.10000000149011612x0.3999999165534973 mm
train,POLYIC_20190618_mouse32__E3_P1,mouse-32,20190618,0.911735172599066,38 slices; 0.10000000149011612x0.10000000149011612x0.39999979734420776 mm
train,POLYIC_20190619_mouse41__E3_P1,mouse-41,20190619,0.8489232103920142,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
train,POLYIC_20190628_mouse30__E4_P1,mouse-30,20190628,0.8870949536211348,38 slices; 0.10000000149011612x0.10000000149011612x0.39999985694885254 mm
train,POLYIC_20190628_mouse32__E3_P1,mouse-32,20190628,0.9189469695755034,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
validation,POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,0.9078157652801214,35 slices; 0.10000000149011612x0.10000000149011612x0.40000006556510925 mm
validation,POLYIC_20190510_mouse40__E2_P1,mouse-40,20190510,0.8944586256147585,35 slices; 0.10000000149011612x0.10000000149011612x0.4000000059604645 mm
validation,POLYIC_20190510_mouse44__E4_P1,mouse-44,20190510,0.8788498972894395,35 slices; 0.10000000149011612x0.10000000149011612x0.3999998867511749 mm
validation,POLYIC_20190517_mouse31__E3_P1,mouse-31,20190517,0.8171244551047819,35 slices; 0.10000000149011612x0.10000000149011612x0.3999999761581421 mm
validation,POLYIC_20190517_mouse40__E3_P1,mouse-40,20190517,0.9384235837366574,35 slices; 0.10000000149011612x0.10000000149011612x0.4000000059604645 mm
validation,POLYIC_20190517_mouse44__E3_P1,mouse-44,20190517,0.8884479017875683,35 slices; 0.10000000149011612x0.10000000149011612x0.4000004231929779 mm
validation,POLYIC_20190618_mouse31__E3_P1,mouse-31,20190618,0.9016734033992856,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
validation,POLYIC_20190619_mouse40__E3_P1,mouse-40,20190619,0.8984459993858488,38 slices; 0.10000000149011612x0.10000000149011612x0.39999961853027344 mm
validation,POLYIC_20190619_mouse44__E4_P1,mouse-44,20190619,0.9052305030221157,38 slices; 0.10000000149011612x0.10000000149011612x0.40000006556510925 mm
validation,POLYIC_20190628_mouse31__E3_P1,mouse-31,20190628,0.8809244773969123,38 slices; 0.10000000149011612x0.10000000149011612x0.4000000059604645 mm
test,POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,0.9121619531975699,35 slices; 0.10000000149011612x0.10000000149011612x0.3999999165534973 mm
test,POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,0.9125170443795624,35 slices; 0.10000000149011612x0.10000000149011612x0.40000006556510925 mm
test,POLYIC_20190510_mouse37__E2_P1,mouse-37,20190510,0.8619864074536017,35 slices; 0.10000000149011612x0.10000000149011612x0.3999997675418854 mm
test,POLYIC_20190510_mouse38__E2_P1,mouse-38,20190510,0.898330972816386,35 slices; 0.10000000149011612x0.10000000149011612x0.3999999761581421 mm
test,POLYIC_20190510_mouse39__E4_P1,mouse-39,20190510,0.8431501398285928,35 slices; 0.10000000149011612x0.10000000149011612x0.3999998867511749 mm
test,POLYIC_20190510_mouse42__E2_P1,mouse-42,20190510,0.8712714215563482,35 slices; 0.10000000149011612x0.10000000149011612x0.4000001549720764 mm
test,POLYIC_20190510_mouse43__E2_P1_1,mouse-43,20190510,0.91958921999765,35 slices; 0.10000000149011612x0.10000000149011612x0.4000000059604645 mm
test,POLYIC_20190510_mouse43__E9_P1,mouse-43,20190510,0.9077276832762992,35 slices; 0.10000000149011612x0.10000000149011612x0.3999999463558197 mm
test,POLYIC_20190517_mouse33__E2_P1,mouse-33,20190517,0.8437628458559777,35 slices; 0.10000000149011612x0.10000000149011612x0.4000000059604645 mm
test,POLYIC_20190517_mouse35__E2_P1,mouse-35,20190517,0.8825339554385556,35 slices; 0.10000000149011612x0.10000000149011612x0.3999999761581421 mm
test,POLYIC_20190517_mouse36__E2_P1,mouse-36,20190517,0.8924416552307338,35 slices; 0.10000000149011612x0.10000000149011612x0.3999999463558197 mm
