mouse_id,timepoint,scan_id,dice,predicted_brain_volume_mm3,change_from_previous_percent,large_volume_change_flag
mouse-30,20190510,POLYIC_20190510_mouse30__E2_P1,0.8976460651829608,495.2042066152154,,False
mouse-30,20190517,POLYIC_20190517_mouse30__E3_P1,0.8486644381804824,590.9640264181498,19.337440700971655,False
mouse-30,20190618,POLYIC_20190618_mouse30__E3_P1,0.8756842879370993,536.4479040756192,-9.224947696555136,False
mouse-30,20190628,POLYIC_20190628_mouse30__E4_P1,0.8870949536211348,520.999829202885,-2.879697125362725,False
mouse-31,20190510,POLYIC_20190510_mouse31__E2_P1,0.9078157652801214,515.2840998182919,,False
mouse-31,20190517,POLYIC_20190517_mouse31__E3_P1,0.8171244551047819,594.2839822889557,15.331325476280378,False
mouse-31,20190618,POLYIC_20190618_mouse31__E3_P1,0.9016734033992856,531.812142643098,-10.512119038652186,False
mouse-31,20190628,POLYIC_20190628_mouse31__E3_P1,0.8809244773969123,560.6360250623826,5.419936873955217,False
mouse-32,20190510,POLYIC_20190510_mouse32__E2_P1,0.8699253502454268,566.7154342033094,,False
mouse-32,20190517,POLYIC_20190517_mouse32__E3_P1,0.9106084627305745,529.8599842089407,-6.503343260128479,False
mouse-32,20190618,POLYIC_20190618_mouse32__E3_P1,0.911735172599066,516.4197537517471,-2.5365626500856275,False
mouse-32,20190628,POLYIC_20190628_mouse32__E3_P1,0.9189469695755034,513.6441377700605,-0.5374728525626528,False
mouse-33,20190517,POLYIC_20190517_mouse33__E2_P1,0.8437628458559777,573.2480256261829,,False
mouse-33,20190618,POLYIC_20190618_mouse33__E3_P1,0.9084821428609827,507.24013605237377,-11.514717299149163,False
mouse-33,20190628,POLYIC_20190628_mouse33__E3_P1,0.9201351334455213,503.71602251786027,-0.6947623588977254,False
mouse-34,20190510,POLYIC_20190510_mouse34__E2_P1,0.9121619531975699,485.63591316151326,,False
mouse-34,20190618,POLYIC_20190618_mouse34__E3_P1,0.8868881291344682,532.5482221963468,9.659975253772354,False
mouse-34,20190628,POLYIC_20190628_mouse34__E6_P1,0.8913023840266693,527.7642988432732,-0.898308012999027,False
mouse-35,20190510,POLYIC_20190510_mouse35__E3_P1,0.9125170443795624,495.396095965686,,False
mouse-35,20190517,POLYIC_20190517_mouse35__E2_P1,0.8825339554385556,553.0879835166922,11.645608033819125,False
mouse-35,20190618,POLYIC_20190618_mouse35__E3_P1,0.869619754441708,549.5761064611702,-0.6349581188136724,False
mouse-35,20190628,POLYIC_20190628_mouse35__E3_P1,0.896309005327274,542.0718626824573,-1.3654603412499462,False
mouse-36,20190517,POLYIC_20190517_mouse36__E2_P1,0.8924416552307338,555.7319420326331,,False
mouse-36,20190618,POLYIC_20190618_mouse36__E3_P1,0.8831596657156521,557.6078172018471,0.33755035968470354,False
mouse-36,20190628,POLYIC_20190628_mouse36__E3_P1,0.9177095364570723,533.5280238505605,-4.318410289174612,False
mouse-37,20190510,POLYIC_20190510_mouse37__E2_P1,0.8619864074536017,613.3316618437067,,False
