slice_index,dice,iou,false_positives,false_negatives,error,brain_voxels,brain_position,expert_foreground_present,prediction_foreground_present
0,0.2883742052679382,0.16847970283894934,3134,0,3134,635,first 20%,True,True
1,0.5938395415472779,0.42231278655119714,2268,0,2268,1658,first 20%,True,True
2,0.744991184484693,0.5936143039591315,1591,0,1591,2324,first 20%,True,True
3,0.7842163355408388,0.6450295052201543,1564,0,1564,2842,first 20%,True,True
4,0.8083009079118029,0.6782760121898128,1463,15,1478,3131,first 20%,True,True
5,0.8116299125292595,0.682977399958532,1521,8,1529,3302,first 20%,True,True
6,0.8103211009174311,0.6811258916522075,1482,172,1654,3705,first 20%,True,True
7,0.7979455797180636,0.6638181818181819,1678,171,1849,3822,middle 60%,True,True
8,0.8273533136344449,0.7055435565154787,1590,46,1636,3966,middle 60%,True,True
9,0.8440698374473209,0.7302083333333333,1537,17,1554,4223,middle 60%,True,True
10,0.8673979984603541,0.7658453695836873,1333,45,1378,4552,middle 60%,True,True
11,0.8898795409276297,0.8016062884483938,1113,48,1161,4739,middle 60%,True,True
12,0.9135058823529412,0.8407830907830908,866,53,919,4906,middle 60%,True,True
13,0.9339446107784432,0.8760751272599614,628,78,706,5069,middle 60%,True,True
14,0.9402943106195519,0.8873164691314346,546,91,637,5107,middle 60%,True,True
15,0.9367065317387304,0.8809482609448002,599,89,688,5180,middle 60%,True,True
16,0.9380579843534285,0.8833420003466805,609,64,673,5160,middle 60%,True,True
17,0.9418089220032066,0.890017825311943,564,53,617,5046,middle 60%,True,True
18,0.9449168921530731,0.8955852720278439,520,50,570,4939,middle 60%,True,True
19,0.9453996983408748,0.8964530892448512,498,45,543,4746,middle 60%,True,True
20,0.9357914812460267,0.8793309438470729,541,65,606,4481,middle 60%,True,True
21,0.9283322170127261,0.86625,580,62,642,4220,middle 60%,True,True
22,0.9287159347851958,0.8669184625638747,555,44,599,3946,middle 60%,True,True
23,0.9350949204720369,0.8781016622500603,470,36,506,3681,middle 60%,True,True
24,0.9293014139717206,0.867939330543933,457,48,505,3367,middle 60%,True,True
25,0.924724409448819,0.8599882835383714,432,46,478,2982,middle 60%,True,True
26,0.8808812546676624,0.7871204537871205,567,71,638,2430,middle 60%,True,True
27,0.8271521690267476,0.7052510540436949,605,164,769,2004,middle 60%,True,True
28,0.8119841027208805,0.6834791559444159,564,51,615,1379,last 20%,True,True
29,0.8371703641691084,0.7199424046076314,383,6,389,1006,last 20%,True,True
30,0.9025239338555265,0.8223632038065027,167,57,224,1094,last 20%,True,True
31,0.8990566037735849,0.81662382176521,130,84,214,1037,last 20%,True,True
32,0.8687323943661972,0.7679282868525896,118,115,233,886,last 20%,True,True
33,0.8180574555403557,0.6921296296296297,189,77,266,675,last 20%,True,True
34,0.7293318233295584,0.5739750445632799,226,13,239,335,last 20%,True,True
