slice_index,dice,iou,false_positives,false_negatives,error,brain_voxels,brain_position,expert_foreground_present,prediction_foreground_present
0,0.9130888232226665,0.8400767631536862,1000,0,1000,5253,first 20%,True,True
1,0.939860375136681,0.8865439543002221,711,4,715,5591,first 20%,True,True
2,0.9482496194824962,0.9015918958031838,605,7,612,5614,first 20%,True,True
3,0.9434370321078024,0.8929302472051646,664,16,680,5687,first 20%,True,True
4,0.9442271722496174,0.8943469157674344,636,20,656,5573,first 20%,True,True
5,0.9410729991204925,0.8887043189368771,655,15,670,5365,middle 60%,True,True
6,0.9359031824294038,0.8795282224094355,704,11,715,5231,middle 60%,True,True
7,0.9272727272727272,0.864406779661017,763,13,776,4960,middle 60%,True,True
8,0.925414364640884,0.8611825192802056,742,14,756,4704,middle 60%,True,True
9,0.9222636815920398,0.8557414887478362,729,21,750,4470,middle 60%,True,True
10,0.9251700680272109,0.8607594936708861,651,9,660,4089,middle 60%,True,True
11,0.9329290479078229,0.8742896112752898,536,17,553,3863,middle 60%,True,True
12,0.9258805929552564,0.8619903773107116,522,23,545,3427,middle 60%,True,True
13,0.9151314753582113,0.8435413642960813,499,40,539,2946,middle 60%,True,True
14,0.8982120729332626,0.8152313624678663,557,18,575,2555,middle 60%,True,True
15,0.8719590268886044,0.7729852440408627,575,25,600,2068,middle 60%,True,True
16,0.8952991452991453,0.8104448742746615,353,39,392,1715,middle 60%,True,True
17,0.8795976108142094,0.7850729517396184,326,57,383,1456,middle 60%,True,True
18,0.905144694533762,0.8267254038179148,117,119,236,1245,middle 60%,True,True
19,0.8879537085744345,0.7984862819299905,42,171,213,1015,last 20%,True,True
20,0.8403361344537815,0.7246376811594203,12,254,266,954,last 20%,True,True
21,0.736936936936937,0.5834522111269614,33,259,292,668,last 20%,True,True
22,0.4976671850699845,0.33126293995859213,16,307,323,467,last 20%,True,True
23,0.0,0.0,22,225,247,225,last 20%,True,True
24,0.0,0.0,28,0,28,0,empty expert,False,True
25,0.0,0.0,30,0,30,0,empty expert,False,True
26,0.0,0.0,34,0,34,0,empty expert,False,True
27,0.0,0.0,36,0,36,0,empty expert,False,True
28,0.0,0.0,38,0,38,0,empty expert,False,True
29,0.0,0.0,42,0,42,0,empty expert,False,True
30,0.0,0.0,52,0,52,0,empty expert,False,True
31,0.0,0.0,48,0,48,0,empty expert,False,True
32,0.0,0.0,36,0,36,0,empty expert,False,True
33,1.0,1.0,0,0,0,0,empty expert,False,False
34,0.0,0.0,48,0,48,0,empty expert,False,True
