slice_index,dice,iou,false_positives,false_negatives,error,brain_voxels,brain_position,expert_foreground_present,prediction_foreground_present
0,0.3243574051407589,0.19357195032870708,3312,0,3312,795,first 20%,True,True
1,0.6248636859323882,0.4544012688342585,2064,0,2064,1719,first 20%,True,True
2,0.7645801526717557,0.6188828472565496,1542,0,1542,2504,first 20%,True,True
3,0.8106916505924497,0.6816496756255792,1331,43,1374,2985,first 20%,True,True
4,0.8415881025096269,0.7265016047684548,1090,103,1193,3272,first 20%,True,True
5,0.8449582530507386,0.7315391459074733,1076,131,1207,3420,first 20%,True,True
6,0.8448296911244049,0.7313464383851195,989,282,1271,3742,first 20%,True,True
7,0.8408539543910722,0.7254081205525325,1075,237,1312,3703,middle 60%,True,True
8,0.8532120788154366,0.7440016266775111,1163,96,1259,3755,middle 60%,True,True
9,0.8608724029152616,0.7557295645530939,1199,80,1279,4037,middle 60%,True,True
10,0.8775824853530682,0.7818681318681319,1100,91,1191,4360,middle 60%,True,True
11,0.8947473139673697,0.8095409540954095,927,131,1058,4628,middle 60%,True,True
12,0.9044045032589374,0.8254912565350639,858,110,968,4689,middle 60%,True,True
13,0.9318727779379264,0.8724361281036344,617,92,709,4941,middle 60%,True,True
14,0.9424331222232725,0.8911333571683947,519,90,609,5075,middle 60%,True,True
15,0.9594405594405594,0.9220430107526881,351,84,435,5229,middle 60%,True,True
16,0.9549316586627262,0.9137504418522446,407,81,488,5251,middle 60%,True,True
17,0.9596437517394935,0.922418405564473,354,81,435,5253,middle 60%,True,True
18,0.9600075279947304,0.923090843286283,344,81,425,5182,middle 60%,True,True
19,0.9615683229813664,0.925981308411215,308,88,396,5042,middle 60%,True,True
20,0.9481630598892803,0.9014354066985646,429,86,515,4796,middle 60%,True,True
21,0.9395789473684211,0.886043279729998,483,91,574,4554,middle 60%,True,True
22,0.9299462846911369,0.8690650491528968,544,82,626,4237,middle 60%,True,True
23,0.9334140435835351,0.8751418842224744,451,99,550,3954,middle 60%,True,True
24,0.9316295613226189,0.8720098643649815,439,80,519,3616,middle 60%,True,True
25,0.9453032104637337,0.8962795941375423,269,99,368,3279,middle 60%,True,True
26,0.9373919059149083,0.8821614583333334,242,120,362,2830,middle 60%,True,True
27,0.8938325991189427,0.8080446037435285,341,141,482,2170,middle 60%,True,True
28,0.8777318369757826,0.7821052631578947,359,55,414,1541,middle 60%,True,True
29,0.8819657744624836,0.7888540031397174,231,38,269,1043,last 20%,True,True
30,0.9279854147675478,0.8656462585034014,94,64,158,1082,last 20%,True,True
31,0.9168692270296548,0.8464991023339318,55,116,171,1059,last 20%,True,True
32,0.8833609729132117,0.7910891089108911,56,155,211,954,last 20%,True,True
33,0.8409240924092409,0.7255125284738041,44,197,241,834,last 20%,True,True
34,0.7378104875804968,0.5845481049562682,97,188,285,589,last 20%,True,True
35,0.6678899082568808,0.5013774104683195,64,117,181,299,last 20%,True,True
36,1.0,1.0,0,0,0,0,empty expert,False,False
37,1.0,1.0,0,0,0,0,empty expert,False,False
