slice_index,dice,iou,false_positives,false_negatives,error,brain_voxels,brain_position,expert_foreground_present,prediction_foreground_present
0,0.3686667819470863,0.22599109603561585,3651,0,3651,1066,first 20%,True,True
1,0.7721863311798708,0.6289116588202714,1340,0,1340,2271,first 20%,True,True
2,0.8155423949154991,0.6885365853658536,1232,45,1277,2868,first 20%,True,True
3,0.8526713437668646,0.7431796801505174,1002,90,1092,3250,first 20%,True,True
4,0.8602732663057489,0.7548066048405339,927,157,1084,3494,first 20%,True,True
5,0.8546577587293583,0.7462029495927801,954,199,1153,3589,first 20%,True,True
6,0.8366390191128742,0.7191568505889646,1090,269,1359,3749,first 20%,True,True
7,0.8524590163934426,0.7428571428571429,1110,195,1305,3965,middle 60%,True,True
8,0.8536069388618575,0.7446023251522421,1288,96,1384,4131,middle 60%,True,True
9,0.8689349708073284,0.7682449270202919,1239,63,1302,4379,middle 60%,True,True
10,0.8720636769559309,0.7731497418244406,1251,67,1318,4559,middle 60%,True,True
11,0.885708722741433,0.7948628341778787,1112,62,1174,4611,middle 60%,True,True
12,0.8924038643682516,0.805712331109971,1060,76,1136,4787,middle 60%,True,True
13,0.9054229131963724,0.8271897193101116,954,68,1022,4960,middle 60%,True,True
14,0.911143481427531,0.8367892976588629,900,76,976,5080,middle 60%,True,True
15,0.9247686245761936,0.8600647690472132,731,90,821,5136,middle 60%,True,True
16,0.9357593761604159,0.8792742498255408,618,74,692,5114,middle 60%,True,True
17,0.9471864797388131,0.8996716526815031,475,75,550,5007,middle 60%,True,True
18,0.9667565139263252,0.9356521739130435,262,71,333,4913,middle 60%,True,True
19,0.9720565149136577,0.9456322541233965,183,84,267,4728,middle 60%,True,True
20,0.9701427003293085,0.9420166275847367,184,88,272,4507,middle 60%,True,True
21,0.9636786961583236,0.9299033924960683,219,93,312,4232,middle 60%,True,True
22,0.9604365620736699,0.9238845144356955,228,91,319,3963,middle 60%,True,True
23,0.9618341200269723,0.9264744089373863,191,92,283,3658,middle 60%,True,True
24,0.9554083885209713,0.9146238377007607,172,131,303,3377,middle 60%,True,True
25,0.9354946524064172,0.878806907378336,227,159,386,2958,middle 60%,True,True
26,0.9126253325148352,0.8392924350771547,250,177,427,2407,middle 60%,True,True
27,0.8729989327641409,0.7746212121212122,341,135,476,1771,middle 60%,True,True
28,0.8573508005822417,0.7503184713375797,287,105,392,1283,last 20%,True,True
29,0.911508482347547,0.8374052232518955,151,42,193,1036,last 20%,True,True
30,0.9171009000473709,0.8468941382327209,40,135,175,1103,last 20%,True,True
31,0.8787234042553191,0.7836812144212524,31,197,228,1023,last 20%,True,True
32,0.8079734219269104,0.6778149386845039,16,273,289,881,last 20%,True,True
33,0.6790697674418604,0.5140845070422535,42,303,345,668,last 20%,True,True
34,0.5465346534653466,0.3760217983651226,38,191,229,329,last 20%,True,True
35,1.0,1.0,0,0,0,0,empty expert,False,False
36,1.0,1.0,0,0,0,0,empty expert,False,False
37,1.0,1.0,0,0,0,0,empty expert,False,False
