slice_index,dice,iou,false_positives,false_negatives,error,brain_voxels,brain_position,expert_foreground_present,prediction_foreground_present
0,0.24314167606163098,0.1383957219251337,4028,0,4028,647,first 20%,True,True
1,0.6743362831858407,0.5086782376502003,1840,0,1840,1905,first 20%,True,True
2,0.8018839258584017,0.6692873446614254,1304,0,1304,2639,first 20%,True,True
3,0.835484756934908,0.7174528301886792,1174,24,1198,3066,first 20%,True,True
4,0.8623083977466265,0.757945647167204,980,71,1051,3362,first 20%,True,True
5,0.8751774880598941,0.7780582969933441,873,94,967,3484,first 20%,True,True
6,0.8733613653227801,0.7751920965971459,801,223,1024,3754,first 20%,True,True
7,0.8560832635482714,0.7483790002091613,991,212,1203,3790,middle 60%,True,True
8,0.8766122588745577,0.7803292013818329,1052,29,1081,3869,middle 60%,True,True
9,0.8669057160936511,0.7650781831720029,1186,76,1262,4186,middle 60%,True,True
10,0.8766409459865718,0.7803746654772524,1125,106,1231,4480,middle 60%,True,True
11,0.8815571776155717,0.78820048729551,1117,100,1217,4629,middle 60%,True,True
12,0.8945951144450855,0.8092918044196973,1009,87,1096,4738,middle 60%,True,True
13,0.9147872039256393,0.8429565217391304,840,63,903,4910,middle 60%,True,True
14,0.9340669588734496,0.8762904636920384,655,52,707,5060,middle 60%,True,True
15,0.950328369253538,0.9053577722946775,487,50,537,5187,middle 60%,True,True
16,0.9522666420459791,0.9088826224885442,479,38,517,5195,middle 60%,True,True
17,0.965121744852872,0.932594476744186,321,50,371,5183,middle 60%,True,True
18,0.9648116274622299,0.9320155181969333,322,46,368,5091,middle 60%,True,True
19,0.9615800334086666,0.9260030280090841,342,49,391,4942,middle 60%,True,True
20,0.9274725274725275,0.8647540983606558,667,59,726,4701,middle 60%,True,True
21,0.8972595709740326,0.8136634400595681,929,72,1001,4443,middle 60%,True,True
22,0.8654421187526699,0.7628012048192772,1196,64,1260,4116,middle 60%,True,True
23,0.8469982078853047,0.7346026811734991,1282,84,1366,3865,middle 60%,True,True
24,0.8370468505359508,0.7197597348798674,1291,62,1353,3537,middle 60%,True,True
25,0.8337117670629091,0.7148419606046724,1156,89,1245,3210,middle 60%,True,True
26,0.8377868594781516,0.720854747092237,910,122,1032,2787,middle 60%,True,True
27,0.8244635193133047,0.701350857977364,711,107,818,2028,middle 60%,True,True
28,0.8753213367609255,0.7782857142857142,313,75,388,1437,middle 60%,True,True
29,0.8922800718132855,0.8055105348460292,195,45,240,1039,last 20%,True,True
30,0.9052924791086351,0.8269720101781171,98,106,204,1081,last 20%,True,True
31,0.8961364776718515,0.8118181818181818,40,167,207,1060,last 20%,True,True
32,0.8476977567886659,0.735655737704918,30,228,258,946,last 20%,True,True
33,0.7679762787249814,0.6233453670276775,35,278,313,796,last 20%,True,True
34,0.6569832402234637,0.4891846921797005,97,210,307,504,last 20%,True,True
35,0.37119113573407203,0.22789115646258504,14,213,227,280,last 20%,True,True
36,1.0,1.0,0,0,0,0,empty expert,False,False
37,1.0,1.0,0,0,0,0,empty expert,False,False
