slice_index,dice,iou,false_positives,false_negatives,error,brain_voxels,brain_position,expert_foreground_present,prediction_foreground_present
0,0.3807214307365868,0.23511793335829279,2043,0,2043,628,first 20%,True,True
1,0.5536415835599879,0.3827831174258253,1477,0,1477,916,first 20%,True,True
2,0.6765327695560254,0.5111821086261981,1530,0,1530,1600,first 20%,True,True
3,0.8145188145188145,0.6870786516853933,1114,0,1114,2446,first 20%,True,True
4,0.873520604591473,0.7754430379746835,846,41,887,3104,first 20%,True,True
5,0.8858745271944698,0.795129946148443,746,129,875,3525,first 20%,True,True
6,0.8909412955465587,0.8033310517910107,721,141,862,3662,first 20%,True,True
7,0.8771469465648855,0.7811769704695135,741,289,1030,3966,middle 60%,True,True
8,0.8715277777777778,0.7723076923076924,841,269,1110,4034,middle 60%,True,True
9,0.8770343580470162,0.7809983896940419,918,170,1088,4050,middle 60%,True,True
10,0.8895833333333333,0.801125703564728,976,84,1060,4354,middle 60%,True,True
11,0.8934653465346535,0.807444523979957,974,102,1076,4614,middle 60%,True,True
12,0.9044635110382724,0.8255895811334037,890,101,991,4792,middle 60%,True,True
13,0.9168732125834128,0.8465058968491462,775,97,872,4906,middle 60%,True,True
14,0.9345776948203454,0.8771899088997898,609,92,701,5099,middle 60%,True,True
15,0.9447706422018348,0.8953225525995478,513,89,602,5238,middle 60%,True,True
16,0.9588299024918743,0.9209157127991675,403,53,456,5363,middle 60%,True,True
17,0.9686911276576657,0.9392832289491997,305,44,349,5443,middle 60%,True,True
18,0.9748337228114327,0.950903033491145,227,53,280,5476,middle 60%,True,True
19,0.9761904761904762,0.9534883720930233,218,44,262,5415,middle 60%,True,True
20,0.9700091996320147,0.9417649160414434,274,52,326,5324,middle 60%,True,True
21,0.950286627196692,0.9052820053715309,463,66,529,5122,middle 60%,True,True
22,0.9184220605132133,0.8491501416430595,789,63,852,4859,middle 60%,True,True
23,0.9011475739883229,0.8200806156101136,940,42,982,4518,middle 60%,True,True
24,0.8830726673050324,0.7906267860544866,1055,44,1099,4194,middle 60%,True,True
25,0.8728020095912309,0.7743111831442464,1059,55,1114,3877,middle 60%,True,True
26,0.8651209174769384,0.7623022847100176,1015,67,1082,3537,middle 60%,True,True
27,0.8625578703703703,0.7583312134316967,879,71,950,3052,middle 60%,True,True
28,0.842198268245273,0.7274114774114774,838,55,893,2438,middle 60%,True,True
29,0.7976108430967149,0.6633549866259075,840,41,881,1777,middle 60%,True,True
30,0.7542966263526416,0.6055186509964231,709,63,772,1248,last 20%,True,True
31,0.8619991906110887,0.7574679943100996,304,37,341,1102,last 20%,True,True
32,0.9235500878734623,0.8579591836734693,86,88,174,1139,last 20%,True,True
33,0.930164888457808,0.8694469628286491,39,105,144,1064,last 20%,True,True
34,0.9196067090803933,0.8511777301927195,23,116,139,911,last 20%,True,True
35,0.8681925808997633,0.7670850767085077,61,106,167,656,last 20%,True,True
36,0.8466757123473542,0.7341176470588235,59,54,113,366,last 20%,True,True
37,1.0,1.0,0,0,0,0,empty expert,False,False
