subject,image_path,mask_path
20190319CH_Exp4_M2,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190319CH_Exp4_M2/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190319CH_Exp4_M2/masklesion_manual.nii
20170714CH_Exp7_ZFPtm1a_M26,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170714CH_Exp7_ZFPtm1a_M26/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170714CH_Exp7_ZFPtm1a_M26/masklesion_manual.nii
20180711CH_Exp8_M17,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20180711CH_Exp8_M17/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20180711CH_Exp8_M17/masklesion_manual.nii
20170928CH_Exp8_M27,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170928CH_Exp8_M27/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170928CH_Exp8_M27/masklesion_manual.nii
20170920CH_Exp09_M03,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170920CH_Exp09_M03/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170920CH_Exp09_M03/masklesion_manual.nii
20191029CH_Exp8_M05,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20191029CH_Exp8_M05/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20191029CH_Exp8_M05/masklesion_manual.nii
20190219CH_Exp1_M4,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190219CH_Exp1_M4/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190219CH_Exp1_M4/masklesion_manual.nii
20170927CH_Exp8_M16,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170927CH_Exp8_M16/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170927CH_Exp8_M16/masklesion_manual.nii
20170712CH_Exp7_ZFPtm1a_M11,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170712CH_Exp7_ZFPtm1a_M11/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170712CH_Exp7_ZFPtm1a_M11/masklesion_manual.nii
20170628CH_Exp6_ZFPtm1a_M13,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170628CH_Exp6_ZFPtm1a_M13/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170628CH_Exp6_ZFPtm1a_M13/masklesion_manual.nii
20190206CH_Exp2_M40,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190206CH_Exp2_M40/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190206CH_Exp2_M40/masklesion_manual.nii
20190821CH_Exp14_Senp7_M16,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190821CH_Exp14_Senp7_M16/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190821CH_Exp14_Senp7_M16/masklesion_manual.nii
20190821CH_Exp14_NEX_M08,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190821CH_Exp14_NEX_M08/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190821CH_Exp14_NEX_M08/masklesion_manual.nii
20170628CH_Exp6_ZFPtm1a_M16,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170628CH_Exp6_ZFPtm1a_M16/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170628CH_Exp6_ZFPtm1a_M16/masklesion_manual.nii
