corruption,severity,within_training_envelope,clean_dice,corrupted_dice,dice_delta,subject
noise,0.05,True,0.9654980202206589,0.9597902264600715,-0.005707793760587387,POLYIC_20190510_mouse34__E2_P1
noise,0.1,True,0.9654980202206589,0.9525078932940086,-0.012990126926650247,POLYIC_20190510_mouse34__E2_P1
noise,0.2,False,0.9654980202206589,0.9462721893491124,-0.0192258308715465,POLYIC_20190510_mouse34__E2_P1
noise,0.4,False,0.9654980202206589,0.8029552514482411,-0.1625427687724178,POLYIC_20190510_mouse34__E2_P1
blur,0.5,True,0.9654980202206589,0.9568742878845423,-0.008623732336116574,POLYIC_20190510_mouse34__E2_P1
blur,1.0,True,0.9654980202206589,0.9182182846851435,-0.047279735535515344,POLYIC_20190510_mouse34__E2_P1
blur,2.0,False,0.9654980202206589,0.6762879969997522,-0.2892100232209067,POLYIC_20190510_mouse34__E2_P1
blur,4.0,False,0.9654980202206589,0.4100912550308042,-0.5554067651898547,POLYIC_20190510_mouse34__E2_P1
intensity,0.1,True,0.9654980202206589,0.9667225142989196,0.0012244940782607516,POLYIC_20190510_mouse34__E2_P1
intensity,0.25,True,0.9654980202206589,0.9698352000310577,0.004337179810398828,POLYIC_20190510_mouse34__E2_P1
intensity,0.5,False,0.9654980202206589,0.9588504869199924,-0.006647533300666475,POLYIC_20190510_mouse34__E2_P1
intensity,0.75,False,0.9654980202206589,0.9662712078147584,0.0007731875940995003,POLYIC_20190510_mouse34__E2_P1
noise,0.05,True,0.9702737964501262,0.9643036701860231,-0.005970126264103093,POLYIC_20190510_mouse35__E3_P1
noise,0.1,True,0.9702737964501262,0.9571053992170766,-0.013168397233049633,POLYIC_20190510_mouse35__E3_P1
noise,0.2,False,0.9702737964501262,0.947547715282701,-0.02272608116742525,POLYIC_20190510_mouse35__E3_P1
noise,0.4,False,0.9702737964501262,0.8061050408221293,-0.16416875562799693,POLYIC_20190510_mouse35__E3_P1
blur,0.5,True,0.9702737964501262,0.9607703214924516,-0.009503474957674674,POLYIC_20190510_mouse35__E3_P1
blur,1.0,True,0.9702737964501262,0.9180014682079902,-0.05227232824213601,POLYIC_20190510_mouse35__E3_P1
blur,2.0,False,0.9702737964501262,0.6796261388627082,-0.29064765758741806,POLYIC_20190510_mouse35__E3_P1
