corruption,severity,within_training_envelope,clean_dice,corrupted_dice,dice_delta,subject
noise,0.05,True,0.8766783722371411,0.8731988472622478,-0.0034795249748932333,20170222CH_Exp3_zfp_M03
noise,0.1,True,0.8766783722371411,0.8709611031076353,-0.005717269129505764,20170222CH_Exp3_zfp_M03
noise,0.2,False,0.8766783722371411,0.7977613838717883,-0.07891698836535277,20170222CH_Exp3_zfp_M03
noise,0.4,False,0.8766783722371411,0.6240176960242156,-0.25266067621292543,20170222CH_Exp3_zfp_M03
blur,0.5,True,0.8766783722371411,0.8768574573472757,0.0001790851101346469,20170222CH_Exp3_zfp_M03
blur,1.0,True,0.8766783722371411,0.8762697516930023,-0.00040862054413881577,20170222CH_Exp3_zfp_M03
blur,2.0,False,0.8766783722371411,0.18978192567829008,-0.686896446558851,20170222CH_Exp3_zfp_M03
blur,4.0,False,0.8766783722371411,0.0495771768423009,-0.8271011953948402,20170222CH_Exp3_zfp_M03
intensity,0.1,True,0.8766783722371411,0.8570467541204171,-0.01963161811672398,20170222CH_Exp3_zfp_M03
intensity,0.25,True,0.8766783722371411,0.8018375180920018,-0.0748408541451393,20170222CH_Exp3_zfp_M03
intensity,0.5,False,0.8766783722371411,0.9139751552795031,0.03729678304236206,20170222CH_Exp3_zfp_M03
intensity,0.75,False,0.8766783722371411,0.9220111731843575,0.04533280094721648,20170222CH_Exp3_zfp_M03
noise,0.05,True,0.8974504249291785,0.8947092260603411,-0.002741198868837391,20170222CH_Exp3_zfp_M08
noise,0.1,True,0.8974504249291785,0.8883048620236531,-0.009145562905525373,20170222CH_Exp3_zfp_M08
noise,0.2,False,0.8974504249291785,0.8282996136429729,-0.0691508112862056,20170222CH_Exp3_zfp_M08
noise,0.4,False,0.8974504249291785,0.6765810774176059,-0.2208693475115726,20170222CH_Exp3_zfp_M08
blur,0.5,True,0.8974504249291785,0.8995705175480456,0.002120092618867142,20170222CH_Exp3_zfp_M08
blur,1.0,True,0.8974504249291785,0.8515808839258974,-0.04586954100328111,20170222CH_Exp3_zfp_M08
blur,2.0,False,0.8974504249291785,0.2462158217848054,-0.6512346031443731,20170222CH_Exp3_zfp_M08
blur,4.0,False,0.8974504249291785,0.09150081788440567,-0.8059496070447728,20170222CH_Exp3_zfp_M08
intensity,0.1,True,0.8974504249291785,0.8982710443590639,0.0008206194298854275,20170222CH_Exp3_zfp_M08
intensity,0.25,True,0.8974504249291785,0.9046403099410055,0.007189885011827046,20170222CH_Exp3_zfp_M08
intensity,0.5,False,0.8974504249291785,0.8765261914139425,-0.02092423351523598,20170222CH_Exp3_zfp_M08
intensity,0.75,False,0.8974504249291785,0.7685966331522786,-0.12885379177689993,20170222CH_Exp3_zfp_M08
noise,0.05,True,0.09988649262202043,0.033783783783783786,-0.06610270883823664,20170404CH_SC_M05
noise,0.1,True,0.09988649262202043,0.0074487895716946,-0.09243770305032582,20170404CH_SC_M05
noise,0.2,False,0.09988649262202043,0.0004935834155972359,-0.0993929092064232,20170404CH_SC_M05
noise,0.4,False,0.09988649262202043,0.00032605151613955004,-0.09956044110588087,20170404CH_SC_M05
blur,0.5,True,0.09988649262202043,0.04716379859783301,-0.052722694024187416,20170404CH_SC_M05
blur,1.0,True,0.09988649262202043,0.009763617677286743,-0.09012287494473369,20170404CH_SC_M05
blur,2.0,False,0.09988649262202043,0.0010181296495551469,-0.09886836297246528,20170404CH_SC_M05
blur,4.0,False,0.09988649262202043,0.00045236806604573765,-0.0994341245559747,20170404CH_SC_M05
intensity,0.1,True,0.09988649262202043,0.24550898203592814,0.1456224894139077,20170404CH_SC_M05
intensity,0.25,True,0.09988649262202043,0.13946117274167988,0.03957468011965945,20170404CH_SC_M05
intensity,0.5,False,0.09988649262202043,0.006207737501385656,-0.09367875512063477,20170404CH_SC_M05
intensity,0.75,False,0.09988649262202043,0.0035600762873490145,-0.09632641633467141,20170404CH_SC_M05
noise,0.05,True,0.7355950457727517,0.7268862911795961,-0.008708754593155565,20170405CH_SC_M16
noise,0.1,True,0.7355950457727517,0.5940246045694201,-0.14157044120333162,20170405CH_SC_M16
noise,0.2,False,0.7355950457727517,0.2663628831814416,-0.4692321625913101,20170405CH_SC_M16
noise,0.4,False,0.7355950457727517,0.11288963774220724,-0.6227054080305444,20170405CH_SC_M16
blur,0.5,True,0.7355950457727517,0.6483672503549456,-0.08722779541780612,20170405CH_SC_M16
blur,1.0,True,0.7355950457727517,0.45375335120643434,-0.28184169456631736,20170405CH_SC_M16
blur,2.0,False,0.7355950457727517,0.019860370322188976,-0.7157346754505627,20170405CH_SC_M16
blur,4.0,False,0.7355950457727517,0.005613478886128905,-0.7299815668866227,20170405CH_SC_M16
intensity,0.1,True,0.7355950457727517,0.7866205305651672,0.05102548479241553,20170405CH_SC_M16
intensity,0.25,True,0.7355950457727517,0.7615857063093244,0.02599066053657273,20170405CH_SC_M16
intensity,0.5,False,0.7355950457727517,0.7372380440623321,0.0016429982895803663,20170405CH_SC_M16
intensity,0.75,False,0.7355950457727517,0.08158175988599929,-0.6540132858867524,20170405CH_SC_M16
noise,0.05,True,0.8795508060134034,0.8777056277056277,-0.0018451783077757522,20170628CH_Exp6_ZFPtm1a_M12
noise,0.1,True,0.8795508060134034,0.8528156248172621,-0.026735181196141267,20170628CH_Exp6_ZFPtm1a_M12
noise,0.2,False,0.8795508060134034,0.7232116207342553,-0.15633918527914814,20170628CH_Exp6_ZFPtm1a_M12
noise,0.4,False,0.8795508060134034,0.6473494842887982,-0.23220132172460517,20170628CH_Exp6_ZFPtm1a_M12
blur,0.5,True,0.8795508060134034,0.8723035554227666,-0.0072472505906368,20170628CH_Exp6_ZFPtm1a_M12
blur,1.0,True,0.8795508060134034,0.6931867918105334,-0.18636401420286997,20170628CH_Exp6_ZFPtm1a_M12
blur,2.0,False,0.8795508060134034,0.13033012694374022,-0.7492206790696632,20170628CH_Exp6_ZFPtm1a_M12
blur,4.0,False,0.8795508060134034,0.0570766344707834,-0.82247417154262,20170628CH_Exp6_ZFPtm1a_M12
intensity,0.1,True,0.8795508060134034,0.8733221476510067,-0.006228658362396722,20170628CH_Exp6_ZFPtm1a_M12
intensity,0.25,True,0.8795508060134034,0.7842568728522337,-0.09529393316116974,20170628CH_Exp6_ZFPtm1a_M12
intensity,0.5,False,0.8795508060134034,0.916883611657883,0.037332805644479605,20170628CH_Exp6_ZFPtm1a_M12
intensity,0.75,False,0.8795508060134034,0.3700532411219057,-0.5094975648914977,20170628CH_Exp6_ZFPtm1a_M12
noise,0.05,True,0.8859636571755616,0.8856060606060606,-0.00035759656950096197,20170628CH_Exp6_ZFPtm1a_M14
noise,0.1,True,0.8859636571755616,0.8866804822908817,0.0007168251153201188,20170628CH_Exp6_ZFPtm1a_M14
noise,0.2,False,0.8859636571755616,0.7987789366573391,-0.08718472051822246,20170628CH_Exp6_ZFPtm1a_M14
noise,0.4,False,0.8859636571755616,0.6544370912187004,-0.23152656595686116,20170628CH_Exp6_ZFPtm1a_M14
blur,0.5,True,0.8859636571755616,0.8745509680429204,-0.011412689132641152,20170628CH_Exp6_ZFPtm1a_M14
blur,1.0,True,0.8859636571755616,0.7396896856660503,-0.14627397150951127,20170628CH_Exp6_ZFPtm1a_M14
blur,2.0,False,0.8859636571755616,0.14871100332288698,-0.7372526538526746,20170628CH_Exp6_ZFPtm1a_M14
blur,4.0,False,0.8859636571755616,0.0814299900695134,-0.8045336671060481,20170628CH_Exp6_ZFPtm1a_M14
intensity,0.1,True,0.8859636571755616,0.8320218050731965,-0.05394185210236513,20170628CH_Exp6_ZFPtm1a_M14
intensity,0.25,True,0.8859636571755616,0.8832823649337411,-0.0026812922418204543,20170628CH_Exp6_ZFPtm1a_M14
intensity,0.5,False,0.8859636571755616,0.7499512309312941,-0.13601242624426746,20170628CH_Exp6_ZFPtm1a_M14
intensity,0.75,False,0.8859636571755616,0.6917981222894725,-0.19416553488608912,20170628CH_Exp6_ZFPtm1a_M14
noise,0.05,True,0.25741283805799936,0.250837721397798,-0.0065751166602013855,20170628CH_Exp6_ZFPtm1a_M18
noise,0.1,True,0.25741283805799936,0.22611972749673867,-0.03129311056126069,20170628CH_Exp6_ZFPtm1a_M18
noise,0.2,False,0.25741283805799936,0.13656269550451336,-0.120850142553486,20170628CH_Exp6_ZFPtm1a_M18
noise,0.4,False,0.25741283805799936,0.10951108045184099,-0.14790175760615837,20170628CH_Exp6_ZFPtm1a_M18
blur,0.5,True,0.25741283805799936,0.18530202126416637,-0.072110816793833,20170628CH_Exp6_ZFPtm1a_M18
blur,1.0,True,0.25741283805799936,0.12226320332731695,-0.13514963473068242,20170628CH_Exp6_ZFPtm1a_M18
blur,2.0,False,0.25741283805799936,0.015521645799539597,-0.24189119225845976,20170628CH_Exp6_ZFPtm1a_M18
blur,4.0,False,0.25741283805799936,0.007053927274009805,-0.25035891078398953,20170628CH_Exp6_ZFPtm1a_M18
intensity,0.1,True,0.25741283805799936,0.18131993605846083,-0.07609290199953853,20170628CH_Exp6_ZFPtm1a_M18
intensity,0.25,True,0.25741283805799936,0.3693314633006078,0.11191862524260843,20170628CH_Exp6_ZFPtm1a_M18
intensity,0.5,False,0.25741283805799936,0.08169934640522876,-0.17571349165277061,20170628CH_Exp6_ZFPtm1a_M18
intensity,0.75,False,0.25741283805799936,0.2741292670247791,0.016716428966779717,20170628CH_Exp6_ZFPtm1a_M18
noise,0.05,True,0.1768009768009768,0.17047327525311984,-0.006327701547856973,20170628CH_Exp6_ZFPtm1a_M21
noise,0.1,True,0.1768009768009768,0.14190513524108192,-0.03489584155989489,20170628CH_Exp6_ZFPtm1a_M21
noise,0.2,False,0.1768009768009768,0.092672,-0.0841289768009768,20170628CH_Exp6_ZFPtm1a_M21
noise,0.4,False,0.1768009768009768,0.10109440201558932,-0.07570657478538749,20170628CH_Exp6_ZFPtm1a_M21
blur,0.5,True,0.1768009768009768,0.13976833976833977,-0.03703263703263704,20170628CH_Exp6_ZFPtm1a_M21
blur,1.0,True,0.1768009768009768,0.10033351862145637,-0.07646745817952044,20170628CH_Exp6_ZFPtm1a_M21
blur,2.0,False,0.1768009768009768,0.01596331084358601,-0.1608376659573908,20170628CH_Exp6_ZFPtm1a_M21
blur,4.0,False,0.1768009768009768,0.006326763344970267,-0.17047421345600655,20170628CH_Exp6_ZFPtm1a_M21
intensity,0.1,True,0.1768009768009768,0.2130038246543101,0.036202847853333275,20170628CH_Exp6_ZFPtm1a_M21
intensity,0.25,True,0.1768009768009768,0.1270175438596491,-0.0497834329413277,20170628CH_Exp6_ZFPtm1a_M21
intensity,0.5,False,0.1768009768009768,0.04911971233759625,-0.12768126446338057,20170628CH_Exp6_ZFPtm1a_M21
intensity,0.75,False,0.1768009768009768,0.05128568392718,-0.1255152928737968,20170628CH_Exp6_ZFPtm1a_M21
noise,0.05,True,0.5440162271805273,0.5388115631691649,-0.0052046640113624365,20170629CH_Exp6_ZFPtm1a_M23
noise,0.1,True,0.5440162271805273,0.5158852165001281,-0.02813101068039925,20170629CH_Exp6_ZFPtm1a_M23
noise,0.2,False,0.5440162271805273,0.4129987659399424,-0.13101746124058494,20170629CH_Exp6_ZFPtm1a_M23
noise,0.4,False,0.5440162271805273,0.43244813760241735,-0.11156808957810999,20170629CH_Exp6_ZFPtm1a_M23
blur,0.5,True,0.5440162271805273,0.507061790668348,-0.036954436512179334,20170629CH_Exp6_ZFPtm1a_M23
blur,1.0,True,0.5440162271805273,0.4373739120410398,-0.10664231513948752,20170629CH_Exp6_ZFPtm1a_M23
blur,2.0,False,0.5440162271805273,0.08951143718311176,-0.45450478999741556,20170629CH_Exp6_ZFPtm1a_M23
blur,4.0,False,0.5440162271805273,0.03439388249752501,-0.5096223446830024,20170629CH_Exp6_ZFPtm1a_M23
intensity,0.1,True,0.5440162271805273,0.6161035777215965,0.07208735054106918,20170629CH_Exp6_ZFPtm1a_M23
intensity,0.25,True,0.5440162271805273,0.7418032786885246,0.19778705150799725,20170629CH_Exp6_ZFPtm1a_M23
intensity,0.5,False,0.5440162271805273,0.7686022760431864,0.2245860488626591,20170629CH_Exp6_ZFPtm1a_M23
intensity,0.75,False,0.5440162271805273,0.29388171807773644,-0.2501345091027909,20170629CH_Exp6_ZFPtm1a_M23
noise,0.05,True,0.4726059392726059,0.4616961311811427,-0.010909808091463191,20170629CH_Exp6_ZFPtm1a_M32
noise,0.1,True,0.4726059392726059,0.4214310564768642,-0.05117488279574173,20170629CH_Exp6_ZFPtm1a_M32
noise,0.2,False,0.4726059392726059,0.3534634146341463,-0.11914252463845959,20170629CH_Exp6_ZFPtm1a_M32
noise,0.4,False,0.4726059392726059,0.3403098025304481,-0.1322961367421578,20170629CH_Exp6_ZFPtm1a_M32
blur,0.5,True,0.4726059392726059,0.4249092963778029,-0.04769664289480302,20170629CH_Exp6_ZFPtm1a_M32
blur,1.0,True,0.4726059392726059,0.35657179405180683,-0.11603414522079908,20170629CH_Exp6_ZFPtm1a_M32
blur,2.0,False,0.4726059392726059,0.10996718357892027,-0.36263875569368564,20170629CH_Exp6_ZFPtm1a_M32
blur,4.0,False,0.4726059392726059,0.03242711651169281,-0.4401788227609131,20170629CH_Exp6_ZFPtm1a_M32
intensity,0.1,True,0.4726059392726059,0.5126676602086438,0.04006172093603794,20170629CH_Exp6_ZFPtm1a_M32
intensity,0.25,True,0.4726059392726059,0.47380776712053124,0.0012018278479253297,20170629CH_Exp6_ZFPtm1a_M32
intensity,0.5,False,0.4726059392726059,0.6222442407728511,0.1496383015002452,20170629CH_Exp6_ZFPtm1a_M32
intensity,0.75,False,0.4726059392726059,0.4749898332655551,0.002383893992949193,20170629CH_Exp6_ZFPtm1a_M32
noise,0.05,True,0.9270970235794357,0.9228922195112506,-0.004204804068185131,20170712CH_Exp7_ZFPtm1a_M06
noise,0.1,True,0.9270970235794357,0.9150936067738678,-0.012003416805567935,20170712CH_Exp7_ZFPtm1a_M06
noise,0.2,False,0.9270970235794357,0.8399941656942824,-0.08710285788515326,20170712CH_Exp7_ZFPtm1a_M06
noise,0.4,False,0.9270970235794357,0.6788119082612708,-0.24828511531816488,20170712CH_Exp7_ZFPtm1a_M06
blur,0.5,True,0.9270970235794357,0.930945503562488,0.0038484799830522665,20170712CH_Exp7_ZFPtm1a_M06
blur,1.0,True,0.9270970235794357,0.8760381658747634,-0.051058857704672334,20170712CH_Exp7_ZFPtm1a_M06
blur,2.0,False,0.9270970235794357,0.23570785965486218,-0.6913891639245735,20170712CH_Exp7_ZFPtm1a_M06
blur,4.0,False,0.9270970235794357,0.10402908536155642,-0.8230679382178793,20170712CH_Exp7_ZFPtm1a_M06
intensity,0.1,True,0.9270970235794357,0.9157625075346595,-0.0113345160447762,20170712CH_Exp7_ZFPtm1a_M06
intensity,0.25,True,0.9270970235794357,0.9146124719882543,-0.012484551591181337,20170712CH_Exp7_ZFPtm1a_M06
intensity,0.5,False,0.9270970235794357,0.8072011178630618,-0.11989590571637387,20170712CH_Exp7_ZFPtm1a_M06
intensity,0.75,False,0.9270970235794357,0.8558900295806507,-0.07120699399878494,20170712CH_Exp7_ZFPtm1a_M06
noise,0.05,True,0.9224066005376842,0.9211038059079545,-0.0013027946297297088,20170713CH_Exp7_ZFPtm1a_M14
noise,0.1,True,0.9224066005376842,0.9005662514156285,-0.02184034912205568,20170713CH_Exp7_ZFPtm1a_M14
noise,0.2,False,0.9224066005376842,0.806888671237349,-0.11551792930033522,20170713CH_Exp7_ZFPtm1a_M14
noise,0.4,False,0.9224066005376842,0.7258400926998841,-0.19656650783780005,20170713CH_Exp7_ZFPtm1a_M14
blur,0.5,True,0.9224066005376842,0.9207700851536468,-0.001636515384037418,20170713CH_Exp7_ZFPtm1a_M14
blur,1.0,True,0.9224066005376842,0.871571072319202,-0.05083552821848225,20170713CH_Exp7_ZFPtm1a_M14
blur,2.0,False,0.9224066005376842,0.21307202266999795,-0.7093345778676863,20170713CH_Exp7_ZFPtm1a_M14
blur,4.0,False,0.9224066005376842,0.08164367421081055,-0.8407629263268737,20170713CH_Exp7_ZFPtm1a_M14
intensity,0.1,True,0.9224066005376842,0.9306577898635661,0.00825118932588187,20170713CH_Exp7_ZFPtm1a_M14
intensity,0.25,True,0.9224066005376842,0.9332893931547479,0.010882792617063708,20170713CH_Exp7_ZFPtm1a_M14
intensity,0.5,False,0.9224066005376842,0.6494385679414157,-0.27296803259626845,20170713CH_Exp7_ZFPtm1a_M14
intensity,0.75,False,0.9224066005376842,0.9280397022332506,0.0056331016955664115,20170713CH_Exp7_ZFPtm1a_M14
noise,0.05,True,0.9148909021309174,0.9172951553112617,0.002404253180344318,20170713CH_Exp7_ZFPtm1a_M24
noise,0.1,True,0.9148909021309174,0.9186026648445508,0.003711762713633382,20170713CH_Exp7_ZFPtm1a_M24
noise,0.2,False,0.9148909021309174,0.8871550114131562,-0.02773589071776117,20170713CH_Exp7_ZFPtm1a_M24
noise,0.4,False,0.9148909021309174,0.7798757170172084,-0.13501518511370902,20170713CH_Exp7_ZFPtm1a_M24
blur,0.5,True,0.9148909021309174,0.9155631253991909,0.0006722232682735418,20170713CH_Exp7_ZFPtm1a_M24
blur,1.0,True,0.9148909021309174,0.8980425531914894,-0.016848348939427993,20170713CH_Exp7_ZFPtm1a_M24
blur,2.0,False,0.9148909021309174,0.20831474265544286,-0.7065761594754745,20170713CH_Exp7_ZFPtm1a_M24
blur,4.0,False,0.9148909021309174,0.0781093066176444,-0.836781595513273,20170713CH_Exp7_ZFPtm1a_M24
intensity,0.1,True,0.9148909021309174,0.9189327860441252,0.004041883913207811,20170713CH_Exp7_ZFPtm1a_M24
intensity,0.25,True,0.9148909021309174,0.8436839219985903,-0.07120698013232707,20170713CH_Exp7_ZFPtm1a_M24
intensity,0.5,False,0.9148909021309174,0.913254447944156,-0.0016364541867613935,20170713CH_Exp7_ZFPtm1a_M24
intensity,0.75,False,0.9148909021309174,0.7032974208292524,-0.211593481301665,20170713CH_Exp7_ZFPtm1a_M24
noise,0.05,True,0.9381863635010863,0.9380921170231782,-9.424647790812202e-05,20170714CH_Exp7_ZFPtm1a_M28
noise,0.1,True,0.9381863635010863,0.9352299159062444,-0.0029564475948419267,20170714CH_Exp7_ZFPtm1a_M28
noise,0.2,False,0.9381863635010863,0.9072630283135003,-0.030923335187586054,20170714CH_Exp7_ZFPtm1a_M28
noise,0.4,False,0.9381863635010863,0.7926753217302568,-0.14551104177082952,20170714CH_Exp7_ZFPtm1a_M28
blur,0.5,True,0.9381863635010863,0.9362281922928823,-0.0019581712082039626,20170714CH_Exp7_ZFPtm1a_M28
blur,1.0,True,0.9381863635010863,0.9133709981167608,-0.024815365384325494,20170714CH_Exp7_ZFPtm1a_M28
blur,2.0,False,0.9381863635010863,0.44593114126703576,-0.49225522223405055,20170714CH_Exp7_ZFPtm1a_M28
blur,4.0,False,0.9381863635010863,0.1271954944635357,-0.8109908690375506,20170714CH_Exp7_ZFPtm1a_M28
intensity,0.1,True,0.9381863635010863,0.9439154074919643,0.0057290439908780355,20170714CH_Exp7_ZFPtm1a_M28
intensity,0.25,True,0.9381863635010863,0.9313893653516295,-0.006796998149456779,20170714CH_Exp7_ZFPtm1a_M28
intensity,0.5,False,0.9381863635010863,0.9464689006897393,0.008282537188653016,20170714CH_Exp7_ZFPtm1a_M28
intensity,0.75,False,0.9381863635010863,0.7176627305773182,-0.2205236329237681,20170714CH_Exp7_ZFPtm1a_M28
noise,0.05,True,0.8232804232804233,0.8271462744750598,0.0038658511946365604,20170714CH_Exp7_ZFPtm1a_M29
noise,0.1,True,0.8232804232804233,0.8205939202249165,-0.0026865030555067726,20170714CH_Exp7_ZFPtm1a_M29
noise,0.2,False,0.8232804232804233,0.6287796976241901,-0.19450072565623322,20170714CH_Exp7_ZFPtm1a_M29
noise,0.4,False,0.8232804232804233,0.4467427122940431,-0.37653771098638017,20170714CH_Exp7_ZFPtm1a_M29
blur,0.5,True,0.8232804232804233,0.8217586480063375,-0.0015217752740858126,20170714CH_Exp7_ZFPtm1a_M29
blur,1.0,True,0.8232804232804233,0.7021244077640226,-0.12115601551640065,20170714CH_Exp7_ZFPtm1a_M29
blur,2.0,False,0.8232804232804233,0.07888186538247698,-0.7443985578979463,20170714CH_Exp7_ZFPtm1a_M29
blur,4.0,False,0.8232804232804233,0.037545445415285726,-0.7857349778651376,20170714CH_Exp7_ZFPtm1a_M29
intensity,0.1,True,0.8232804232804233,0.8444967414916728,0.021216318211249474,20170714CH_Exp7_ZFPtm1a_M29
intensity,0.25,True,0.8232804232804233,0.7899145443776969,-0.033365878902726354,20170714CH_Exp7_ZFPtm1a_M29
intensity,0.5,False,0.8232804232804233,0.9034536891679749,0.08017326588755158,20170714CH_Exp7_ZFPtm1a_M29
intensity,0.75,False,0.8232804232804233,0.6528815927348934,-0.17039883054552984,20170714CH_Exp7_ZFPtm1a_M29
