task,transform,self_consistency_dice,transformed_vs_expert_dice,baseline_vs_expert_dice,accuracy_delta,subject
brain,resampling_floor,0.999990659356056,0.9655072993051484,0.9654980202206589,9.279084489555167e-06,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+5deg,0.9810913119748869,0.9551385538736207,0.9654980202206589,-0.010359466347038215,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+10deg,0.9763146738429211,0.9515441051015185,0.9654980202206589,-0.013953915119140348,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+20deg,0.966435831053946,0.9414608908329806,0.9654980202206589,-0.024037129387678324,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+30deg,0.9522083268815638,0.930614997050037,0.9654980202206589,-0.03488302317062186,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+5deg,0.985936645375409,0.9593461820886697,0.9654980202206589,-0.006151838131989162,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+10deg,0.9845448385330128,0.9601329220897034,0.9654980202206589,-0.005365098130955537,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+20deg,0.9800726488977248,0.9583592174552962,0.9654980202206589,-0.007138802765362717,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+30deg,0.9742820123230083,0.9553183531374975,0.9654980202206589,-0.010179667083161426,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+5deg,0.985973958284858,0.96234021161488,0.9654980202206589,-0.0031578086057788557,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+10deg,0.9848106204884756,0.9608823220207774,0.9654980202206589,-0.004615698199881502,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+20deg,0.9595247611088907,0.9376377423331217,0.9654980202206589,-0.0278602778875372,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+30deg,0.954702068204632,0.9338018610963922,0.9654980202206589,-0.03169615912426671,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,0.9999816732337579,0.9702737964501262,0.9702737964501262,0.0,POLYIC_20190510_mouse35__E3_P1
brain,axis0_+5deg,0.9771468768600855,0.9559797213064798,0.9702737964501262,-0.014294075143646445,POLYIC_20190510_mouse35__E3_P1
brain,axis0_+10deg,0.9736403670716222,0.9529368372521899,0.9702737964501262,-0.01733695919793632,POLYIC_20190510_mouse35__E3_P1
brain,axis0_+20deg,0.9617277785704095,0.9410787472730094,0.9702737964501262,-0.029195049177116794,POLYIC_20190510_mouse35__E3_P1
brain,axis0_+30deg,0.9441410947312163,0.926418294217408,0.9702737964501262,-0.04385550223271828,POLYIC_20190510_mouse35__E3_P1
brain,axis1_+5deg,0.9849283620822634,0.9618829913767469,0.9702737964501262,-0.008390805073379304,POLYIC_20190510_mouse35__E3_P1
brain,axis1_+10deg,0.9838664332937325,0.9609755191500428,0.9702737964501262,-0.00929827730008348,POLYIC_20190510_mouse35__E3_P1
brain,axis1_+20deg,0.9803747059838529,0.9613288443295326,0.9702737964501262,-0.008944952120593652,POLYIC_20190510_mouse35__E3_P1
brain,axis1_+30deg,0.9746121937715007,0.9562929912623164,0.9702737964501262,-0.013980805187809864,POLYIC_20190510_mouse35__E3_P1
brain,axis2_+5deg,0.987521436129456,0.9670861477806739,0.9702737964501262,-0.0031876486694523143,POLYIC_20190510_mouse35__E3_P1
brain,axis2_+10deg,0.9863058720420683,0.9670952358689046,0.9702737964501262,-0.003178560581221679,POLYIC_20190510_mouse35__E3_P1
brain,axis2_+20deg,0.9652678962958986,0.947027027027027,0.9702737964501262,-0.023246769423099223,POLYIC_20190510_mouse35__E3_P1
brain,axis2_+30deg,0.9620554066130473,0.9447895415748017,0.9702737964501262,-0.025484254875324575,POLYIC_20190510_mouse35__E3_P1
brain,resampling_floor,1.0,0.9761234420566953,0.9761234420566953,0.0,POLYIC_20190510_mouse37__E2_P1
brain,axis0_+5deg,0.9857695801248741,0.9695278397920762,0.9761234420566953,-0.006595602264619083,POLYIC_20190510_mouse37__E2_P1
brain,axis0_+10deg,0.9834620708862004,0.9700977285614222,0.9761234420566953,-0.006025713495273144,POLYIC_20190510_mouse37__E2_P1
brain,axis0_+20deg,0.9720952102993158,0.9586348595994686,0.9761234420566953,-0.01748858245722673,POLYIC_20190510_mouse37__E2_P1
brain,axis0_+30deg,0.9570957095709571,0.9454333953191175,0.9761234420566953,-0.030690046737577803,POLYIC_20190510_mouse37__E2_P1
brain,axis1_+5deg,0.9883230832308323,0.9720095833576813,0.9761234420566953,-0.004113858699014039,POLYIC_20190510_mouse37__E2_P1
