task,transform,stage,relative_l2,cosine,subject
brain,resampling_floor,input,2.3476036403735634e-06,1.0,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,encoder_level0,1.8437560356687754e-05,1.0,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,encoder_level1,1.9450762920314446e-05,1.0,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,encoder_level2,2.1817995730089024e-05,1.0,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,encoder_level3,5.382088374972227e-07,1.0,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,encoder_level4,4.2971878428943455e-06,0.9999999403953552,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,canvas_level4,4.2971878428943455e-06,0.9999999403953552,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,canvas_level3,7.775744597893208e-05,1.0,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,canvas_level2,0.00016658964159432799,1.0,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,canvas_level1,0.00018811215704772621,0.9999999403953552,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,canvas_level0,0.0002285956870764494,0.9999998211860657,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,output_logits,7.869173714425415e-05,1.0,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,query_mask_embedding,6.146384521343862e-07,1.0,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+5deg,input,0.15243235230445862,0.9887528419494629,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+5deg,encoder_level0,0.3777933418750763,0.9270380735397339,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+5deg,encoder_level1,0.2372542917728424,0.9714908599853516,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+5deg,encoder_level2,0.25671884417533875,0.9665166139602661,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+5deg,encoder_level3,0.20112371444702148,0.9795674085617065,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+5deg,encoder_level4,0.19025567173957825,0.9819737672805786,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+5deg,canvas_level4,0.19025567173957825,0.9819737672805786,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+5deg,canvas_level3,0.28666234016418457,0.9581074714660645,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+5deg,canvas_level2,0.28781259059906006,0.9577159881591797,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+5deg,canvas_level1,0.2377324104309082,0.97133469581604,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+5deg,canvas_level0,0.19728031754493713,0.980370283126831,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+5deg,output_logits,0.08078773319721222,0.9967317581176758,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+5deg,query_mask_embedding,0.0054140854626894,0.9999904632568359,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+10deg,input,0.15462110936641693,0.9884334802627563,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+10deg,encoder_level0,0.40149345993995667,0.91672283411026,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+10deg,encoder_level1,0.26096585392951965,0.9653557538986206,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+10deg,encoder_level2,0.29190531373023987,0.9564501047134399,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+10deg,encoder_level3,0.21931985020637512,0.9756535887718201,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+10deg,encoder_level4,0.26073187589645386,0.9656135439872742,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+10deg,canvas_level4,0.26073187589645386,0.9656135439872742,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+10deg,canvas_level3,0.3479800522327423,0.937505841255188,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+10deg,canvas_level2,0.3511636257171631,0.9366006851196289,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+10deg,canvas_level1,0.28590887784957886,0.9583128690719604,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+10deg,canvas_level0,0.23664747178554535,0.9716792702674866,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+10deg,output_logits,0.10288362950086594,0.9946936368942261,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+10deg,query_mask_embedding,0.0042604319751262665,0.9999933838844299,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+20deg,input,0.1535331755876541,0.9886177778244019,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+20deg,encoder_level0,0.4608486592769623,0.8875867128372192,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+20deg,encoder_level1,0.32936984300613403,0.9442386031150818,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+20deg,encoder_level2,0.36362433433532715,0.9317238926887512,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+20deg,encoder_level3,0.23825973272323608,0.9712017178535461,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+20deg,encoder_level4,0.3457910418510437,0.938328742980957,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+20deg,canvas_level4,0.3457910418510437,0.938328742980957,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+20deg,canvas_level3,0.43156057596206665,0.9027170538902283,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+20deg,canvas_level2,0.4575851261615753,0.89113450050354,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+20deg,canvas_level1,0.38665518164634705,0.9228228330612183,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+20deg,canvas_level0,0.3392861783504486,0.9412580728530884,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+20deg,output_logits,0.2010740041732788,0.9795854687690735,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+20deg,query_mask_embedding,0.0051835025660693645,0.9999865889549255,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+30deg,input,0.15627270936965942,0.9882155656814575,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+30deg,encoder_level0,0.5181209444999695,0.8554173707962036,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+30deg,encoder_level1,0.39371609687805176,0.919556736946106,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+30deg,encoder_level2,0.4339207708835602,0.9019014835357666,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+30deg,encoder_level3,0.2620617151260376,0.9650534391403198,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+30deg,encoder_level4,0.42411795258522034,0.905938446521759,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+30deg,canvas_level4,0.42411795258522034,0.905938446521759,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+30deg,canvas_level3,0.5113411545753479,0.862115204334259,POLYIC_20190510_mouse34__E2_P1
